species,wood_density
Hortia arborea,1.02
Hortia longifolia,0.9
Hortia regia,0.784
Hovenia dulcis,0.543
Huberodendron patinoi,0.5
Huberodendron swietenioides,0.5635
Huertea cubensis,0.31
Huertea glandulosa,0.4285
Huertea granadina,0.41
Huertea putumayensis,0.41
Humbertia madagascariensis,1.148
Humiria balsamifera,0.7306153846153846
Humiria procera,0.65
Humiriastrum colombianum,0.69
Humiriastrum cuspidatum,0.721
Humiriastrum excelsum,0.75
Humiriastrum melanocarpum,0.6
Humiriastrum obovatum,0.7715
Humiriastrum procerum,0.608
Hunteria zeylanica,0.72
Huodendron biaristatum,0.594
Huodendron tibeticum,0.52
Hura crepitans,0.36733333333333335
Hura polyandra,0.38
Hybanthus prunifolius,0.67
Hydnocarpus alpina,0.689
Hydnocarpus castanea,0.7
Hydnocarpus curtisii,0.74
Hydnocarpus gracilis,0.56
Hydnocarpus hutchinsonii,0.6
Hydnocarpus ilicifolia,0.81
Hydnocarpus kuenstleri,0.675
Hydnocarpus kurzii,0.599
Hydnocarpus macrocarpa,0.55
Hydnocarpus polypetalus,0.55
Hydnocarpus setumpul,0.66
Hydnocarpus stigmatophorus,0.6
Hydnocarpus wightiana,0.465
Hydnocarpus woodii,0.64
Hydrochorea corymbosa,0.47
Hydrochorea gonggrijpii,0.58
Hydrogaster trinervis,0.63
Hylandia dockrillii,0.482
Hylodendron gabunense,0.7869999999999999
Hymenaea courbaril,0.79235
Hymenaea intermedia,0.82
Hymenaea martiana,0.825
Hymenaea oblongifolia,0.7366666666666667
Hymenaea palustris,0.73
Hymenaea parvifolia,0.8774000000000001
Hymenaea stigonocarpa,0.9
Hymenaea verrucosa,0.732
Hymenocardia acida,0.702
Hymenodictyon excelsum,0.469
Hymenodictyon orixense,0.43
Hymenolobium excelsum,0.5980000000000001
Hymenolobium flavum,0.68725
Hymenolobium modestum,0.6705
Hymenolobium nitidum,0.55
Hymenolobium petraeum,0.7125
Hymenolobium pulcherrimum,0.635
Hymenosporum flavum,0.607
Hymenostegia afzelii,0.824
Hymenostegia pellegrinii,0.8370000000000001
Hypericum laxiusculum,0.985
Hypobathrum frutescens,0.56
Hypobathrum racemosum,0.496
Hyptidendron asperrimum,0.43
Idesia polycarpa,0.419
Idiospermum australiense,0.65
Ilex affinis,0.51
Ilex aquifolium,0.65
Ilex argentina,0.5
Ilex arnhemensis,0.443
Ilex brevicuspis,0.54
Ilex canariensis,0.74
Ilex casiquiarensis,0.56
Ilex cerasifolia,0.65
Ilex chapaensis,0.732
Ilex cissoidea,0.36
Ilex cochinchinensis,0.603
Ilex cymosa,0.4875
Ilex jenmanii,0.56
Ilex martiniana,0.542
Ilex mitis,0.5299999999999999
Ilex opaca,0.5
Ilex parviflora,0.49
Ilex perado,0.52
Ilex pleiobrachiata,0.46
Ilex purpurea,0.6315
Ilex rimbachii,0.49
Ilex sideroxyloides,0.77
Ilex sterrophylla,0.6485000000000001
Ilex valerioi,0.63
Ilex versteeghii,0.52
Illicium verum,0.579
Inga acrocephala,0.5125000000000001
Inga alba,0.5861111111111111
Inga aria,0.606
Inga bourgonii,0.545
Inga brevipedicellata,0.58
Inga capitata,0.5923333333333334
Inga cayennensis,0.53
Inga chartacea,0.5123333333333333
Inga cinnamomea,0.6403333333333333
Inga coruscans,0.72
Inga cylindrica,0.48
Inga edulis,0.5874
Inga fagifolia,0.62
Inga graciliflora,0.5335
Inga heterophylla,0.56
Inga heteroptera,0.49
Inga huberi,0.53
Inga ingoides,0.495
Inga lateriflora,0.5623333333333334
Inga laurina,0.665
Inga leiocalycina,0.56
Inga marginata,0.5518
Inga melinonis,0.54
Inga nobilis,0.56
Inga oerstediana,0.425
Inga olivacea,0.62
Inga paraensis,0.82
Inga pezizifera,0.6065
Inga punctata,0.56
Inga rubiginosa,0.6623333333333333
Inga semialata,0.6
Inga sertulifera,0.65
Inga sessilis,0.43
Inga splendens,0.6000000000000001
Inga stipularis,0.53
Inga tubaeformis,0.53
Inga umbellifera,0.724
Inga uruguensis,0.621
Inga vera,0.575
Inhambanella henriquesii,0.676
Inocarpus fagifer,0.505
Inocarpus fagiferus,0.357
Intsia bijuga,0.7145454545454545
Intsia palembanica,0.6586666666666666
Iodina rhombifolia,0.61
Ipomoea wolcottiana,0.43499999999999994
Iresine arbuscula,0.48
Iriartea deltoidea,0.26699999999999996
Irvingbaileya australis,0.426
Irvingia gabonensis,0.774875
Irvingia grandifolia,0.8005
Irvingia malayana,0.8833333333333333
Iryanthera grandis,0.63
Iryanthera hostmannii,0.575
Iryanthera juruensis,0.6333333333333333
Iryanthera laevis,0.615
Iryanthera lanceifolia,0.5
Iryanthera lancifolia,0.504
Iryanthera paraensis,0.65
Iryanthera sagotiana,0.5720000000000001
Iryanthera tricornis,0.6733333333333333
Iryanthera ulei,0.6185
Isertia coccinea,0.52
Isertia hypoleuca,0.605
Isertia laevis,0.52
Isoberlinia doka,0.627
Isoberlinia scheffieri,0.65
Isoberlinia scheffleri,0.689
Isoberlinia schefflerii,0.75
Isoberlinia tomentosa,0.723
Isonandra lanceolata,0.93
Itoa stapfii,0.46
Ixonanthes chinensis,0.6245
Ixonanthes grandiflora,0.58
Ixonanthes icosandra,0.6965
Ixonanthes petiolaris,0.63
Ixonanthes reticulata,0.6265000000000001
Ixora arborea,0.8
Ixora blumei,0.72
Ixora gardneriana,0.88
Ixora grandifolia,0.69
Ixora makassarica,0.74
Ixora parviflora,0.96
Ixora simalurensis,0.76
Jacaranda acutifolia,0.44
Jacaranda brasiliana,0.65
Jacaranda copaia,0.3506666666666666
Jacaranda filicifolia,0.5
Jacaranda hesperia,0.35
Jacaranda micrantha,0.482
Jacaranda mimosifolia,0.49
Jacaranda obtusifolia,0.48275
Jacaranda puberula,0.58
Jacaranda rhombifolia,0.4
Jacaratia digitata,0.265
Jackiopsis ornata,0.76
Jacquinia caracasana,0.73
Jacquinia pungens,0.81
Jagera pseudorhus,0.676
Jatropha chamelensis,0.4
Jatropha curcas,0.17
Jatropha malacophylla,0.26
Jatropha platyphylla,0.47
Joannesia heveoides,0.39
Joannesia princeps,0.5106666666666667
Juglans ailanthifolia,0.362
Juglans australis,0.52
Juglans cathayensis,0.46
Juglans cinerea,0.36
Juglans fallax,0.47
Juglans mandshurica,0.4426666666666667
Juglans microcarpa,0.53
Juglans neotropica,0.49
Juglans nigra,0.51
Juglans regia,0.5583333333333333
Julbernardia bifoliolata,0.577
Julbernardia globiflora,0.7344999999999999
Julbernardia pellegriniana,0.6748888888888889
Julbernardia seretii,0.6890000000000001
Juniperus cedrus,0.48
Juniperus chinensis,0.5185
Juniperus communis,0.517
Juniperus deppeana,0.48
Juniperus phoenicea,0.55
Juniperus silicicola,0.42
Juniperus thurifera,0.53
Juniperus virginiana,0.44
Kalappia celebica,0.51
Kalmia latifolia,0.62
Kalopanax septemlobus,0.389
Kandelia candel,0.5096666666666667
Kandelia rheedei,0.57
Kaunia saltensis,0.494
Kayea assamica,0.65
Kayea elegans,0.77
Kayea floribunda,0.66
Kayea grandis,0.65
Kayea racemosa,0.63
Kayea wrayi,0.73
Keteleeria calcarea,0.51
Keteleeria davidiana,0.336
Keteleeria evelyniana,0.43525
Keteleeria fortunei,0.475
Keteleeria pubescens,0.46
Khaya anthotheca,0.49063636363636365
Khaya grandifoliola,0.5342105263157895
Khaya ivorensis,0.4419333333333333
Khaya senegalensis,0.6263076923076922
Kibara coriacea,0.53
Kibatalia arborea,0.35000000000000003
Kibatalia maingayi,0.5
Kielmeyera lathrophyton,0.67
Kielmeyera marauensis,0.49
Kielmeyera rubriflora,0.62
Kigelia africana,0.564
Kigelia pinnata,0.7
Kiggelaria africana,0.633
Kingiodendron alternifolium,0.49
Kirkia acuminata,0.508
Kjellbergiodendron celebicum,0.75
Klainedoxa gabonensis,0.9255833333333333
Klainedoxa latifolia,0.91
Kleinhovia hospita,0.4286666666666667
Knema conferta,0.527
Knema corticosa,0.499
Knema furfuracea,0.55
Knema geminata,0.62
Knema glauca,0.44
Knema glomerata,0.52
Knema hookeriana,0.55
Knema krusemaniana,0.55
Knema latifolia,0.5
Knema laurina,0.47
Knema lunduensis,0.53
Knema malayana,0.63
Knema mandaharan,0.53
Knema missionis,0.56
Knema oblongata,0.57
Knema pubiflora,0.51
Knema stenophylla,0.5
Knightia excelsa,0.585
Koelreuteria bipinnata,0.57
Koelreuteria paniculata,0.62
Kokoona littoralis,0.79
Kokoona reflexa,0.79
Koompassia excelsa,0.685
Koompassia malaccensis,0.76
Koordersiodendron pinnatum,0.623
Kostermansia malayana,0.6
Krugiodendron ferreum,1.15
Kunzea ericoides,0.772
Kunzea pulchella,0.889
Kydia calycina,0.258
Labramia louvelii,0.66
Lacistema aggregatum,0.5055000000000001
Lacistema grandifolium,0.517
Lacmellea floribunda,0.49
Lacmellea lactescens,0.6
Lacmellea panamensis,0.47150000000000003
Lacmellea utilis,0.491
Lacunaria coriacea,0.8
Lacunaria crenata,0.8065
Ladenbergia pavonii,0.47
Laetia corymbulosa,0.5900000000000001
Laetia procera,0.6481
Laetia suaveolens,0.6399999999999999
Laetia thamnia,0.66
Lafoensia glyptocarpa,0.96
Lafoensia pacari,0.8
Lafoensia punicifolia,0.705
Lagarostrobos franklinii,0.46
Lagerstroemia angustifolia,0.603
Lagerstroemia calyculata,0.72
Lagerstroemia duperreana,0.525
Lagerstroemia floribunda,0.61
Lagerstroemia flos-reginae,0.55
Lagerstroemia hypoleuca,0.553
Lagerstroemia lanceolata,0.579
Lagerstroemia loudoni,0.585
Lagerstroemia macrocarpa,0.647
Lagerstroemia microcarpa,0.5
Lagerstroemia ovalifolia,0.615
Lagerstroemia parviflora,0.6579999999999999
Lagerstroemia speciosa,0.595
Lagerstroemia subcostata,0.55
Lagerstroemia thorelii,0.525
Lagerstroemia tomentosa,0.543
Lagerstroemia villosa,0.689
Laguncularia racemosa,0.61
Lannea coromandelica,0.3973333333333333
Lannea discolor,0.456
Lannea schweinfurthii,0.551
Lannea welwitschii,0.4053333333333333
Lansium cinereum,0.85
Lansium domesticum,0.7050000000000001
Laplacea amboinensis,0.61
Laplacea subintegerrima,0.53
Laportea peltata,0.16
Larix chinensis,0.46
Larix decidua,0.474
Larix eurolepis,0.4
Larix gmelini,0.5596666666666666
Larix kaempferi,0.414
Larix laricina,0.49
Larix leptolepis,0.45
Larix mastersiana,0.394
Larix occidentalis,0.48
Larix olgensis,0.511
Larix potaninii,0.42133333333333334
Larix sibirica,0.46799999999999997
Larix speciosa,0.4245
Lasiodiscus usambarensis,0.784
Laurelia novae-zelandiae,0.38
Laurelia philippiana,0.4
Laurelia serrata,0.4
Laurus canariensis,0.54
Laurus sassafras,0.482
Lecointea amazonica,0.8933333333333332
Lecomtedoxa klaineana,0.8230909090909091
Lecythis ampla,0.75
Lecythis chartacea,0.819
Lecythis confertiflora,0.792
Lecythis corrugata,0.777
Lecythis gracieana,0.826
Lecythis holcogyne,0.776
Lecythis idatimon,0.7985714285714286
Lecythis lanceolata,1.01
Lecythis latifolium,0.8999999999999999
Lecythis lurida,0.8633333333333333
Lecythis ollaria,0.72
Lecythis parvifructa,0.741
Lecythis persistens,0.86
Lecythis pisonis,0.8570000000000001
Lecythis poiteaui,0.802
Lecythis prancei,0.875
Lecythis tuyrana,0.61
Lecythis usitata,0.9
Lecythis zabucajo,0.8496666666666667
Leea gigantea,0.68
Leea indica,0.46
Leonia crassa,0.65
Leonia cymosa,0.65
Leonia glycycarpa,0.6
Leopoldinia pulchra,0.48
Lepechinia calycina,0.61
Lepidocordia punctata,0.7725
Lepiniopsis ternatensis,0.42
Lepionurus sylvestris,0.26
Lepisanthes amoena,0.56
Lepisanthes rubiginosa,0.63
Lepisanthes senegalensis,0.63
Lepisanthes tetraphylla,0.81
Leptolaena multiflora,0.952
Leptospermum amboinense,0.82
Leptospermum flavescens,0.84
Leptospermum lanigerum,0.564
Leptospermum scoparium,1.026
Letestua durissima,0.9808
Leucaena diversifolia,0.6
Leucaena lanceolata,0.94
Leucaena leucocephala,0.6833333333333332
Leucaena pulverulenta,0.52
Leucaena trichodes,0.65
Levieria acuminata,0.375
Libocedrus bidwillii,0.35
Libocedrus decurrens,0.35
Libocedrus macrolepis,0.44
Libocedrus papuana,0.39
Librevillea klainei,0.9381999999999999
Licania alba,0.8874000000000001
Licania apetala,0.7634000000000001
Licania arborea,0.62
Licania brittoniana,0.6735
Licania campestre,0.59
Licania canescens,0.88
Licania chocoensis,0.88
Licania coriacea,0.88
Licania davillifolia,0.88
Licania densiflora,0.785
Licania discolor,0.887
Licania divaricata,0.88
Licania elata,0.6950000000000001
Licania elliptica,0.88
Licania emarginata,0.88
Licania fanshawei,0.887
Licania fuchsii,0.88
Licania gracilipes,0.8314999999999999
Licania granvillei,0.77
Licania heteromorpha,0.8164
Licania humilis,0.51
Licania hypoleuca,0.9088
Licania impressa,0.921
Licania incana,0.862
Licania irwinii,0.88
Licania jimenezii,0.844
Licania kunthiana,0.88
Licania laxiflora,1.033
Licania licaniiflora,0.67
Licania macrophylla,0.7525000000000001
Licania majuscula,0.8835
Licania membranacea,0.88
Licania micrantha,0.836
Licania minutiflora,0.77
Licania oblongifolia,0.8036
Licania octandra,0.825
Licania ovalifolia,0.85
Licania pallida,0.88
Licania parviflora,0.8200000000000001
Licania parvifolia,0.67
Licania parvifructa,0.887
Licania platypus,0.62
Licania polita,0.88
Licania robusta,0.8886666666666666
Licania rodriguesii,0.844
Licania sandwithii,0.882
Licania sothersiae,0.839
Licania sparsipilis,0.555
Licania splendens,0.815
Licania subarachnophylla,0.88
Licania tomentosa,0.98
Licania unguiculata,0.88
Licania urceolaris,0.88
Licania venosa,0.9
Licaria aritu,0.79
Licaria armeniaca,0.553
Licaria campechiana,0.84
Licaria cannella,0.9385
Licaria cayennensis,0.93
Licaria chrysophylla,0.7849999999999999
Licaria guianensis,0.7475
Licaria polyphylla,0.84
Licaria rigida,0.7849999999999999
Licaria salicifolia,0.8
Licaria subbullata,0.84
Licaria triandra,0.685
Ligustrum lucidum,0.5793333333333334
Ligustrum vulgare,0.805
Limonia acidissima,0.84
Limonia elephantum,0.702
Lindackeria paludosa,0.56
Lindera assamica,0.51
Lindera kwangtungensis,0.5778000000000001
Lindera polyantha,0.36
Lindera subumbelliflora,0.36
Lindsayomyrtus racemoides,0.607
Linospadix minor,0.817
Lippia mcvaughi,0.7
Liquidambar acalycina,0.6234999999999999
Liquidambar formosana,0.4888333333333333
Liquidambar styraciflua,0.46
Liriodendron chinense,0.4665
Liriodendron tulipifera,0.35
Litchi chinensis,0.8541428571428572
Litchi longan,0.871
Lithocarpus amygdalifolia,0.69
Lithocarpus amygdalifolius,0.758
Lithocarpus bennettii,0.71
Lithocarpus blumeanus,0.71
Lithocarpus celebica,0.7
Lithocarpus chrysocomus,0.6595
Lithocarpus confragosus,0.69
Lithocarpus conocarpa,0.75
Lithocarpus cooperta,0.7
Lithocarpus corneus,0.818
Lithocarpus daphnoideus,0.58
Lithocarpus dealbata,0.844
Lithocarpus dealbatus,0.7424999999999999
Lithocarpus densiflorus,0.58
Lithocarpus elegans,0.799
Lithocarpus encleisocarpus,0.55
Lithocarpus fissus,0.474
Lithocarpus glaber,0.5507500000000001
Lithocarpus gracilis,0.49
Lithocarpus handelianus,0.761
Lithocarpus hemisphaericus,0.585
Lithocarpus hystrix,0.62
Lithocarpus induta,0.68
Lithocarpus javensis,0.57
Lithocarpus kingianus,0.8
Lithocarpus korthalsii,0.72
Lithocarpus kunstleri,0.88
Lithocarpus lampadarius,0.79
Lithocarpus longipedicellatus,0.5994999999999999
Lithocarpus lucida,0.6799999999999999
Lithocarpus maingayi,0.67
Lithocarpus megacarpus,0.63
Lithocarpus mucronatus,0.44
Lithocarpus omalokos,0.71
Lithocarpus perclusus,0.577
Lithocarpus podocarpus,0.68
Lithocarpus pseudo-molucca,0.64
Lithocarpus rassa,0.815
Lithocarpus schlechteri,0.61
Lithocarpus scortechinii,0.88
Lithocarpus silvicolarum,0.54
Lithocarpus soleriana,0.74
Lithocarpus sultii,0.86
Lithocarpus sundaica,0.53
Lithocarpus symingtonianus,0.85
Lithocarpus vestitus,0.72
Lithocarpus wangianus,0.56
Lithraea brasiliensis,0.98
Lithraea molleoides,0.47433333333333333
Litsea accedens,0.47
Litsea accedentoides,0.36
Litsea albayana,0.36
Litsea amara,0.67
Litsea angulata,0.36
Litsea artocarpifolia,0.34
Litsea baviensis,0.43525
Litsea bindoniana,0.4495
Litsea brachystachya,0.39
Litsea breviumbellata,0.42
Litsea calicaris,0.51
Litsea calophyllantha,0.51
Litsea castanea,0.41
Litsea chinensis,0.6
Litsea confusa,0.32
Litsea cordata,0.36
Litsea costalis,0.34
Litsea crassifolia,0.49
Litsea cubeba,0.31
Litsea curtisii,0.325
Litsea diversifolia,0.46
Litsea domarensis,0.396
Litsea elliptica,0.44999999999999996
Litsea ferruginea,0.45333333333333337
Litsea firma,0.4075
Litsea fulva,0.51
Litsea garciae,0.356
Litsea glutinosa,0.5015000000000001
Litsea gracilipes,0.37
Litsea grandis,0.43333333333333335
Litsea irianensis,0.42
Litsea lancilimba,0.5316666666666666
Litsea leefeana,0.42074999999999996
Litsea leytensis,0.34
Litsea machilifolia,0.33499999999999996
Litsea mappacea,0.36
Litsea megacarpa,0.34
Litsea monopetala,0.42283333333333334
Litsea monticola,0.4
Litsea myristicaefolia,0.42
Litsea nidularis,0.33499999999999996
Litsea noronhae,0.5
Litsea oppositifolia,0.51
Litsea petiolata,0.48
Litsea polyantha,0.46
Litsea resinosa,0.335
Litsea reticulata,0.438
Litsea robusta,0.37
Litsea sebifera,0.6
Litsea teysmanni,0.38
Litsea tomentosa,0.545
Litsea umbellata,0.34
Litsea vang,0.452
Litsea velutina,0.42
Livistona rotundifolia,0.71
Loesenera kalantha,0.646
Lomatia fraxinifolia,0.839
Lomatia hirsuta,0.473
Lonchocarpus araripensis,0.85
Lonchocarpus campestris,0.89
Lonchocarpus capassa,0.758
Lonchocarpus castilloi,0.51
Lonchocarpus constrictus,0.93
Lonchocarpus costaricensis,0.64
Lonchocarpus eriocarinalis,0.97
Lonchocarpus hedyosmus,0.7713333333333333
Lonchocarpus heptaphyllus,0.68675
Lonchocarpus hondurensis,0.83
Lonchocarpus hylobius,0.67
Lonchocarpus lilloi,0.64
Lonchocarpus margaritensis,0.75
Lonchocarpus minimiflorus,0.78
Lonchocarpus muehlbergianus,0.6206666666666667
Lonchocarpus nelsii,0.771
Lonchocarpus parviflorus,0.89
Lonchocarpus peninsularis,0.79
Lonchocarpus sericeus,0.7048
Lonchocarpus stramineus,0.75
Lonchocarpus unifoliolatus,0.86
Lonchocarpus velutinus,0.75
Lophira alata,0.8969
Lophira lanceolata,0.792
Lophopetalum beccarianum,0.51
Lophopetalum javanum,0.395
Lophopetalum ledermannii,0.46
Lophopetalum littorale,0.92
Lophopetalum maingayi,0.84
Lophopetalum micranthum,0.39
Lophopetalum oblongum,0.54
Lophopetalum pachyphyllum,0.38
Lophopetalum reflexum,0.78
Lophopetalum subobovatum,0.54
Lophopetalum torricellense,0.38
Lophopetalum toxicum,0.41
Lophopetalum wallichii,0.427
Lophopetalum wightianum,0.37
Lophostemon confertus,0.7464000000000001
Lophostemon grandiflorus,0.926
Lophostemon suaveolens,0.677
Loreya arborescens,0.6
Loreya mespiloides,0.6
Loropetalum chinense,0.814
Lotus scoparius,0.74
Lovoa swynnertonii,0.566
Lovoa trichilioides,0.4548421052631579
Loxopterygium huasango,0.73
Loxopterygium sagotii,0.5616666666666666
Luehea candida,0.91
Luehea cymulosa,0.48
Luehea divaricata,0.5630000000000001
Luehea paniculata,0.54
Luehea seemannii,0.417
Lueheopsis duckeana,0.6157999999999999
Lueheopsis rosea,0.33
Lueheopsis rugosa,0.547
Lumnitzera littorea,0.68675
Lumnitzera racemosa,0.71
Lunania mexicana,0.58
Lunania parviflora,0.635
Lycianthes banahaensis,0.44
Lysicarpus angustifolius,0.689
Lysidice rhodostegia,0.525
Lysiloma bahamensis,0.6
Lysiloma latisiliqua,0.65
Lysiloma latisiliquum,0.62
Lysiloma microphyllum,0.92
Mabea biglandulosa,0.57
Mabea nitida,0.6466666666666666
Mabea piriri,0.5976666666666667
Mabea speciosa,0.635
Mabea subserrulata,0.6
Mabea subsessilis,0.6
Maburea trinervis,0.818
Macadamia hildebrandii,0.58
Macadamia ternifolia,0.895
Macadamia whelanii,0.669
Macaranga aleuritoides,0.2835
Macaranga beccariana,0.29
Macaranga bicolor,0.299
Macaranga brevipetiolata,0.6
Macaranga capensis,0.4493333333333333
Macaranga celebica,0.51
Macaranga conglomerata,0.4145
Macaranga conifera,0.33
Macaranga denticulata,0.4335
Macaranga diepenhorstii,0.3
Macaranga gigantea,0.295
Macaranga hispida,0.25
Macaranga hosei,0.27666666666666667
Macaranga hullettii,0.32
Macaranga hypoleuca,0.26333333333333336
Macaranga inamoena,0.482
Macaranga inermis,0.38
Macaranga involucrata,0.67
Macaranga javanica,0.4
Macaranga kilimandscharica,0.4
Macaranga kingii,0.6
Macaranga leonardii,0.44
Macaranga longestipulata,0.36
Macaranga lowii,0.675
Macaranga maingayi,0.6
Macaranga mappa,0.27
Macaranga mellifera,0.357
Macaranga myriantha,0.4
Macaranga papuana,0.26
Macaranga populifolia,0.33
Macaranga pruinosa,0.31
Macaranga pseudopruinosa,0.29
Macaranga puncticulata,0.31
Macaranga rhizinoides,0.31
Macaranga sampsoni,0.3285
Macaranga sampsonii,0.34
Macaranga semiglobosa,0.31
Macaranga tanarius,0.45599999999999996
Macaranga trichocarpa,0.43
Macaranga triloba,0.32
Macarisia pyramidata,0.687
Macbrideina peruviana,0.54
Machaerium aculeatum,0.24
Machaerium acutifolium,1.12
Machaerium allemanii,0.9279999999999999
Machaerium brasiliense,0.66
Machaerium firmum,0.9686666666666667
Machaerium fulvovenosum,1.04
Machaerium hirtum,0.66
Machaerium incorruptibile,0.948
Machaerium lunatum,0.24
Machaerium millei,0.24
Machaerium minutiflorum,0.84
Machaerium opacum,0.8
Machaerium scleroxylon,0.8225
Machaerium villosum,0.7799999999999999
Mackinlaya confusa,0.725
Maclura javanica,0.81
Maclura pomifera,0.76
Maclura regia,0.54
Maclura tinctoria,0.7945333333333333
Maclura tricuspidata,0.9026666666666667
Maclurodendron porteri,0.55
Macoubea guianensis,0.4143333333333333
Macrocnemum roseum,0.45
Macrolobium acaciifolium,0.5509999999999999
Macrolobium angustifolium,0.675
Macrolobium bifolium,0.6699999999999999
Macrolobium limbatum,0.58
Macropanax dispermum,0.31
Madhuca alpina,0.97
Madhuca betis,0.575
Madhuca boerlageana,0.51
Madhuca burckiana,0.59
Madhuca coriacea,0.46
Madhuca crassipes,0.93
Madhuca cuneata,0.56
Madhuca curtisii,0.54
Madhuca elliptica,0.697
Madhuca glaberrima,0.63
Madhuca hainanensis,0.9256666666666667
Madhuca kingiana,0.6
Madhuca korthalsii,0.54
Madhuca lancifolia,0.55
Madhuca latifolia,0.9219999999999999
Madhuca laurifolia,0.76
Madhuca leucodermis,0.65
Madhuca ligulata,0.61
Madhuca longifolia,0.79
Madhuca magnifolia,0.55
Madhuca malaccensis,0.635
Madhuca motleyana,0.45999999999999996
Madhuca obovatifolia,0.62
Madhuca ovata,0.56
Madhuca penangiana,0.59
Madhuca penicillata,0.61
Madhuca rupicola,0.82
Madhuca sarawakensis,0.63
Madhuca sericea,0.675
Madhuca sessilis,0.65
Madhuca subquincuncialis,0.74
Madhuca tomentosa,0.72
Madhuca utilis,0.96
Maesa lanceolata,0.676
Maesopsis eminii,0.3835
Magnolia acuminata,0.44
Magnolia candollei,0.51
Magnolia denudata,0.44
Magnolia dubia,0.556
Magnolia elegans,0.48333333333333334
Magnolia fraseri,0.4
Magnolia gigantifolia,0.56
Magnolia grandiflora,0.43733333333333335
Magnolia hodgsonii,0.62
Magnolia liliifera,0.57
Magnolia macklottii,0.36
Magnolia ovata,0.525
Magnolia poasana,0.45
Magnolia portoricensis,0.7
Magnolia sororum,0.45999999999999996
Magnolia splendens,0.59
Magnolia villosa,0.63
Magnolia virginiana,0.42
Magnolia yoroconte,0.42
Magonia pubescens,0.77
Mahurea exstipulata,0.73
Mahurea palustris,0.69
Mallotus albus,0.366
Mallotus arboreus,0.56
Mallotus beccarii,0.56
Mallotus blumeanus,0.51
Mallotus cochinchinensis,0.344
Mallotus discolor,0.633
Mallotus echinatus,0.49
Mallotus floribundus,0.62
Mallotus macrostachyus,0.32
Mallotus mollissimus,0.412
Mallotus multiglandulosus,0.442
Mallotus muticus,0.4666666666666666
Mallotus paniculatus,0.345
Mallotus peltatus,0.47
Mallotus penangensis,0.59
Mallotus philippensis,0.6033333333333334
Mallotus philippinensis,0.688
Mallotus polyadenos,0.65
Mallotus stipularis,0.58
Mallotus subpeltatus,0.56
Mallotus sumatranus,0.37
Malmea cuspidata,0.39
Malouetia cestroides,0.58
Malouetia duckei,0.57
Malouetia naias,0.43
Malus baccata,0.56
Malus pumila,0.646
Malus sylvestris,0.599
Mammea africana,0.626625
Mammea americana,0.64
Mammea bongo,0.825
Mammea glauca,0.861
Mammea touriga,0.827
Mangifera altissima,0.59
Mangifera caesia,0.41000000000000003
Mangifera caloneura,0.482
Mangifera duperreana,0.517
Mangifera foetida,0.525
Mangifera gedebi,0.39
Mangifera griffithii,0.47
Mangifera indica,0.5525000000000001
Mangifera lagenifera,0.49
Mangifera laurina,0.523
Mangifera minor,0.5325
Mangifera monandra,0.45
Mangifera odorata,0.47
Mangifera pajang,0.49
Mangifera salomonensis,0.525
Mangifera similis,0.575
Mangifera sylvatica,0.517
Manglietia fordiana,0.4235
Manglietia glauca,0.39
Manglietia hainanensis,0.406
Manglietia insignis,0.43
Manilkara bidentata,0.8729333333333333
Manilkara cavalcantei,0.834
Manilkara celebica,0.85
Manilkara chicle,1.04
Manilkara cuneifolia,0.8
Manilkara fasciculata,0.8240000000000001
Manilkara fouilloyana,0.861
Manilkara hexandra,1.06
Manilkara huberi,0.9213636363636364
Manilkara inundata,0.8
Manilkara kanosiensis,0.899
Manilkara kauki,0.83
Manilkara lacera,0.8
Manilkara littoralis,0.9255
Manilkara mochisia,1.076
Manilkara obovata,0.860875
Manilkara paraensis,0.86
Manilkara salzmannii,1.03
Manilkara venulosa,0.75
Manilkara zapota,0.81
Maniltoa grandiflora,0.9
Maniltoa minor,0.76
Maniltoa plurijuga,0.65
Maniltoa polyandra,0.76
Maniltoa psilogyne,0.663
Mansonia altissima,0.5644583333333334
Mansonia gagei,0.882
Mappia longipes,0.65
Maprounea guianensis,0.588
Maquira calophylla,0.62
Maquira coriacea,0.5112
Maquira guianensis,0.766
Maquira sclerophylla,0.5135
Maranthes corymbosa,0.7986666666666666
Maranthes glabra,0.875
Maranthes goetzeniana,0.7845
Maranthes kerstingii,0.829
Maranthes robusta,0.8645
Margaritaria discoidea,0.7195
Margaritaria indica,0.68
Margaritaria nobilis,0.6223333333333333
Markhamia acuminata,0.775
Markhamia cauda-felina,0.6455
Markhamia lutea,0.47433333333333333
Markhamia platycalyx,0.5
Markhamia stipulata,0.6755
Markhamia tomentosa,0.473
Marlierea montana,0.95
Marlierea schomburgkiana,0.921
Marlierea tomentosa,0.964
Marmaroxylon racemosum,0.8442999999999999
Marquesia macroura,0.758
Martiodendron excelsum,0.852
Martiodendron parviflorum,0.841
Mastixia cuspidata,0.46
Mastixia pentandra,0.495
Mastixia rostrata,0.44
Mastixia tetrandra,0.55
Mastixia trichotoma,0.39
Mastixiodendron pachyclados,0.6695
Mastixiodendron smithii,0.67
Mastixiodendron stoddardii,0.8
Matayba arborescens,0.6966666666666667
Matayba domingensis,0.7
Matayba guianensis,0.82
Matayba inelegans,0.82
Matayba opaca,0.82
Matisia cordata,0.37274999999999997
