species,wood_density
Amphirrhox longifolia,0.71
Amphitecna tuxtlensis,0.46
Amyris elemifera,1.05
Amyris simplicifolia,0.9
Amyxa pluricornis,0.63
Anacardium excelsum,0.3912857142857143
Anacardium giganteum,0.454
Anacardium occidentale,0.44649999999999995
Anacardium parvifolium,0.5253333333333333
Anacardium spruceanum,0.4791666666666667
Anacardium tenuifolium,0.43
Anadenanthera colubrina,0.8661428571428571
Anadenanthera peregrina,0.8833333333333334
Anaxagorea crassipetala,0.48
Anaxagorea dolichocarpa,0.58
Andira anthelmia,0.778
Andira coriacea,0.732
Andira fraxinifolia,0.92
Andira inermis,0.64325
Andira micrantha,1.0
Andira parviflora,0.71675
Andira surinamensis,0.70475
Andira unifoliolata,0.76
Androstachys johnsonii,0.5846666666666667
Angophora bakeri,0.589
Angophora costata,0.7823333333333333
Angophora floribunda,0.7253333333333334
Angophora subvelutina,0.758
Angophora woodsiana,0.762
Aniba affinis,0.52
Aniba amazonica,0.56
Aniba burchellii,0.52
Aniba canelilla,0.9524285714285714
Aniba cylindriflora,0.6695
Aniba excelsa,0.551
Aniba firmula,0.56
Aniba guianensis,0.52
Aniba hostmanniana,0.6190000000000001
Aniba hypoglauca,0.525
Aniba panurensis,0.61
Aniba parviflora,0.54
Aniba perutilis,0.5
Aniba puchury-minor,0.5333333333333333
Aniba riparia,0.5700000000000001
Aniba rosaeodora,0.7325714285714285
Aniba terminalis,0.54
Aniba williamsii,0.6375
Anisophyllea apetala,0.77
Anisophyllea beccariana,0.67
Anisophyllea disticha,0.67
Anisophyllea grandis,0.72
Anisophyllea laurina,0.762
Anisophyllea manausensis,0.86
Anisophyllea obtusifolia,0.663
Anisoptera aurea,0.5549999999999999
Anisoptera costata,0.5533333333333333
Anisoptera curtisii,0.615
Anisoptera grossivenia,0.585
Anisoptera laevis,0.52
Anisoptera marginata,0.5266666666666667
Anisoptera megistocarpa,0.575
Anisoptera oblonga,0.6
Anisoptera polyandra,0.551
Anisoptera scaphula,0.44
Anisoptera thurifera,0.59
Anneslea crassipes,0.67
Anneslea fragrans,0.6843333333333333
Annickia chlorantha,0.4372857142857143
Annickia polycarpa,0.482
Annona crassiflora,0.56
Annona foetida,0.572
Annona fraxinifolium,0.57
Annona glabra,0.5
Annona hypoglauca,0.38
Annona muricata,0.36
Annona reticulata,0.55
Annona spraguei,0.559
Annona squamosa,0.618
Anodopetalum biglandulosum,0.61
Anogeissus acuminata,0.88
Anogeissus latifolia,0.78
Anogeissus leiocarpa,0.8
Anogeissus pendula,0.94
Anogeissus phillyreaefolia,0.758
Anogeissus sericea,0.74
Anomospermum grandifolium,0.64
Anonidium mannii,0.291
Anopyxis klaineana,0.7999090909090909
Anthocarapa nitidula,0.689
Anthocleista grandiflora,0.5780000000000001
Anthocleista nobilis,0.49933333333333335
Anthodiscus amazonicus,0.715
Anthodiscus gutierrezii,0.64
Anthodiscus peruanus,0.69
Anthodiscus pilosus,0.69
Anthonotha fragrans,0.529
Anthonotha macrophylla,0.8416666666666667
Anthostema aubryanum,0.33
Anthostema madagascariense,0.4875
Antiaris toxicaria,0.38305263157894737
Antidesma bunius,0.6293333333333333
Antidesma celebicum,0.59
Antidesma coriaceum,0.72
Antidesma cuspidatum,0.8
Antidesma erostre,0.732
Antidesma ghaesembilla,0.61
Antidesma montanum,0.59
Antidesma pleuricum,0.624
Antidesma subcordatum,0.68
Antidesma tetrandum,0.6
Antonia ovata,0.4673333333333333
Antrocaryon klaineanum,0.5262
Antrocaryon micraster,0.4876666666666667
Antrocaryon nannanii,0.4825
Aoranthe cladantha,0.8065
Aparisthmium cordatum,0.39
Apeiba albiflora,0.2454
Apeiba aspera,0.30316666666666664
Apeiba glabra,0.32
Apeiba intermedia,0.26
Apeiba tibourbou,0.2
Aphanamixis cumingiana,0.61
Aphanamixis perrottetiana,0.545
Aphanamixis polystachya,0.5765
Aphananthe aspera,0.52
Aphananthe cuspidata,0.69
Aphananthe philippinensis,0.5773333333333334
Aphanocalyx heitzii,0.456875
Aphloia theiformis,0.6205
Apodocephala pauciflora,0.527
Apodytes brachystylis,0.564
Apodytes dimidiata,0.61
Apollonias velutina,0.59
Apoplanesia cryptopetala,0.86
Apoplanesia paniculata,0.94
Aporosa planchoniana,0.37
Aporusa arborea,0.47
Aporusa aurea,0.68
Aporusa dioca,0.62
Aporusa elmeri,0.6
Aporusa falcifera,0.56
Aporusa lagenocarpa,0.53
Aporusa lucida,0.72
Aporusa lunatum,0.685
Aporusa maingayi,0.59
Aporusa microcalyx,0.67
Aporusa microsphaera,0.62
Aporusa microstachya,0.67
Aporusa prainiana,0.63
Aporusa sphaeritophora,0.52
Aporusa stellifera,0.77
Aporusa symplocoides,0.64
Aptandra tubicina,0.765
Apuleia ferrea,1.086
Apuleia leiocarpa,0.79925
Apuleia molaris,0.75
Aquilaria agallocha,0.327
Aquilaria malaccensis,0.32
Aquilaria sinensis,0.366
Arachnothryx buddleioides,0.56
Arapatiella psilophylla,0.87
Araucaria angustifolia,0.48
Araucaria araucana,0.518
Araucaria bidwillii,0.41700000000000004
Araucaria brasiliana,0.656
Araucaria cunninghamii,0.45099999999999996
Araucaria hunsteinii,0.387
Arbutus menziesii,0.57
Arbutus pavarii,0.76
Arbutus unedo,0.65
Archboldiodendron calosericeum,0.68
Archeria traversii,0.742
Archidendron bubalinum,0.38
Archidendron clypearia,0.3233333333333333
Archidendron ellipticum,0.45
Archidendron grandiflorum,0.538
Archidendron havilandii,0.33
Archidendron hendersonii,0.525
Archidendron jiringa,0.317
Archidendron vaillantii,0.37
Archidendropsis basaltica,1.0173333333333332
Archidendropsis thozetiana,0.827
Archidendropsis xanthoxylon,0.525
Archontophoenix alexandrae,0.827
Archontophoenix cunninghamiana,0.827
Archytaea vahlii,0.84
Arctostaphylos tomentosa,0.72
Ardisia barnesii,0.77
Ardisia caudiferoides,0.55
Ardisia densilepidotula,0.6265000000000001
Ardisia guianensis,0.62
Ardisia lanceolata,0.44
Ardisia macrophylla,0.51
Ardisia solanacea,0.62
Argusia argentea,0.35
Aristotelia serrata,0.515
Arthrophyllum diversifolium,0.365
Arthrophyllum lancifolium,0.36
Arthrophyllum ovatum,0.39
Artocarpus altilis,0.43249999999999994
Artocarpus altissimus,0.34
Artocarpus anisophyllus,0.605
Artocarpus bracteatus,0.39
Artocarpus chaplasha,0.459
Artocarpus dadak,0.585
Artocarpus elasticus,0.3633333333333333
Artocarpus fretissi,0.51
Artocarpus glaucus,0.58
Artocarpus gomezianus,0.54
Artocarpus heterophyllus,0.4916666666666667
Artocarpus hirsutus,0.47
Artocarpus incisus,0.32
Artocarpus integer,0.551
Artocarpus integra,0.56
Artocarpus kemando,0.4475
Artocarpus lakoocha,0.64
Artocarpus lanceaefolia,0.565
Artocarpus lowii,0.54
Artocarpus maingayi,0.48
Artocarpus nitidus,0.48
Artocarpus odoratissimus,0.55
Artocarpus ovatus,0.61
Artocarpus peduncularis,0.27
Artocarpus reticulatus,0.38
Artocarpus rigidus,0.5126666666666667
Artocarpus sampor,0.732
Artocarpus scortechinii,0.44
Artocarpus styracifolius,0.5076666666666667
Artocarpus tamaran,0.37
Artocarpus teysmannii,0.4
Artocarpus tonkinensis,0.4666666666666666
