genus,wood_density
Commersonia,0.40066666666666667
Commiphora,0.407875
Comocladia,0.79
Conceveiba,0.47816666666666663
Connarus,0.5
Conocarpus,0.845
Copaifera,0.6164166666666666
Copernicia,0.791
Coprosma,0.79025
Cordia,0.5104886363636364
Cordyla,0.749
Cornus,0.5875
Cornutia,0.6
Corylus,0.5499999999999999
Corymbia,0.8353409090909092
Corynanthe,0.6723333333333334
Corynocarpus,0.6326666666666666
Corythophora,0.7546666666666666
Cotylelobium,0.8183333333333334
Couepia,0.7861333333333334
Coula,0.8946666666666667
Couma,0.4904
Couratari,0.5380714285714286
Couroupita,0.42519999999999997
Coussapoa,0.479
Coussarea,0.6182000000000001
Coutarea,0.6
Craibia,0.6194999999999999
Craspidospermum,0.838
Crassocephalum,0.331
Crataegus,0.6599999999999999
Craterispermum,0.663
Crateva,0.46677777777777785
Cratoxylum,0.63305
Crepidospermum,0.5785
Crescentia,0.6593333333333332
Crinodendron,0.458
Crossopteryx,0.702
Croton,0.4920714285714286
Crudia,0.7831304347826087
Cryosophila,0.4
Crypteronia,0.6022500000000001
Cryptocarya,0.5775116279069767
Cryptomeria,0.35828571428571426
Cryptosepalum,0.75275
Ctenolophon,0.7809090909090909
Cullen,0.788
Cunninghamia,0.3156923076923077
Cunonia,0.6
Cupania,0.6113999999999999
Cupaniopsis,0.747
Cupressus,0.42857142857142855
Curatella,0.65
Curtisia,0.7505
Curupira,0.81
Cuspidaria,0.54
Cussonia,0.417
Cyathocalyx,0.51
Cyathodes,0.732
Cybianthus,0.5925
Cybistax,0.59
Cyclolobium,0.9
Cylicodiscus,0.7788421052631579
Cymbopetalum,0.5349999999999999
Cynometra,0.8022307692307693
Cyrilla,0.5900000000000001
Dacrycarpus,0.44000000000000006
Dacrydium,0.5687857142857143
Dacryodes,0.5635225225225226
Dactylocladus,0.415
Dalbergia,0.7776282051282052
Daniellia,0.4600810810810811
Daphnandra,0.56975
Daphniphyllum,0.5111666666666667
Daphnopsis,0.52
Darlingia,0.58625
Dasylepis,0.64
Davidia,0.4485
Davidsonia,0.786
Decaspermum,0.722
Degeneria,0.35
Dehaasia,0.5656923076923077
Delarbrea,0.634
Delonix,0.57875
Dendrobangia,0.6353333333333334
Dendrocnide,0.207
Dendropanax,0.41983333333333334
Deplanchea,0.42736363636363633
Derris,0.6691428571428572
Desbordesia,0.919
Desmopsis,0.764
Detarium,0.7000000000000001
Dialium,0.8293695652173914
Diatenopteryx,0.744
Dichapetalum,0.761
Dichrostachys,0.99
Diclinanona,0.47
Dicorynia,0.5912
Dicranolepis,0.6
Dicymbe,0.758
Didelotia,0.5765
Didymopanax,0.575
Didymosalpinx,0.715
Dillenia,0.6124324324324324
Dilobeia,0.8436
Dimocarpus,0.7
Dimorphandra,0.7460769230769231
Dimorphocalyx,0.82
Dinizia,0.9054
Diogoa,0.6955
Diospyros,0.6951604278074867
Diphysa,1.08
Diploglottis,0.703
Diplokeleba,0.852
Diploknema,0.765
Diploon,0.85
Diplorhynchus,0.667
Diplospora,0.7
Diplotropis,0.73775
Dipterocarpus,0.6454111111111112
Dipteryx,0.9126
Dirca,0.33
Discoglypremna,0.3396
Discophora,0.56
Dissiliaria,0.8476666666666667
Distemonanthus,0.6045714285714286
Distylium,0.6983333333333334
Dodonaea,0.9470000000000001
Dolichandrone,0.43275
Dombeya,0.484
Doryphora,0.504
Dovyalis,0.579
Dracaena,0.41825
Dracontomelon,0.453
Dracophyllum,0.524
Drimycarpus,0.84
Drimys,0.41
