site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A01,42,Miconia pyrifolia,Melastomataceae,522943.3064,8998081.967,0.63,0.091062304,14.7,13.11,9.9,20111208,A,O,T07,13.95,13.95,feldpausch_regional,0.18,default,0.0,14.7,13.95
JAM_A01,43,Copaifera reticulata,Fabaceae,522942.3648,8998073.31,0.61,0.16493047,15.0,23.71,17.48,20111208,A,O,T07,14.15,14.15,feldpausch_regional,0.18,default,0.0,15.0,14.15
JAM_A01,44,Stryphnodendron pulcherrimum,Fabaceae,522943.7194,8998070.329,0.47,0.079780712,15.2,14.43,7.53,20111208,A,O,T07,14.28,14.28,feldpausch_regional,0.18,default,0.0,15.2,14.28
JAM_A01,45,Inga sp.,Fabaceae,522943.6534,8998067.73,0.58,0.188546301,16.2,24.49,16.18,20111208,A,O,T07,14.91,14.91,feldpausch_regional,0.18,default,0.0,16.2,14.91
JAM_A01,46,Pradosia praealta,Sapotaceae,522938.3632,8998061.668,0.73,5.859336652,61.0,42.3,31.34,20111208,A,O,T07,32.17,32.17,feldpausch_regional,0.18,default,0.0,61.0,32.17
JAM_A01,47,Peltogyne leicointei,Fabaceae,522944.5731,8998061.546,0.76,0.32045081,24.2,14.08,8.54,20111208,A,O,T07,19.4,19.4,feldpausch_regional,0.18,default,0.0,24.2,19.4
JAM_A01,48,NI,NI,522944.6659,8998059.748,0.6,0.005360008,6.2,5.16,,20111208,D,O,T07,7.45,7.45,feldpausch_regional,0.18,default,0.0,6.2,7.45
JAM_A01,49,Vochysia maxima,Vochysiaceae,522941.5456,8998050.415,0.49,9.211051207,85.3,50.76,37.62,20111208,A,O,T07,36.9,36.9,feldpausch_regional,0.18,default,0.0,85.3,36.9
JAM_A01,50,Tetragastris altissima,Burseraceae,522944.3485,8998048.452,0.71,0.802505349,27.6,29.24,22.21,20111208,A,O,T07,21.05,21.05,feldpausch_regional,0.18,default,0.0,27.6,21.05
JAM_A01,51,,,522944.4692,8998048.053,,0.012149531,9.4,,,20111208,A,L,T07,10.16,10.16,feldpausch_regional,0.18,default,0.0,9.4,10.16
JAM_A01,52,Tetragastris altissima,Burseraceae,522945.6611,8998030.78,0.71,3.082033377,54.0,29.34,13.12,20111208,A,O,T07,30.4,30.4,feldpausch_regional,0.18,default,0.0,54.0,30.4
JAM_A01,53,Zizyphus itacaiunensis,Rhamnaceae,522945.513,8998010.392,0.84,0.557136139,26.5,18.61,11.34,20111208,A,O,T07,20.53,20.53,feldpausch_regional,0.18,default,0.0,26.5,20.53
JAM_A01,54,NI,NI,522948.409,8997987.244,0.7,0.01084642,7.7,5.96,,20111208,D,O,T07,8.77,8.77,feldpausch_regional,0.18,default,0.0,7.7,8.77
JAM_A01,55,Sapindus sp.,Sapindaceae,522946.0002,8997973.823,0.67,0.545738869,28.3,20.08,14.9,20111208,A,O,T07,21.37,21.37,feldpausch_regional,0.18,default,0.0,28.3,21.37
JAM_A01,56,NI,NI,522948.997,8997966.166,0.7,0.033981359,14.3,5.3,,20111208,D,O,T07,13.69,13.69,feldpausch_regional,0.18,default,0.0,14.3,13.69
JAM_A01,57,Astrocaryum aculeatum,Arecaceae,522947.8742,8997974.347,,0.118392334,24.1,24.07,14.64,20111208,A,P,T07,19.35,19.35,feldpausch_regional,0.18,default,0.0,24.1,19.35
JAM_A01,58,Sapindus sp.,Sapindaceae,522949.0548,8997961.17,0.67,0.059377969,9.4,19.8,8.85,20111208,A,O,T07,10.16,10.16,feldpausch_regional,0.18,default,0.0,9.4,10.16
JAM_A01,59,Bocageopsis multiflora,Annonaceae,522949.7672,8997953.185,0.64,0.166630467,13.2,29.34,14.01,20111208,A,O,T07,12.95,12.95,feldpausch_regional,0.18,default,0.0,13.2,12.95
JAM_A01,60,Nectandra cuspidata,Lauraceae,522949.289,8997948.882,0.56,0.92644375,35.7,25.5,12.2,20111208,A,O,T07,24.48,24.48,feldpausch_regional,0.18,default,0.0,35.7,24.48
JAM_A01,61,Simarouba amara,Simaroubaceae,522951.0076,8997936.912,0.38,2.533639271,60.8,35.58,25.93,20111208,A,O,T07,32.13,32.13,feldpausch_regional,0.18,default,0.0,60.8,32.13
JAM_A01,62,Strychnos subcordata,Loganiaceae,522950.1498,8997941.897,0.54,0.379639511,23.5,25.01,11.54,20111208,A,O,T07,19.05,19.05,feldpausch_regional,0.18,default,0.0,23.5,19.05
JAM_A01,63,Inga grandis,Fabaceae,522950.1983,8997942.897,0.58,0.018343458,7.6,10.82,4.63,20111208,A,O,T07,8.68,8.68,feldpausch_regional,0.18,default,0.0,7.6,8.68
JAM_A01,64,Guatteria olivacea,Annonaceae,522950.2787,8997939.401,0.46,1.072790432,37.9,32.2,23.61,20111208,A,O,T07,25.31,25.31,feldpausch_regional,0.18,default,0.0,37.9,25.31
JAM_A01,65,Pourouma minor,Urticaceae,522951.1604,8997922.323,0.44,0.014833787,7.7,11.06,9.02,20111208,A,O,T07,8.77,8.77,feldpausch_regional,0.18,default,0.0,7.7,8.77
JAM_A01,66,Helicostylis sp.,Moraceae,522951.0512,8997918.625,0.65,0.113106426,14.0,17.37,9.16,20111208,A,O,T07,13.49,13.49,feldpausch_regional,0.18,default,0.0,14.0,13.49
JAM_A01,67,Guatteria olivacea,Annonaceae,522948.7268,8997905.504,0.46,1.316714389,39.3,36.76,26.62,20111208,A,O,T07,25.82,25.82,feldpausch_regional,0.18,default,0.0,39.3,25.82
JAM_A01,68,Tetragastris altissima,Burseraceae,522951.2391,8997897.541,0.71,0.436930648,24.7,19.88,15.31,20111208,A,O,T07,19.65,19.65,feldpausch_regional,0.18,default,0.0,24.7,19.65
JAM_A01,69,Tachigali paniculata,Fabaceae,522952.3866,8997892.759,0.56,3.99280111,58.7,40.65,27.58,20111208,A,O,T07,31.62,31.62,feldpausch_regional,0.18,default,0.0,58.7,31.62
JAM_A01,70,Eschweilera coriacea,Lecythidaceae,522953.564,8997881.581,0.85,0.489523042,21.9,23.54,13.53,20111208,A,O,T07,18.21,18.21,feldpausch_regional,0.18,default,0.0,21.9,18.21
JAM_A01,71,Astrocaryum aculeatum,Arecaceae,522953.7269,8997876.487,,0.076131344,19.0,26.93,17.17,20111208,A,P,T07,16.6,16.6,feldpausch_regional,0.18,default,0.0,19.0,16.6
JAM_A01,72,Inga alba,Fabaceae,522954.4497,8997868.302,0.59,0.359912626,21.3,26.59,17.86,20111208,A,O,T07,17.88,17.88,feldpausch_regional,0.18,default,0.0,21.3,17.88
JAM_A01,73,Pouteria cladantha,Sapotaceae,522945.6968,8997867.293,0.94,9.866780132,84.0,29.15,20.14,20111208,A,O,T07,36.69,36.69,feldpausch_regional,0.18,default,0.0,84.0,36.69
JAM_A01,74,Helicostylis sp.,Moraceae,522952.6901,8997861.684,0.65,0.294027928,24.7,14.51,10.22,20111208,A,O,T07,19.65,19.65,feldpausch_regional,0.18,default,0.0,24.7,19.65
JAM_A01,75,NI,NI,522953.8983,8997859.601,0.62,1.766373365,43.1,30.13,19.33,20111208,A,O,T07,27.14,27.14,feldpausch_regional,0.18,default,0.0,43.1,27.14
JAM_A01,76,Tachigali myrmecophila,Fabaceae,522952.9809,8997857.99,0.48,0.61868929,31.2,26.23,18.17,20111208,A,O,T07,22.65,22.65,feldpausch_regional,0.18,default,0.0,31.2,22.65
JAM_A01,77,Hevea brasiliensis,Euphorbiaceae,522955.1573,8997841.029,0.49,2.748915562,53.6,38.19,24.69,20111208,A,O,T07,30.29,30.29,feldpausch_regional,0.18,default,0.0,53.6,30.29
JAM_A01,78,Parahancornia amapa,Apocynaceae,522954.6037,8997840.123,0.46,1.057185403,39.9,28.36,17.71,20111208,A,O,T07,26.04,26.04,feldpausch_regional,0.18,default,0.0,39.9,26.04
JAM_A01,79,Tachigali alba,Fabaceae,522955.1295,8997839.63,0.56,0.049387241,10.9,14.58,10.06,20111208,A,O,T07,11.3,11.3,feldpausch_regional,0.18,default,0.0,10.9,11.3
JAM_A01,80,Vochysia maxima,Vochysiaceae,522955.8893,8997836.541,0.49,0.024625149,8.5,13.67,10.04,20111208,A,O,T07,9.43,9.43,feldpausch_regional,0.18,default,0.0,8.5,9.43
JAM_A01,84,NI,NI,522956.3273,8997837.746,0.7,0.09376205,14.6,17.42,,20111208,D,O,T07,13.89,13.89,feldpausch_regional,0.18,default,0.0,14.6,13.89
JAM_A01,85,Virola melinoni,Myristicaceae,522956.9642,8997852.544,0.48,0.11677504,15.9,19.06,13.67,20111208,A,O,T07,14.73,14.73,feldpausch_regional,0.18,default,0.0,15.9,14.73
JAM_A01,86,NI,NI,522954.8496,8997868.307,0.62,0.161160976,17.1,17.46,10.69,20111208,A,O,T07,15.47,15.47,feldpausch_regional,0.18,default,0.0,17.1,15.47
JAM_A01,87,NI,NI,522955.3671,8997869.912,0.62,0.221121235,18.5,20.47,10.22,20111208,A,O,T07,16.31,16.31,feldpausch_regional,0.18,default,0.0,18.5,16.31
