site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,htot_feldpausch
FN_A01,122,Tetragastris altissima,Burseraceae,805.610.772.176,8.688.898.022.294,36.5,31.76,21.13,False,O,24.79
FN_A01,123,Aspidosperma parvifolium,Apocynaceae,80.562.264.842.956,868.887.172.237.364,66.5,26.66,16.25,False,O,33.42
FN_A01,124,Sloanea guianensis,Elaeocarpaceae,805.611.082.863.512,868.885.951.217.345,12.1,15.69,9.08,False,O,12.18
FN_A01,125,Sloanea guianensis,Elaeocarpaceae,805.603.071.662.448,86.890.093.233.168,17.7,17.83,10.9,False,O,15.83
FN_A01,126,Strychnos subcordata,Loganiaceae,8.056.061.078.928,868.901.098.936,12.3,14.85,9.55,False,O,12.32
FN_A01,127,Tapirira guianensis,Anacardiaceae,8.056.158.047.456,86.890.103.126,41.5,22.61,16.49,False,O,26.59
FN_A01,128,Tetragastris altissima,Burseraceae,8.056.100.060.042,8.689.014.310.688,47.9,20.63,13.27,False,O,28.66
FN_A01,129,Strychnos subcordata,Loganiaceae,8.056.069.643.425,868.901.533.108,21.4,20.54,13.42,False,O,17.94
FN_A01,130,Dipteryx odorata,Fabaceae,80.560.284.062.744,8.689.022.712.176,14.9,16.74,12.79,False,O,14.08
FN_A01,131,Nectandra cuspidata,Lauraceae,805.603.744.668,868.902.535.056,24.0,21.48,14.04,False,O,19.3
FN_A01,132,,,805.606.702.568,8.689.025.653.328,23.5,16.64,,True,O,19.05
FN_A01,133,Strychnos subcordata,Loganiaceae,8.056.055.547.782,868.903.153.118,11.5,13.43,9.26,False,O,11.75
FN_A01,134,Licania octandra,Chrysobalanaceae,80.560.440.340.742,8.689.036.906.704,30.4,30.24,22.49,False,O,22.3
FN_A01,135,Albizia pedicellaris,Fabaceae,8.056.074.294.584,868.903.671.264,63.2,30.3,22.32,False,O,32.69
FN_A01,136,Aniba parviflora,Lauraceae,8.056.074.056.096,868.903.771.492,13.3,14.52,11.11,False,O,13.02
FN_A01,137,Tapirira guianensis,Anacardiaceae,80.560.608.697.112,8.689.041.921.176,22.1,24.85,18.48,False,O,18.31
FN_A01,138,Tetragastris altissima,Burseraceae,8.056.021.024.881,868.904.605.132,39.7,13.55,10.83,False,O,25.97
FN_A01,139,Vochysia guianensis,Vochysiaceae,8.056.020.708.083,8.689.047.053,21.3,18.78,15.4,False,O,17.88
FN_A01,140,Ocotea cernua,Lauraceae,8.056.020.708.083,8.689.047.053,18.5,23.0,17.12,False,O,16.31
FN_A01,141,Guatteria schomburgkiana,Annonaceae,80.560.275.502.136,8689051.43,13.8,16.04,12.32,False,O,13.36
FN_A01,142,Aspidosperma excelsum,Apocynaceae,805.646.331.586,868.904.353.612,58.9,28.89,21.5,False,O,31.67
FN_A01,143,Erisma uncinatum,Vochysiaceae,805.626.725.505,86.890.466.392,67.0,33.63,23.06,False,O,33.53
FN_A01,144,Qualea paraensis,Vochysiaceae,80.563.173.386,868.903.476.584,51.0,28.01,19.45,False,O,29.57
FN_A01,145,Erisma uncinatum,Vochysiaceae,8.056.399.825.744,868.903.847.932,36.5,26.1,19.54,False,O,24.79
FN_A01,146,Poeppigia procera,Fabaceae,805.642.115.784,868.904.117.032,47.5,30.53,24.69,False,O,28.54
FN_A01,147,Erisma uncinatum,Vochysiaceae,805.638.861.259,868.903.461.936,44.9,21.27,13.07,False,O,27.72
FN_A01,148,,,805.630.670.494,868.903.091.032,40.2,6.78,,True,O,26.14
FN_A01,149,Tetragastris altissima,Burseraceae,80.562.663.687,86.890.315.708,47.7,19.06,13.92,False,O,28.6
FN_A01,150,Tetragastris panamensis,Burseraceae,805.598.403.418.936,868.916.262.759.336,32.0,21.2,15.03,False,O,22.99
FN_A01,151,Aspidosperma spruceanum,Apocynaceae,805.599.716.817.928,868.917.257.109.528,18.7,15.87,13.02,False,O,16.42
FN_A01,152,Protium paniculatum,Burseraceae,805.599.520.740.781,868.917.359.947.981,10.9,13.39,10.15,False,O,11.3
FN_A01,153,Casearia javitensis,Salicaceae,805.597.709.002.328,868.917.583.909.128,24.5,19.06,15.05,False,O,19.55
FN_A01,154,Guatteria schomburgkiana,Annonaceae,805.600.576.140.264,868.917.918.964.664,10.4,13.68,9.92,False,O,10.93
FN_A01,155,Tapirira guianensis,Anacardiaceae,805.601.593.816.672,868.918.023.547.072,23.1,21.6,15.43,False,O,18.84
FN_A01,156,Inga sp.,Fabaceae,805.601.408.745.512,868.918.332.552.312,15.2,20.52,11.83,False,O,14.28
FN_A01,157,Tetragastris altissima,Burseraceae,80.560.684.821.752,86.891.825.677.672,38.1,11.51,7.5,False,O,25.39
FN_A01,158,Dipteryx odorata,Fabaceae,805.610.888.334,868.918.138.946,42.6,10.78,8.07,False,O,26.97
FN_A01,159,Ormosia coccinea,Fabaceae,805.597.384.314.588,868.919.320.671.188,32.1,23.8,11.53,False,O,23.03
FN_A01,160,Aspidosperma excelsum,Apocynaceae,80.563.186.181.746,86.891.917.326.326,51.0,38.82,29.44,False,O,29.57
FN_A01,161,Tetragastris altissima,Burseraceae,80.562.894.604.608,86.891.856.648.608,41.3,28.8,22.1,False,O,26.53
FN_A01,162,Hymenolobium petraeum,Fabaceae,8.056.365.107.386,8.689.171.695.406,65.0,36.25,26.95,False,O,33.09
FN_A01,163,Byrsonima crispa,Malpighiaceae,80.562.999.199.872,86.893.219.397.928,47.0,31.92,20.33,False,O,28.38
FN_A01,164,Protium paniculatum,Burseraceae,805.593.821.410.969,86.893.055.326.343,18.3,15.73,8.2,False,O,16.19
FN_A01,165,Protium paniculatum,Burseraceae,805.594.582.602.624,868.930.603.205.376,13.8,16.72,8.8,False,O,13.36
FN_A01,166,Tetragastris altissima,Burseraceae,805.595.815.273.638,868.930.699.855.762,13.1,16.58,9.78,False,O,12.88
FN_A01,167,Dialium guianense,Fabaceae,805.597.709.622.272,868.930.844.953.728,18.7,17.83,8.73,False,O,16.42
FN_A01,168,Licania octandra,Chrysobalanaceae,805.593.581.612.429,868.930.791.346.471,17.5,13.85,8.73,False,O,15.71
FN_A01,169,Tetragastris altissima,Burseraceae,80.559.379.677.184,86.893.164.075.216,38.6,38.32,24.35,False,O,25.57
FN_A01,170,Dialium guianense,Fabaceae,805.593.784.248.832,868.931.703.373.368,27.2,21.63,13.05,False,O,20.86
FN_A01,171,Tetragastris altissima,Burseraceae,80.559.845.012.064,86.893.220.646.336,40.2,31.07,23.1,False,O,26.14
FN_A01,172,Protium paniculatum,Burseraceae,80.559.741.353.856,86.893.257.201.564,12.8,11.97,6.09,False,O,12.67
FN_A01,173,,,80.559.550.650.816,86.893.259.683.884,14.3,5.2,,True,O,13.69
FN_A01,174,Cordia scabrifolia,Boraginaceae,80.559.438.524.256,86.893.342.262.544,13.7,18.62,12.52,False,O,13.29
FN_A01,175,Mucuna rostrata,Fabaceae,805.594.178.272.704,868.934.423.630.496,25.0,19.97,14.11,False,O,19.8
FN_A01,176,Guatteria schomburgkiana,Annonaceae,80.559.416.964.896,86.893.446.533.904,15.6,15.49,11.03,False,O,14.54
FN_A01,177,Tetragastris altissima,Burseraceae,8.056.000.628.928,8.689.356.490.332,45.5,26.45,19.44,False,O,27.91
FN_A01,178,Tetragastris altissima,Burseraceae,80.561.178.835.968,86.893.510.346.832,42.0,31.26,23.13,False,O,26.77
FN_A01,179,Luehea speciosa,Malvaceae,80.561.548.288,868.935.230.085,51.6,35.7,24.48,False,O,29.74
FN_A01,180,Albizia pedicellaris,Fabaceae,80.561.604.352,86.893.369.959,40.3,21.41,15.0,False,O,26.18
FN_A01,181,Tetragastris altissima,Burseraceae,8.056.230.636.288,8.689.327.386.312,46.0,17.73,10.78,False,O,28.07
FN_A01,182,Ormosia excelsa,Fabaceae,8.056.203.075.696,8.689.348.541.424,63.8,29.46,20.03,False,O,32.82
FN_A01,183,Aspidosperma excelsum,Apocynaceae,8.056.204.708.272,8.689.344.479.568,46.5,32.49,21.97,False,O,28.23
FN_A01,184,Vochysia guianensis,Vochysiaceae,8.056.194.629.104,8.689.321.959.996,40.8,18.01,11.43,False,O,26.35
FN_A01,185,Tetragastris altissima,Burseraceae,80.561.868.437.472,86.893.172.875.878,40.7,12.73,8.59,False,O,26.32
FN_A01,1,Sacoglottis guianensis,Humiriaceae,805.559.704.966.847,867.137.358.652.271,33.9,23.69,16.11,False,O,23.77
FN_A01,2,Tapirira guianensis,Anacardiaceae,805.559.445.443.861,867.137.403.545.797,30.4,20.92,14.82,False,O,22.3
FN_A01,3,Casearia grandiflora,Salicaceae,805.557.910.197.232,867.138.231.898.672,10.2,10.75,7.77,False,O,10.78
FN_A01,4,Esenbeckia febrifuga,Rutaceae,805.557.255.435.712,867.138.360.710.752,16.7,15.11,11.81,False,O,15.22
FN_A01,5,Casearia grandiflora,Salicaceae,8.055.559.635.704,8.671.381.965.384,12.6,12.04,7.74,False,O,12.53
FN_A01,6,Casearia grandiflora,Salicaceae,80.555.827.213.998,86.713.872.328.358,10.9,12.02,9.23,False,O,11.3
FN_A01,7,Casearia grandiflora,Salicaceae,805.558.329.264.496,867.138.736.630.816,14.7,12.02,9.23,False,O,13.95
FN_A01,8,,,805.558.541.265.472,867.138.943.743.712,70.4,2.31,,True,O,34.23
FN_A01,9,Casearia grandiflora,Salicaceae,805.560.368.176.666,867.137.465.337.018,16.3,11.17,7.48,False,O,14.98
FN_A01,10,Sloanea guianensis,Elaeocarpaceae,805.556.047.430.768,867.139.065.581.328,12.4,11.57,7.05,False,O,12.39
FN_A01,11,,,805.556.859.664.672,867.139.427.806.912,49.4,12.58,,True,O,29.11
FN_A01,12,,,80.555.019.243.828,86.713.985.591.588,15.3,4.42,,True,O,14.34
FN_A01,13,,,80.554.951.348.156,86.714.005.113.676,15.7,2.62,,True,O,14.6
FN_A01,14,Qualea paraensis,Vochysiaceae,8.055.516.678.847,8.671.406.239.387,57.6,22.02,14.17,False,O,31.34
FN_A01,15,Aspidosperma excelsum,Apocynaceae,80.555.153.310.398,86.714.066.272.758,17.1,12.16,7.37,False,O,15.47
FN_A01,16,Inga thibaudiana,Fabaceae,805.549.718.993.552,867.140.826.781.392,10.4,12.48,8.03,False,O,10.93
FN_A01,17,Guatteria schomburgkiana,Annonaceae,805.549.090.527.203,867.141.305.990.147,12.1,14.28,8.91,False,O,12.18
FN_A01,18,Inga alba,Fabaceae,805.547.337.778.016,867.141.571.580.736,19.2,18.0,10.04,False,O,16.71
FN_A01,19,Esenbeckia febrifuga,Rutaceae,8.055.576.126.868,8.671.410.014.428,43.2,17.62,8.67,False,O,27.17
FN_A01,20,Ormosia excelsa,Fabaceae,80.555.846.180.848,86.714.135.435.008,50.0,26.87,16.65,False,O,29.28
FN_A01,21,Dipteryx odorata,Fabaceae,805.562.585.251,867.140.105.431,58.3,18.72,11.45,False,O,31.52
FN_A01,22,Ormosia excelsa,Fabaceae,80.556.584.865.904,86.714.161.571.584,71.8,22.56,14.51,False,O,34.51
