site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
HUM_A01,114,Aspidosperma nitidum,Apocynaceae,646586.5778,8921463.439,12.3,13.85,11.12,20140701,False,O,3,12.32,12.32,feldpausch_regional,0.18,default,-1.0,12.12,12.19
HUM_A01,115,Pouteria venosa,Sapotaceae,646585.1026,8921471.334,80.0,49.04,37.16,20140701,False,O,3,36.02,36.02,feldpausch_regional,0.18,default,-1.0,79.82,35.99
HUM_A01,116,Rinorea passoura,Violaceae,646579.6102,8921465.136,11.8,8.95,6.05,20140701,False,O,3,11.96,11.96,feldpausch_regional,0.18,default,-1.0,11.62,11.83
HUM_A01,117,,,646580.4659,8921464.051,15.4,17.38,13.8,20140701,False,O,3,14.41,14.41,feldpausch_regional,0.18,default,-1.0,15.22,14.29
HUM_A01,118,Byrsonima crispa,Malpighiaceae,646581.6484,8921458.517,23.0,19.1,12.92,20140701,False,O,3,18.79,18.79,feldpausch_regional,0.18,default,-1.0,22.82,18.69
HUM_A01,119,Euterpe oleracea,Arecaceae,646574.361,8921450.262,13.2,15.67,12.25,20140701,False,P,3,12.95,12.95,feldpausch_regional,0.18,default,-1.0,13.02,12.82
HUM_A01,120,Inga marginata,Fabaceae,646570.9972,8921451.629,13.5,11.51,8.27,20140701,False,O,3,13.15,13.15,feldpausch_regional,0.18,default,-1.0,13.32,13.03
HUM_A01,121,Castilla ulei,Moraceae,646569.7483,8921449.204,46.7,24.48,17.94,20140701,False,O,3,28.29,28.29,feldpausch_regional,0.18,default,-1.0,46.52,28.24
HUM_A01,122,Apuleia leiocarpa,Fabaceae,646564.9394,8921454.4,46.2,36.41,26.95,20140701,False,O,3,28.14,28.14,feldpausch_regional,0.18,default,-1.0,46.02,28.08
HUM_A01,123,Euterpe oleracea,Arecaceae,646570.6881,8921449.428,12.4,19.08,16.31,20140701,False,P,3,12.39,12.39,feldpausch_regional,0.18,default,-1.0,12.22,12.26
HUM_A01,124,Annona exsucca,Annonaceae,646569.3401,8921448.187,12.2,8.91,5.7,20140701,False,O,3,12.25,12.25,feldpausch_regional,0.18,default,-1.0,12.02,12.12
HUM_A01,125,Euterpe oleracea,Arecaceae,646562.7118,8921451.756,14.4,17.22,14.61,20140701,False,P,3,13.76,13.76,feldpausch_regional,0.18,default,-1.0,14.22,13.64
HUM_A01,126,Jacaratia spinosa,Caricaceae,646561.4056,8921446.075,43.5,19.84,14.95,20140701,False,O,3,27.27,27.27,feldpausch_regional,0.18,default,-1.0,43.32,27.21
HUM_A01,127,Diospyros artanthifolia,,646562.6903,8921443.364,10.2,13.18,10.66,20140701,False,O,3,10.78,10.78,feldpausch_regional,0.18,default,-1.0,10.02,10.64
HUM_A01,1,,,646572.6645,8921634.061,76.0,41.57,27.02,20140627,False,O,4,35.31,35.31,feldpausch_regional,0.18,default,-1.0,75.82,35.28
HUM_A01,46,Annona tenuiflora,,646595.057,8921613.783,13.5,11.73,8.43,20140627,False,O,4,13.15,13.15,feldpausch_regional,0.18,default,-1.0,13.32,13.03
