site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAC_A01,68,Theobroma glaucum,Malvaceae,799922.9191,9725873.139,9.1,4.3,1.57,False,O,P01,9.92
TAC_A01,69,Theobroma glaucum,Malvaceae,799920.6172,9725871.168,13.3,5.7,0.94,False,O,P01,13.02
TAC_A01,70,Theobroma glaucum,Malvaceae,799917.548,9725868.541,11.1,3.86,0.48,False,O,P01,11.45
TAC_A01,71,Theobroma glaucum,Malvaceae,799916.0134,9725867.227,10.3,3.42,0.49,False,O,P01,10.85
TAC_A01,72,Theobroma glaucum,Malvaceae,799913.3279,9725864.927,9.0,3.56,0.82,False,O,P01,9.84
TAC_A01,73,Theobroma glaucum,Malvaceae,799911.4097,9725863.285,6.6,3.41,1.14,False,O,P01,7.81
TAC_A01,74,Theobroma glaucum,Malvaceae,799909.1078,9725861.314,12.2,5.22,0.98,False,O,P01,12.25
TAC_A01,75,Theobroma glaucum,Malvaceae,799910.9381,9725858.861,10.6,5.44,1.36,False,O,P01,11.08
TAC_A01,76,Euterpe oleracea,Arecaceae,799912.3274,9725860.053,9.8,9.72,6.08,False,P,P01,10.47
TAC_A01,77,Euterpe oleracea,Arecaceae,799912.3274,9725860.053,11.0,10.73,7.37,False,P,P01,11.38
TAC_A01,78,Euterpe oleracea,Arecaceae,799912.3274,9725860.053,11.2,10.88,7.43,False,P,P01,11.53
TAC_A01,79,Theobroma glaucum,Malvaceae,799913.7167,9725861.244,11.0,5.47,2.35,False,O,P01,11.38
TAC_A01,80,Euterpe oleracea,Arecaceae,799914.3341,9725861.774,13.5,11.34,8.88,False,P,P01,13.15
TAC_A01,81,Euterpe oleracea,Arecaceae,799914.3341,9725861.774,84.0,8.32,7.06,False,P,P01,36.69
TAC_A01,82,Theobroma glaucum,Malvaceae,799915.4919,9725862.767,5.1,2.36,1.89,False,O,P01,6.43
TAC_A01,83,Theobroma glaucum,Malvaceae,799917.4214,9725864.422,8.7,2.16,1.68,False,O,P01,9.6
TAC_A01,84,Euterpe oleracea,Arecaceae,799918.9651,9725865.746,8.4,7.17,2.94,False,P,P01,9.35
TAC_A01,85,Euterpe oleracea,Arecaceae,799918.9651,9725865.746,98.0,8.57,5.31,False,P,P01,38.71
TAC_A01,86,Euterpe oleracea,Arecaceae,799918.9651,9725865.746,11.4,7.21,3.45,False,P,P01,11.67
TAC_A01,87,Theobroma glaucum,Malvaceae,799920.1228,9725866.739,8.2,3.81,1.11,False,O,P01,9.19
TAC_A01,88,Theobroma glaucum,Malvaceae,799922.4383,9725868.726,10.4,5.03,2.24,False,O,P01,10.93
TAC_A01,89,Euterpe oleracea,Arecaceae,799923.596,9725869.719,12.8,10.34,6.5,False,P,P01,12.67
TAC_A01,90,Euterpe oleracea,Arecaceae,799923.596,9725869.719,10.3,9.36,6.5,False,P,P01,10.85
TAC_A01,91,Euterpe oleracea,Arecaceae,799923.596,9725869.719,12.3,9.68,6.24,False,P,P01,12.32
TAC_A01,92,Theobroma glaucum,Malvaceae,799924.8309,9725870.778,9.1,5.61,1.59,False,O,P01,9.92
TAC_A01,93,Euterpe oleracea,Arecaceae,799925.9115,9725871.705,6.5,4.98,3.69,False,P,P01,7.72
TAC_A01,94,Euterpe oleracea,Arecaceae,799925.9115,9725871.705,10.1,9.64,5.77,False,P,P01,10.7
TAC_A01,95,Euterpe oleracea,Arecaceae,799925.9115,9725871.705,8.5,8.05,5.24,False,P,P01,9.43
TAC_A01,96,Theobroma glaucum,Malvaceae,799927.4551,9725873.029,10.9,5.25,1.16,False,O,P01,11.3
TAC_A01,97,Theobroma glaucum,Malvaceae,799929.7706,9725875.015,13.0,4.67,0.93,False,O,P01,12.81
TAC_A01,98,Euterpe oleracea,Arecaceae,799930.5424,9725875.677,8.8,7.68,4.5,False,P,P01,9.68
TAC_A01,99,Euterpe oleracea,Arecaceae,799930.5424,9725875.677,11.1,10.42,8.36,False,P,P01,11.45
TAC_A01,100,Euterpe oleracea,Arecaceae,799930.5424,9725875.677,10.1,11.05,8.96,False,P,P01,10.7
TAC_A01,101,Euterpe oleracea,Arecaceae,799930.5424,9725875.677,10.3,11.95,9.02,False,P,P01,10.85
TAC_A01,102,Theobroma glaucum,Malvaceae,799932.0861,9725877.001,8.7,3.68,0.91,False,O,P01,9.6
TAC_A01,103,Theobroma glaucum,Malvaceae,799934.3474,9725874.951,6.9,3.38,0.67,False,O,P01,8.08
TAC_A01,104,Theobroma glaucum,Malvaceae,799932.7947,9725873.616,11.2,5.0,0.86,False,O,P01,11.53
