site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id
SAN_A02,29,Apeiba membranacea,Malvaceae,731819.7344,9634339.705,43.9,25.42,18.85,False,O,5
SAN_A02,30,Tachigali paniculata,Fabaceae,731829.3352,9634340.365,58.7,24.34,15.21,False,O,5
SAN_A02,64,Inga sp.,Fabaceae,732109.1809,9634307.228,17.0,17.76,10.6,False,O,7
SAN_A02,65,Parkia paraensis,Fabaceae,732111.1632,9634295.626,59.5,30.11,20.36,False,O,7
SAN_A02,66,,,732112.9167,9634305.974,27.0,8.2,,True,O,7
SAN_A02,67,Inga sp.,Fabaceae,732119.3942,9634303.545,17.5,28.77,21.92,False,O,7
SAN_A02,68,Fusaea longifolia,Annonaceae,732125.2382,9634302.873,12.0,5.86,3.87,False,O,7
SAN_A02,69,Vismia guianensis,Hypericaceae,732124.7751,9634302.482,21.6,22.7,16.78,False,O,7
SAN_A02,70,Vismia guianensis,Hypericaceae,732125.0089,9634301.38,27.2,31.62,20.09,False,O,7
SAN_A02,71,Rollinia exsucca,Annonaceae,732126.2805,9634303.101,28.6,33.3,22.63,False,O,7
SAN_A02,72,Inga sp.,Fabaceae,732128.9558,9634303.481,17.7,19.85,16.43,False,O,7
SAN_A02,73,Inga sp.,Fabaceae,732127.9112,9634299.254,17.0,31.82,21.76,False,O,7
SAN_A02,74,Minquartia guianensis,Olacaceae,732131.232,9634299.886,17.5,13.43,8.12,False,O,7
SAN_A02,75,Cordia scabrifolia,Boraginaceae,732133.3597,9634301.322,18.4,21.29,13.72,False,O,7
SAN_A02,76,Inga alba,Fabaceae,732139.8711,9634297.722,14.5,19.05,12.3,False,O,7
SAN_A02,77,Inga thibaudiana,Fabaceae,732143.2944,9634297.756,23.0,24.32,14.94,False,O,7
SAN_A02,78,Inga alba,Fabaceae,732145.5303,9634297.232,13.5,12.26,10.7,False,O,7
SAN_A02,79,Inga alba,Fabaceae,732146.4966,9634296.963,20.5,23.12,17.57,False,O,7
SAN_A02,80,,,732138.5724,9634278.31,79.5,15.03,,True,O,7
SAN_A02,81,Goupia glabra,Goupiaceae,732104.6275,9634257.283,73.5,34.9,25.48,False,O,7
SAN_A02,82,Inga marginata,Fabaceae,732099.5788,9634264.322,39.5,23.57,17.25,False,O,7
SAN_A02,83,Apeiba petoumo,Malvaceae,732106.1223,9634266.632,41.7,20.47,12.97,False,O,7
SAN_A02,84,Minquartia guianensis,Olacaceae,732107.4569,9634281.366,36.3,21.88,11.04,False,O,7
SAN_A02,85,Diplotropis sp.,Fabaceae,732115.1912,9634285.135,48.3,26.0,16.73,False,O,7
SAN_A02,86,Cecropia ficifolia,Urticaceae,732127.3141,9634284.624,37.2,24.93,15.65,False,O,7
