site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FNA_A01,11,,,715519.6449,8617089.553,0.58,0.036938654,14.2,7.51,,D,O,T02,13.62
FNA_A01,12,,,715514.1604,8617098.81,0.7,0.204866562,23.4,14.29,,D,O,T02,18.99
FNA_A01,13,,,715509.7494,8617101.15,0.58,0.190253452,27.8,10.78,,D,O,T02,21.14
FNA_A01,14,,,715509.5779,8617115.297,0.58,0.242953281,30.5,11.59,,D,O,T02,22.35
FNA_A01,15,,,715495.2689,8617120.121,0.58,0.013590305,13.7,2.42,,D,O,T02,13.29
FNA_A01,16,,,715493.9952,8617117.895,0.58,0.205361934,23.0,18.82,,D,O,T02,18.79
FNA_A01,17,,,715491.2711,8617109.365,0.58,0.028868037,14.6,5.19,,D,O,T02,13.89
FNA_A01,18,,,715461.3822,8617227.784,0.58,0.185930435,49.0,2.62,,D,O,T02,28.99
FNA_A01,19,,,715467.1871,8617235.772,0.58,0.058268288,24.6,3.42,,D,O,T02,19.6
FNA_A01,20,,,715465.1156,8617236.057,0.7,0.023719709,11.5,5.82,,D,O,T02,11.75
FNA_A01,21,,,715477.0681,8617237.31,0.7,0.088861172,19.5,8.04,,D,O,T02,16.88
FNA_A01,22,,,715470.2217,8617248.389,0.7,0.047509092,15.6,6.45,,D,O,T02,14.54
FNA_A01,23,,,715470.3806,8617247.401,0.7,0.0301436,13.0,5.78,,D,O,T02,12.81
FNA_A01,24,,,715492.5067,8617260.966,0.7,0.019327816,12.5,3.69,,D,O,T02,12.46
FNA_A01,25,,,715496.6179,8617260.594,0.7,0.022171754,10.8,6.25,,D,O,T02,11.23
FNA_A01,26,,,715497.4472,8617261.735,0.7,0.253687051,29.5,10.53,,D,O,T02,21.91
FNA_A01,27,,,715494.1652,8617263.248,0.7,0.134668696,21.1,11.02,,D,O,T02,17.78
FNA_A01,28,,,715489.1011,8617269.544,0.7,0.235991655,25.7,13.51,,D,O,T02,20.14
FNA_A01,29,,,715488.0778,8617263.313,0.58,0.446949821,30.5,24.42,,D,O,T02,22.35
FNA_A01,30,,,715491.7126,8617265.903,0.7,1.517214637,50.9,24.72,,D,O,T02,29.54
FNA_A01,31,,,715488.7131,8617259.364,0.7,0.123047684,16.4,18.28,,D,O,T02,15.04
FNA_A01,32,,,715487.7602,8617265.287,0.7,0.238237002,22.6,18.71,,D,O,T02,18.58
FNA_A01,33,,,715488.113,8617269.39,0.58,0.123280128,20.6,13.2,,D,O,T02,17.5
FNA_A01,34,,,715477.2439,8617267.698,0.58,0.00709593,10.1,2.3,,D,O,T02,10.7
FNA_A01,35,,,715467.9982,8617262.211,0.58,0.083146378,19.2,9.69,,D,O,T02,16.71
FNA_A01,36,,,715468.9863,8617262.365,0.7,0.256029423,23.6,18.38,,D,O,T02,19.1
FNA_A01,37,,,715467.1689,8617261.07,0.6,0.197565442,27.6,11.03,,D,O,T02,21.05
FNA_A01,38,,,715470.6097,8617258.569,0.58,0.385404172,29.0,23.05,,D,O,T02,21.68
FNA_A01,39,,,715448.7479,8617262.25,0.58,0.353143143,49.2,5.69,,D,O,T02,29.05
FNA_A01,40,,,715436.8505,8617369.129,0.58,0.11671672,38.0,2.76,,D,O,T02,25.35
FNA_A01,41,,,715440.1595,8617373.786,0.58,0.041795023,15.1,7.52,,D,O,T02,14.21
FNA_A01,42,,,715443.9819,8617381.583,0.58,0.368940472,29.5,20.96,,D,O,T02,21.91
FNA_A01,43,,,715445.9504,8617381.936,0.58,0.287368317,25.9,21.22,,D,O,T02,20.24
FNA_A01,44,,,715446.0773,8617400.243,0.58,0.092434587,20.0,9.98,,D,O,T02,17.17
FNA_A01,45,,,715443.9518,8617400.877,0.58,0.173296294,45.1,2.95,,D,O,T02,27.79
FNA_A01,46,,,715432.6116,8617395.794,0.58,0.081173792,17.8,11.32,,D,O,T02,15.89
FNA_A01,47,,,715428.2556,8617407.913,0.7,0.076777026,16.3,10.42,,D,O,T02,14.98
FNA_A01,48,,,715426.6759,8617414.028,0.7,0.063527431,17.2,7.25,,D,O,T02,15.53
FNA_A01,49,,,715475.877,8617397.467,0.58,0.619118537,44.0,14.85,,D,O,T02,27.43
FNA_A01,50,,,715473.9084,8617397.113,0.6,0.815153086,40.7,24.12,,D,O,T02,26.32
FNA_A01,51,,,715468.6731,8617398.205,0.6,0.352239446,28.7,20.32,,D,O,T02,21.55
FNA_A01,52,Cordia scabrifolia,Boraginaceae,715433.4716,8617524.81,0.474,1.31213887,48.8,22.84,16.54,A,O,T02,28.93
FNA_A01,53,,,715429.8751,8617528.26,0.6,0.133116257,23.5,10.08,,D,O,T02,19.05
FNA_A01,54,,,715430.5707,8617536.49,0.6,0.031267513,15.6,4.67,,D,O,T02,14.54
FNA_A01,55,,,715440.9102,8617535.191,0.6,0.24524066,30.8,10.98,,D,O,T02,22.48
FNA_A01,56,,,715445.9714,8617528.946,0.7,0.422563848,26.5,25.55,,D,O,T02,20.53
FNA_A01,57,,,715448.2914,8617533.394,0.7,0.936128877,37.2,29.48,,D,O,T02,25.05
FNA_A01,58,,,715454.3674,8617533.404,0.7,0.114306773,21.5,8.61,,D,O,T02,17.99
FNA_A01,59,,,715456.1226,8617522.545,0.7,0.546263541,31.0,23.83,,D,O,T02,22.56
FNA_A01,60,,,715447.5223,8617544.419,0.7,0.027291688,16.8,2.73,,D,O,T02,15.29
FNA_A01,61,,,715447.8988,8617554.624,0.7,0.055955733,15.6,7.88,,D,O,T02,14.54
FNA_A01,62,,,715449.3922,8617557.918,0.7,0.287968284,21.9,25.48,,D,O,T02,18.21
FNA_A01,63,,,715448.9135,8617560.879,0.7,0.142300811,36.7,3.05,,D,O,T02,24.86
FNA_A01,1,,,715282.9809,8617051.627,0.58,0.06144681,16.7,9.41,,D,O,T03,15.22
FNA_A01,2,,,715285.2289,8617048.61,0.58,0.097602071,21.9,8.54,,D,O,T03,18.21
FNA_A01,3,,,715290.107,8617037.99,0.7,0.189740734,23.8,12.48,,D,O,T03,19.2
FNA_A01,4,,,715328.472,8617053.115,0.7,0.211279263,36.0,5.18,,D,O,T03,24.6
FNA_A01,5,,,715319.9912,8617062.651,0.7,0.013111423,11.3,2.94,,D,O,T03,11.6
FNA_A01,6,,,715318.5099,8617068.445,0.7,0.290413042,27.2,15.16,,D,O,T03,20.86
FNA_A01,7,,,715324.2175,8617076.606,0.7,0.105398962,20.5,8.76,,D,O,T03,17.45
FNA_A01,8,,,715320.0598,8617073.798,0.7,0.0551142,27.7,1.9,,D,O,T03,21.09
FNA_A01,9,,,715321.6928,8617078.155,0.7,0.105806543,16.0,16.14,,D,O,T03,14.79
FNA_A01,10,,,715313.665,8617078.666,0.7,0.034571834,19.6,2.5,,D,O,T03,16.94
FNA_A01,11,,,715297.707,8617066.549,0.6,0.375821631,34.6,13.92,,D,O,T03,24.05
FNA_A01,12,,,715296.1986,8617060.698,0.7,0.043330744,12.9,9.18,,D,O,T03,12.74
FNA_A01,13,,,715266.959,8617208.851,0.58,0.089919036,29.7,3.67,,D,O,T03,22.0
FNA_A01,14,,,715278.2092,8617206.576,0.58,0.072307911,19.1,8.27,,D,O,T03,16.65
FNA_A01,15,,,715281.2687,8617206.046,0.58,0.021380111,13.5,4.36,,D,O,T03,13.15
FNA_A01,16,,,715282.6399,8617202.22,0.58,0.013597255,11.1,4.04,,D,O,T03,11.45
FNA_A01,17,,,715286.1116,8617197.41,0.58,0.063866013,15.2,12.42,,D,O,T03,14.28
FNA_A01,18,,,715315.115,8617198.226,0.7,0.021038571,11.5,5.02,,D,O,T03,11.75
FNA_A01,21,,,715302.2944,8617237.641,0.58,0.474622462,35.0,18.77,,D,O,T03,24.21
FNA_A01,22,,,715287.3803,8617236.309,0.58,0.36279659,29.9,19.86,,D,O,T03,22.09
FNA_A01,23,,,715278.0764,8617228.785,0.58,0.137387342,27.7,7.31,,D,O,T03,21.09
FNA_A01,24,,,715280.9443,8617230.246,0.58,0.023562672,15.0,3.79,,D,O,T03,14.15
FNA_A01,25,,,715282.6694,8617212.329,0.58,0.022696252,14.6,3.87,,D,O,T03,13.89
FNA_A01,26,,,715263.8626,8617230.595,0.58,2.119413454,58.1,33.87,,D,O,T03,31.47
FNA_A01,27,,,715259.5663,8617351.468,0.58,0.056328699,16.1,9.26,,D,O,T03,14.85
FNA_A01,28,,,715256.8188,8617358.118,0.58,0.031625461,13.2,7.43,,D,O,T03,12.95
FNA_A01,29,,,715257.0358,8617365.229,0.58,0.04489928,14.5,9.06,,D,O,T03,13.82
FNA_A01,30,,,715263.9531,8617366.302,0.58,0.058360008,18.6,6.79,,D,O,T03,16.36
FNA_A01,31,,,715264.8311,8617367.449,0.58,0.978334717,51.0,18.1,,D,O,T03,29.57
FNA_A01,32,,,715287.783,8617359.888,0.58,0.028957366,13.0,6.92,,D,O,T03,12.81
FNA_A01,33,,,715287.5627,8617361.876,0.58,0.014721151,10.6,4.99,,D,O,T03,11.08
FNA_A01,34,,,715286.6846,8617360.729,0.58,0.040800326,13.2,10.14,,D,O,T03,12.95
FNA_A01,35,,,715293.2747,8617355.685,0.58,0.020490495,17.9,2.08,,D,O,T03,15.95
FNA_A01,36,,,715289.8596,8617386.496,0.58,0.024542601,11.6,7.47,,D,O,T03,11.82
FNA_A01,37,,,715286.7849,8617387.03,0.58,0.041433426,17.4,5.26,,D,O,T03,15.65
FNA_A01,38,,,715252.8595,8617375.702,0.58,0.043891992,25.7,2.17,,D,O,T03,20.14
FNA_A01,39,,,715264.2141,8617494.218,0.58,0.057228804,14.5,12.19,,D,O,T03,13.82
FNA_A01,40,,,715262.8881,8617505.138,0.58,0.119473245,24.4,8.4,,D,O,T03,19.5
FNA_A01,41,,,715261.7737,8617506.02,0.58,0.21357889,24.3,17.26,,D,O,T03,19.45
FNA_A01,42,,,715262.0148,8617504.034,0.58,0.018263838,12.2,4.6,,D,O,T03,12.25
FNA_A01,43,,,715250.2688,8617517.811,0.58,0.502140786,45.0,10.88,,D,O,T03,27.76
FNA_A01,44,,,715256.3521,8617517.487,0.58,0.076598149,19.0,8.99,,D,O,T03,16.6
FNA_A01,45,,,715275.4133,8617534.715,0.58,0.325880321,27.8,20.82,,D,O,T03,21.14
FNA_A01,46,,,715275.1722,8617536.701,0.58,0.339123851,29.3,19.22,,D,O,T03,21.82
FNA_A01,47,,,715244.2444,8617534.242,0.58,0.261017821,29.1,14.19,,D,O,T03,21.73
FNA_A01,1,Esenbeckia febrifuga,Rutaceae,715081.6881,8617007.905,0.64,0.004895235,5.3,5.35,1.23,A,O,T04,6.62
FNA_A01,2,Esenbeckia febrifuga,Rutaceae,715081.589,8617007.891,0.64,0.006803508,6.3,5.26,1.32,A,O,T04,7.54
FNA_A01,3,Esenbeckia febrifuga,Rutaceae,715080.8273,8617015.459,0.64,0.008964517,6.6,6.32,2.95,A,O,T04,7.81
FNA_A01,4,Esenbeckia febrifuga,Rutaceae,715081.5185,8617021.312,0.64,0.006271997,5.4,6.6,2.56,A,O,T04,6.71
FNA_A01,5,Esenbeckia febrifuga,Rutaceae,715078.7284,8617026.07,0.64,0.009191671,6.4,6.89,3.51,A,O,T04,7.64
FNA_A01,6,Esenbeckia febrifuga,Rutaceae,715080.5044,8617029.955,0.64,0.008624642,6.3,6.67,3.04,A,O,T04,7.54
FNA_A01,7,,,715078.7385,8617037.483,0.58,0.106318275,22.2,9.17,,D,O,T04,18.37
FNA_A01,8,,,715080.5194,8617037.026,0.58,0.031444515,19.2,2.95,,D,O,T04,16.71
FNA_A01,9,Esenbeckia febrifuga,Rutaceae,715081.1474,8617039.74,0.64,0.007009802,6.3,5.42,3.04,A,O,T04,7.54
FNA_A01,10,Esenbeckia febrifuga,Rutaceae,715080.813,8617042.117,0.64,0.010040822,6.9,6.47,2.05,A,O,T04,8.08
FNA_A01,11,,,715078.5873,8617052.912,0.58,0.268614162,32.6,11.14,,D,O,T04,23.24
FNA_A01,12,Cordia scabrifolia,Boraginaceae,715084.6497,8617050.735,0.474,0.008512885,9.3,4.08,2.04,A,O,T04,10.08
FNA_A01,13,,,715091.5814,8617051.711,0.58,0.021287752,13.9,4.04,,D,O,T04,13.42
FNA_A01,14,,,715112.0979,8617056.617,0.58,0.287182886,48.5,4.57,,D,O,T04,28.84
FNA_A01,15,Pouteria gongrijpii,Sapotaceae,715113.9391,8617057.886,0.799402922,0.26900049,19.6,17.21,12.81,A,O,T04,16.94
FNA_A01,16,,,715113.0732,8617049.686,0.58,0.600295956,37.0,21.84,,D,O,T04,24.98
FNA_A01,17,,,715118.1637,8617049.392,0.58,0.909611295,50.8,16.72,,D,O,T04,29.51
FNA_A01,18,Sacoglottis guianensis,Humiriaceae,715123.9809,8617058.289,0.84,3.587025333,54.3,28.45,19.91,A,O,T04,30.48
FNA_A01,19,Esenbeckia febrifuga,Rutaceae,715126.7523,8617031.413,0.64,0.014819976,8.2,6.77,2.74,A,O,T04,9.19
FNA_A01,20,Esenbeckia febrifuga,Rutaceae,715127.2072,8617032.487,0.64,0.011708539,7.4,6.56,3.38,A,O,T04,8.51
FNA_A01,21,Esenbeckia febrifuga,Rutaceae,715126.613,8617032.404,0.64,0.029112996,9.8,9.31,3.3,A,O,T04,10.47
FNA_A01,22,,,715118.5367,8617025.208,0.58,0.004899024,7.6,2.93,,D,O,T04,8.68
FNA_A01,23,,,715115.8596,8617029.881,0.58,0.029298824,10.8,11.05,,D,O,T04,11.23
FNA_A01,24,Cecropia distachya,Urticaceae,715108.9279,8617028.905,0.358461538,0.011119003,9.6,6.61,5.23,A,O,T04,10.31
FNA_A01,25,Cecropia distachya,Urticaceae,715108.2163,8617026.785,0.358461538,0.007521723,8.7,5.45,4.79,A,O,T04,9.6
FNA_A01,26,,,715097.1843,8617026.243,0.58,0.909545448,51.5,16.17,,D,O,T04,29.71
FNA_A01,27,,,715096.1641,8617011.962,0.6,0.038752459,24.3,2.05,,D,O,T04,19.45
FNA_A01,28,,,715095.3132,8617010.832,0.6,0.448974859,32.9,19.57,,D,O,T04,23.36
FNA_A01,29,,,715091.7701,8617007.304,0.6,0.023667866,11.5,7.0,,D,O,T04,11.75
FNA_A01,30,,,715087.8092,8617006.747,0.58,0.333482724,27.3,22.38,,D,O,T04,20.91
FNA_A01,31,Cecropia distachya,Urticaceae,715086.9582,8617005.617,0.358461538,0.005613686,6.9,6.46,5.52,A,O,T04,8.08
FNA_A01,32,,,715071.5107,8617159.282,0.58,0.780980068,41.3,23.02,,D,O,T04,26.53
FNA_A01,33,,,715064.5579,8617170.152,0.7,0.077549344,18.8,7.44,,D,O,T04,16.48
FNA_A01,34,,,715065.7099,8617169.357,0.6,0.035248671,10.8,13.29,,D,O,T04,11.23
