tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
16,Simarouba amara,Simaroubaceae,799315.829,9725923.409,28.7,False,O,1,21.55
17,Xylopia nitida,Annonaceae,799321.2088,9725918.025,17.6,False,O,1,15.77
18,Inga alba,Fabaceae,799323.4722,9725913.005,11.5,False,O,1,11.75
19,,,799323.4527,9725917.355,16.3,False,O,1,14.98
20,Hevea brasiliensis,Euphorbiaceae,799326.0824,9725915.207,30.5,False,O,1,22.35
21,Xylopia nitida,Annonaceae,799322.1858,9725921.653,19.7,False,O,1,17.0
22,Simarouba amara,Simaroubaceae,799319.9342,9725926.258,12.4,False,O,1,12.39
23,Hevea brasiliensis,Euphorbiaceae,799317.0731,9725926.783,45.0,False,O,1,27.76
24,Zanthoxylum rhoifolium,Rutaceae,799314.9917,9725929.235,16.3,False,O,1,14.98
25,,,799311.8047,9725931.855,12.6,False,O,1,12.53
26,Xylopia nitida,Annonaceae,799313.1096,9725935.249,16.6,False,O,1,15.16
27,Inga alba,Fabaceae,799318.0417,9725943.203,23.5,False,O,1,19.05
28,Xylopia nitida,Annonaceae,799313.3808,9725942.469,18.2,False,O,1,16.13
29,Guatteria schomburgkiana,Annonaceae,799314.7875,9725944.656,18.7,False,O,1,16.42
30,Zanthoxylum rhoifolium,Rutaceae,799317.2208,9725942.602,10.4,False,O,1,10.93
31,Zanthoxylum rhoifolium,Rutaceae,799318.365,9725937.967,19.8,False,O,1,17.05
32,Tapirira guianensis,Anacardiaceae,799318.034,9725935.295,42.2,False,O,1,26.83
33,Xylopia nitida,Annonaceae,799321.2633,9725938.192,30.2,False,O,1,22.22
34,Tapirira guianensis,Anacardiaceae,799322.4007,9725937.61,12.0,False,O,1,12.11
35,Xylopia nitida,Annonaceae,799324.7612,9725939.905,11.8,False,O,1,11.96
36,Xylopia nitida,Annonaceae,799327.663,9725943.687,36.1,False,O,1,24.63
37,Xylopia nitida,Annonaceae,799323.9643,9725946.518,24.0,False,O,1,19.3
38,Xylopia nitida,Annonaceae,799324.1848,9725946.777,14.0,False,O,1,13.49
39,Xylopia nitida,Annonaceae,799324.0137,9725947.053,16.7,False,O,1,15.22
40,Xylopia nitida,Annonaceae,799330.5831,9725947.172,30.0,False,O,1,22.13
41,,,799329.9282,9725942.622,12.1,False,O,1,12.18
42,,,799330.1416,9725942.564,19.4,False,O,1,16.83
43,Xylopia nitida,Annonaceae,799331.2816,9725940.303,23.8,False,O,1,19.2
44,Xylopia nitida,Annonaceae,799330.7191,9725936.306,14.7,False,O,1,13.95
45,Hevea brasiliensis,Euphorbiaceae,799330.8022,9725936.01,10.6,False,O,1,11.08
46,Zanthoxylum rhoifolium,Rutaceae,799332.8363,9725901.438,14.0,False,O,1,13.49
47,Xylopia nitida,Annonaceae,799330.2692,9725930.669,22.5,False,O,1,18.53
48,Xylopia nitida,Annonaceae,799330.461,9725930.711,30.5,False,O,1,22.35
49,Cordia scabrifolia,Boraginaceae,799333.1423,9725928.781,16.6,False,O,1,15.16
50,Xylopia nitida,Annonaceae,799330.116,9725927.505,19.1,False,O,1,16.65
51,Euterpe oleracea,Arecaceae,799335.3569,9725922.775,10.6,False,P,1,11.08
52,Xylopia nitida,Annonaceae,799336.5659,9725922.195,11.0,False,O,1,11.38
53,Vismia latifolia,Hypericaceae,799338.5877,9725908.321,10.8,False,O,1,11.23
54,Vismia latifolia,Hypericaceae,799338.56,9725908.42,10.4,False,O,1,10.93
55,Vismia latifolia,Hypericaceae,799337.2621,9725909.196,12.5,False,O,1,12.46
