site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,hcom_2014,htot_2014,dbh_2016,dead_2016,plot_id,htot_feldpausch
SAN_A01,42,Cecropia ficifolia,Urticaceae,735737.6419,9669971.904,O,37.9,False,12.23,24.62,37.0,False,2,24.98
SAN_A01,43,Dimorphandra macrostachya,Fabaceae,735747.9567,9669968.64,O,37.6,False,16.65,28.49,42.3,False,2,26.87
SAN_A01,44,Pseudopiptadenia suaveolens,Fabaceae,735749.3636,9669964.166,O,63.0,False,28.26,44.77,63.0,False,2,32.64
SAN_A01,45,Jacaranda copaia,Bignoniaceae,735606.0347,9669962.225,O,18.2,False,18.85,21.37,18.8,False,3,16.48
SAN_A01,46,Schefflera morototoni,Araliaceae,735605.5713,9669966.478,O,11.9,False,15.04,17.69,12.7,False,3,12.6
SAN_A01,47,Jacaranda copaia,Bignoniaceae,735600.43,9669963.302,O,12.5,False,16.48,19.24,12.7,False,3,12.6
SAN_A01,48,Cecropia ficifolia,Urticaceae,735600.4912,9669962.978,O,15.7,False,12.95,15.23,17.6,False,3,15.77
SAN_A01,49,Cecropia ficifolia,Urticaceae,735599.4525,9669964.806,O,27.4,False,13.67,29.04,32.2,False,3,23.07
SAN_A01,50,Helicostylis sp.,Moraceae,735593.2042,9669965.241,O,30.6,False,19.53,25.03,31.2,False,3,22.65
SAN_A01,51,Helicostylis sp.,Moraceae,735594.8494,9669966.922,O,38.3,False,20.64,27.59,39.3,False,3,25.82
SAN_A01,52,Minquartia guianensis,Olacaceae,735601.1379,9669962.89,O,35.9,False,6.67,18.18,36.6,False,3,24.82
SAN_A01,53,Iryanthera paraensis,Myristicaceae,735583.9456,9669966.618,O,26.2,False,16.9,22.91,26.5,False,3,20.53
SAN_A01,54,Pouteria sp.,Sapotaceae,735578.3174,9669965.988,O,26.9,False,12.42,22.75,27.0,False,3,20.76
SAN_A01,55,Pouteria guianensis,Sapotaceae,735577.4535,9669967.401,O,16.7,False,15.77,21.8,17.1,False,3,15.47
SAN_A01,56,Neea oppositifolia,Nyctaginaceae,735573.3282,9669966.666,O,14.5,False,10.31,16.86,14.8,False,3,14.02
SAN_A01,57,Pourouma villosa,Urticaceae,735571.6725,9669967.108,O,32.7,False,16.2,26.3,33.7,False,3,23.69
SAN_A01,58,Inga thibaudiana,Fabaceae,735565.5367,9669970.784,O,11.2,False,14.53,19.59,11.2,False,3,11.53
SAN_A01,59,Cecropia ficifolia,Urticaceae,735561.8718,9669968.221,O,17.9,False,18.01,23.05,17.7,False,3,15.83
SAN_A01,60,Cecropia ficifolia,Urticaceae,735562.3879,9669972.208,O,33.9,False,21.43,29.24,33.7,False,3,23.69
SAN_A01,61,Inga thibaudiana,Fabaceae,735563.0223,9670019.603,O,11.5,False,4.96,8.39,11.9,False,3,12.03
SAN_A01,62,Diplotropis sp.,Fabaceae,735574.7006,9669982.726,O,52.0,False,21.99,32.08,52.0,False,3,29.85
SAN_A01,63,,,735566.3192,9669994.933,O,68.7,True,0.98,3.81,,True,3,
SAN_A01,64,Cecropia ficifolia,Urticaceae,735579.0317,9670014.488,O,35.0,False,20.32,31.48,35.0,False,3,24.21
SAN_A01,65,Lecythis idatimon,Lecythidaceae,735574.9454,9670015.233,O,37.0,False,18.39,23.01,38.0,False,3,25.35
SAN_A01,66,Inga thibaudiana,Fabaceae,735570.7023,9670010.558,O,37.9,False,17.96,24.39,40.0,False,3,26.07
SAN_A01,68,Astronium graveolens,Anacardiaceae,735585.7353,9670005.736,O,61.3,False,26.39,38.2,63.4,False,3,32.73
SAN_A01,69,Goupia glabra,Goupiaceae,735597.6833,9670014.279,O,56.5,False,21.22,31.06,56.8,False,3,31.14
SAN_A01,70,Coussarea brevicaulis,Rubiaceae,735595.7135,9670002.917,O,42.0,False,13.08,24.28,42.3,False,3,26.87
SAN_A01,71,Cecropia ficifolia,Urticaceae,735608.8858,9669983.804,O,36.3,False,25.65,34.49,37.0,False,3,24.98
SAN_A01,72,Tetragastris altissima,Burseraceae,735583.4322,9669983.544,O,41.9,False,9.42,20.01,42.1,False,3,26.8
SAN_A01,73,Cecropia ficifolia,Urticaceae,735604.8608,9669973.926,O,38.0,False,25.51,31.03,38.9,False,3,25.68
SAN_A01,74,Jacaranda copaia,Bignoniaceae,735453.7679,9669988.409,O,26.4,False,22.37,29.73,28.0,False,4,21.23
SAN_A01,75,Jacaranda copaia,Bignoniaceae,735454.4411,9669985.322,O,14.2,False,16.81,20.58,14.5,False,4,13.82
SAN_A01,76,Guatteria schomburgkiana,Annonaceae,735452.6533,9669985.63,O,20.3,False,17.24,21.0,22.0,False,4,18.26
SAN_A01,77,Jacaranda copaia,Bignoniaceae,735452.7259,9669988.589,O,11.7,False,17.0,20.52,11.8,False,4,11.96
SAN_A01,78,Jacaranda copaia,Bignoniaceae,735452.8441,9669989.559,O,28.0,False,22.25,28.26,29.7,False,4,22.0
SAN_A01,79,Cecropia ficifolia,Urticaceae,735448.1365,9669986.407,O,21.1,False,17.38,21.5,21.6,False,4,18.05
SAN_A01,80,Cecropia ficifolia,Urticaceae,735441.7378,9669987.508,O,27.5,False,22.02,32.11,27.2,False,4,20.86
SAN_A01,81,Jacaranda copaia,Bignoniaceae,735441.8608,9669988.775,O,22.1,False,21.68,27.44,24.3,False,4,19.45
SAN_A01,82,Apeiba petoumo,Malvaceae,735435.8723,9669991.591,O,16.2,False,17.09,23.6,16.3,False,4,14.98
SAN_A01,83,Cecropia ficifolia,Urticaceae,735435.7856,9669991.705,O,26.7,False,23.45,29.59,27.0,False,4,20.76
SAN_A01,84,Jacaranda copaia,Bignoniaceae,735435.6586,9669991.331,O,23.7,False,20.26,28.45,25.0,False,4,19.8
SAN_A01,85,Cecropia ficifolia,Urticaceae,735433.6123,9669989.7,O,23.7,False,18.74,26.86,23.5,False,4,19.05
SAN_A01,86,,,735432.2129,9669990.139,O,12.7,True,2.12,3.98,12.7,True,4,12.6
SAN_A01,87,Rinorea racemosa,Violaceae,735425.2259,9669992.83,O,18.5,False,7.46,13.96,19.0,False,4,16.6
SAN_A01,88,Inga thibaudiana,Fabaceae,735423.1074,9669994.286,O,24.3,False,9.68,23.09,26.7,False,4,20.62
SAN_A01,89,Cecropia ficifolia,Urticaceae,735414.9499,9669995.692,O,24.4,False,23.13,28.3,24.1,False,4,19.35
SAN_A01,90,Jacaranda copaia,Bignoniaceae,735412.9339,9669995.245,O,13.3,False,12.23,16.88,,True,4,
SAN_A01,91,Jacaranda copaia,Bignoniaceae,735412.8797,9669993.467,O,29.2,False,21.89,29.57,30.5,False,4,22.35
SAN_A01,92,,,735421.2796,9669999.96,O,43.5,True,1.94,15.45,43.5,True,4,27.27
SAN_A01,93,Endlicheria sp.,Lauraceae,735413.0686,9670009.321,O,72.3,False,29.57,41.09,,True,4,
SAN_A01,94,Brosimum parinarioides,Moraceae,735422.7296,9670025.512,O,82.3,False,15.56,25.15,82.6,False,4,36.46
SAN_A01,95,Qualea paraensis,Vochysiaceae,735424.5482,9670021.226,O,70.7,False,27.12,36.58,72.4,False,4,34.63
SAN_A01,96,Goupia glabra,Goupiaceae,735444.1938,9670034.664,O,82.7,False,21.95,35.36,,True,4,
SAN_A01,97,Eschweilera coriacea,Lecythidaceae,735448.293,9670023.044,O,37.3,False,15.01,22.4,37.8,False,4,25.28
SAN_A01,98,Goupia glabra,Goupiaceae,735429.8024,9670008.408,O,42.1,False,17.39,29.39,43.2,False,4,27.17
SAN_A01,99,Minquartia guianensis,Olacaceae,735435.4544,9670004.454,O,66.4,False,14.56,24.08,66.5,False,4,33.42
SAN_A01,1,Rinorea racemosa,Violaceae,738101.9862,9666050.319,O,21.4,False,2.33,8.5,21.5,False,5,17.99
SAN_A01,2,,,738103.3904,9666047.712,O,30.0,True,,7.84,31.0,True,5,22.56
SAN_A01,3,Rinorea guianensis,Violaceae,738106.218,9666047.44,O,22.4,False,15.4,22.0,22.3,False,5,18.42
SAN_A01,4,Inga heterophylla,Fabaceae,738102.8281,9666045.153,O,18.2,False,12.42,18.8,18.8,False,5,16.48
SAN_A01,5,Lecythis idatimon,Lecythidaceae,738107.1493,9666040.969,O,13.9,False,9.99,15.84,14.0,False,5,13.49
SAN_A01,6,Rinorea racemosa,Violaceae,738109.8595,9666039.399,O,15.6,False,7.63,12.51,16.1,False,5,14.85
SAN_A01,7,Strychnos subcordata,Loganiaceae,738111.4518,9666037.276,O,23.6,False,10.64,18.67,24.0,False,5,19.3
SAN_A01,8,Inga alba,Fabaceae,738110.0661,9666034.949,O,61.6,False,17.07,32.62,63.9,False,5,32.85
SAN_A01,9,Alexa grandiflora,Fabaceae,738116.2631,9666031.675,O,11.3,False,8.51,11.83,11.8,False,5,11.96
SAN_A01,10,Cordia scabrifolia,Boraginaceae,738086.1422,9666013.616,O,39.4,False,26.36,31.03,41.0,False,5,26.42
SAN_A01,11,Xylopia nitida,Annonaceae,738085.2346,9666013.061,O,37.9,False,21.05,32.42,,True,5,
SAN_A01,12,Schefflera morototoni,Araliaceae,738090.2866,9666014.9,O,56.2,False,19.55,29.3,59.0,False,5,31.69
SAN_A01,13,Bixa arborea,Bixaceae,738078.219,9666015.057,O,35.2,False,12.97,20.29,36.0,False,5,24.6
SAN_A01,14,Handroanthus impetiginosus,Bignoniaceae,738067.569,9666031.203,O,53.4,False,23.97,36.91,54.1,False,5,30.43
SAN_A01,15,Eschweilera coriacea,Lecythidaceae,738070.8925,9666035.691,O,36.7,False,16.47,25.7,37.8,False,5,25.28
SAN_A01,16,Swartzia corrugata,Fabaceae,738074.9967,9666034.4,O,41.9,False,23.45,33.7,43.5,False,5,27.27
SAN_A01,17,Bixa arborea,Bixaceae,738079.7925,9666029.79,O,37.2,False,13.88,25.7,37.3,False,5,25.09
SAN_A01,18,Rinorea guianensis,Violaceae,738169.1414,9665929.572,O,28.3,False,11.84,24.23,,True,6,
SAN_A01,19,Pouteria gongrijpii,Sapotaceae,738172.2365,9665928.379,O,29.0,False,15.14,23.1,28.6,False,6,21.5
SAN_A01,20,Minquartia guianensis,Olacaceae,738175.1806,9665923.293,O,26.8,False,12.15,17.93,26.9,False,6,20.72
SAN_A01,21,Protium paniculatum,Burseraceae,738178.8116,9665920.416,O,16.7,False,9.15,20.22,17.7,False,6,15.83
