site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh_2009,type_2009,dead_2009,hcom_2009,htot_2009,dbh_2011,type_2011,dead_2011,hcom_2011,htot_2011,plot_id
DUC_A01,1086,Lecythis idatimon,Lecythidaceae,173145.7381,9674152.064,35.1,O,False,20.16,25.04,35.3,O,False,20.17,24.36,T01
DUC_A01,1089,Pouteria gongrijpii,Sapotaceae,173148.5989,9674143.337,8.8,O,False,8.09,13.42,8.6,O,False,8.07,12.77,T01
DUC_A01,1090,Pouteria gongrijpii,Sapotaceae,173143.6075,9674142.367,63.8,O,False,29.12,36.95,63.7,O,True,1.29,23.33,T01
DUC_A01,1091,Protium hebetatum,Burseraceae,173149.3655,9674134.453,9.8,O,False,11.07,14.07,10.0,O,False,7.8,13.22,T01
DUC_A01,1092,Pouteria gongrijpii,Sapotaceae,173148.8117,9674133.816,36.5,O,False,20.77,28.48,35.3,O,False,8.37,28.03,T01
DUC_A01,1094,Pouteria gongrijpii,Sapotaceae,173149.1902,9674126.095,12.9,O,False,12.24,15.79,13.0,O,False,8.6,16.3,T01
DUC_A01,1095,,,173149.5891,9674126.125,7.1,O,False,3.34,7.82,7.3,O,False,3.85,7.42,T01
DUC_A01,1096,Virola elongata,Myristicaceae,173150.3812,9674103.533,10.1,O,False,8.08,10.66,10.1,O,False,6.12,11.0,T01
DUC_A01,1098,Lecythis idatimon,Lecythidaceae,173152.6112,9674091.182,35.3,O,False,17.29,28.65,35.7,O,False,19.08,26.57,T01
DUC_A01,1099,Clusia insignis,Clusiaceae,173152.6557,9674090.59,8.3,O,False,11.62,17.34,8.4,O,False,5.42,12.78,T01
DUC_A01,1100,Eschweilera coriacea,Lecythidaceae,173148.9337,9674086.734,42.5,O,False,23.48,29.39,42.5,O,False,16.06,26.11,T01
DUC_A01,1101,Licania canescens,Chrysobalanaceae,173150.0198,9674085.623,32.1,O,False,22.47,29.38,32.5,O,False,21.43,37.68,T01
DUC_A01,1102,Licania guianensis,Chrysobalanaceae,173151.6839,9674076.807,21.0,O,False,8.19,12.95,21.2,O,False,4.86,7.03,T01
DUC_A01,1103,Manilkara bidentata,Sapotaceae,173152.1165,9674075.051,32.1,O,False,17.87,26.22,32.2,O,False,15.21,23.34,T01
DUC_A01,1105,Eschweilera coriacea,Lecythidaceae,173154.5542,9674074.638,13.9,O,False,11.15,16.9,14.0,O,False,11.6,16.9,T01
DUC_A01,1106,,,173154.5205,9674076.423,7.8,L,False,,21.38,8.0,L,False,0.0,0.0,T01
DUC_A01,1107,,,173154.4519,9674085.36,15.9,O,False,10.36,17.81,16.2,O,False,15.43,27.74,T01
DUC_A01,1108,Eschweilera coriacea,Lecythidaceae,173153.7418,9674089.479,14.2,O,False,14.33,17.74,14.3,O,False,16.54,21.9,T01
DUC_A01,1109,Pouteria gongrijpii,Sapotaceae,173155.0382,9674089.576,26.4,O,False,13.77,25.43,26.7,O,False,20.46,29.43,T01
DUC_A01,1110,Oenocarpus bataua,Arecaceae,173152.5725,9674114.427,21.4,P,False,18.26,25.86,21.4,P,False,16.67,24.88,T01
DUC_A01,1111,Ocotea cernua,Lauraceae,173152.117,9674119.161,14.7,O,False,12.3,14.99,14.8,O,False,10.11,15.5,T01
DUC_A01,1112,Tovomita sp.,Clusiaceae,173152.117,9674119.161,11.3,O,False,18.08,24.71,11.5,O,False,10.11,14.08,T01
DUC_A01,1113,Pouteria gongrijpii,Sapotaceae,173153.4108,9674129.988,70.0,O,False,26.91,35.78,69.1,O,False,23.4,36.97,T01
DUC_A01,1115,Ficus broadwayi,Moraceae,173151.0163,9674135.173,32.0,O,False,20.91,28.39,31.0,O,False,24.84,42.58,T01
DUC_A01,1116,Pouteria gongrijpii,Sapotaceae,173151.0163,9674135.173,45.0,O,False,29.52,38.64,45.0,O,False,22.29,31.56,T01
DUC_A01,1117,Protium paniculatum,Burseraceae,173150.8924,9674143.509,32.6,O,False,15.31,23.24,33.0,O,False,17.04,33.67,T01
DUC_A01,1118,Pouteria gongrijpii,Sapotaceae,173150.7146,9674145.88,50.1,O,False,13.26,24.08,50.3,O,False,16.09,25.45,T01
DUC_A01,1119,Simarouba amara,Simaroubaceae,173149.1851,9674147.554,8.6,O,False,12.01,15.13,8.9,O,False,11.88,15.87,T01
DUC_A01,1120,Virola crebrinervia,Myristicaceae,173148.4305,9674152.266,47.5,O,False,23.93,32.6,47.7,O,False,17.65,25.14,T01
DUC_A01,1121,Ficus broadwayi,Moraceae,173148.9844,9674152.904,34.0,O,False,21.29,27.17,34.3,O,False,16.56,28.73,T01
DUC_A01,1122,Helicostylis sp.,Moraceae,173148.5074,9674155.252,7.8,O,False,8.97,11.82,8.0,O,False,9.04,12.19,T01
DUC_A01,1123,Lecythis idatimon,Lecythidaceae,173149.3267,9674157.698,28.3,O,False,17.51,20.39,29.1,O,False,23.7,32.34,T01
DUC_A01,1125,,,173149.4023,9674166.049,37.7,O,True,,3.25,37.7,O,True,1.34,3.26,T01
DUC_A01,1127,Eschweilera coriacea,Lecythidaceae,173147.6505,9674170.686,46.9,O,False,21.17,28.18,45.6,O,False,22.26,31.12,T01
DUC_A01,1128,Pourouma villosa,Urticaceae,173147.2619,9674175.254,13.5,O,False,14.52,18.15,13.9,O,False,13.59,17.35,T01
DUC_A01,1129,Ocotea canaliculata,Lauraceae,173146.3598,9674175.602,17.7,O,False,15.87,22.19,18.1,O,False,19.68,22.62,T01
