site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
TAP_A01,3100,,,727555.29,9664489.39,O,33.3,A,17.46,26.09,20100116-20100213,33.1,D,10.9,16.32,20110704-20110711,493.008928009,23.44,26.09,measured,0.0,observed,-2.0,33.1,26.09
TAP_A01,3101,,,727543.16,9664491.49,O,6.7,A,2.67,9.38,20100116-20100213,7.2,A,5.25,7.67,20110704-20110711,493.008928009,8.34,9.38,measured,0.5,observed,-2.0,6.2,8.38
TAP_A01,3102,,,727541.58,9664490.81,O,13.2,D,,6.92,20100116-20100213,,D,,,20110704-20110711,493.008928009,,6.92,measured,0.2,site_median,-2.0,,
TAP_A01,3103,,,727535.27,9664491.56,O,7.8,A,2.62,6.39,20100116-20100213,8.8,A,3.1,3.51,20110704-20110711,493.008928009,9.68,6.39,measured,1.0,observed,-2.0,6.8,5.27
TAP_A01,3104,,,727530.15,9664490.81,O,21.3,A,4.07,7.02,20100116-20100213,23.1,A,2.24,4.75,20110704-20110711,493.008928009,18.84,7.02,measured,1.8,observed,-2.0,19.5,6.29
TAP_A01,3105,,,727525.02,9664491.3,O,10.5,D,,4.12,20100116-20100213,10.5,D,,4.12,20110704-20110711,493.008928009,11.0,4.12,measured,0.0,observed,-2.0,10.5,4.12
TAP_A01,3106,,,727524.03,9664491.71,O,10.0,A,3.5,6.62,20100116-20100213,10.1,A,1.87,2.68,20110704-20110711,493.008928009,10.7,6.62,measured,0.1,observed,-2.0,9.9,6.53
TAP_A01,3107,Cecropia palmata,Urticaceae,727522.75,9664488.67,O,37.8,A,16.24,24.54,20100116-20100213,39.8,A,19.63,24.55,20110704-20110711,493.008928009,26.0,24.54,measured,2.0,observed,-2.0,35.8,23.14
TAP_A01,3108,,,727522.26,9664491.78,O,6.8,A,2.6,7.28,20100116-20100213,7.5,A,1.93,2.16,20110704-20110711,493.008928009,8.6,7.28,measured,0.7,observed,-2.0,6.1,6.23
TAP_A01,3109,,,727520.29,9664491.59,O,7.0,A,2.38,5.19,20100116-20100213,7.6,A,16.8,18.43,20110704-20110711,493.008928009,8.68,5.19,measured,0.6,observed,-2.0,6.4,4.57
TAP_A01,3110,,,727505.79,9664491.42,O,53.5,A,16.78,26.03,20100116-20100213,53.5,D,1.43,8.06,20110704-20110711,493.008928009,30.27,26.03,measured,0.0,observed,-2.0,53.5,26.03
TAP_A01,3111,,,727504.31,9664490.83,O,16.0,A,13.43,14.71,20100116-20100213,16.5,A,,,20110704-20110711,493.008928009,15.1,14.71,measured,0.5,observed,-2.0,15.5,14.1
TAP_A01,3112,,,727498.69,9664492.08,O,16.7,A,9.38,13.98,20100116-20100213,17.0,A,9.15,13.34,20110704-20110711,493.008928009,15.41,13.98,measured,0.3,observed,-2.0,16.4,13.64
TAP_A01,3113,Apuleia leiocarpa,Fabaceae,727497.9,9664492.09,O,115.5,A,27.45,51.41,20100116-20100213,112.7,A,35.05,47.36,20110704-20110711,493.008928009,40.41,51.41,measured,0.0,observed,-2.0,112.7,51.41
