site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
FST_A01,47,Endopleura uchi,Humiriaceae,587201.926,9820795.415,0.771796039,1.458014087,37.1,26.96,21.3,A,O,2,25.01
FST_A01,48,Aspidosperma nitidum,Apocynaceae,587201.4667,9820794.523,0.763327689,19.37387975,113.2,38.91,24.81,A,O,2,40.46
FST_A01,49,Inga alba,Fabaceae,587204.8067,9820786.257,0.586080352,1.073515895,36.7,26.72,17.67,A,O,2,24.86
FST_A01,50,Zygia racemosa,Fabaceae,587188.3396,9820778.132,0.75,2.812089971,47.0,33.35,24.8,A,O,2,28.38
FST_A01,51,Pouteria sp.,Sapotaceae,587185.062,9820779.141,0.781766198,2.942063889,49.3,30.42,22.03,A,O,2,29.08
FST_A01,52,Pouteria gongrijpii,Sapotaceae,587181.9365,9820775.238,0.799402922,2.068602837,39.8,32.09,18.67,A,O,2,26.0
FST_A01,53,Zygia racemosa,Fabaceae,587172.601,9820777.931,0.75,2.911254208,44.9,37.83,27.83,A,O,2,27.72
FST_A01,54,,,587065.4008,9820830.648,0.6,0.083967265,23.8,5.56,,D,O,3,19.2
FST_A01,55,Protium paniculatum,Burseraceae,587057.5798,9820830.035,0.49,0.054152014,10.5,19.69,10.46,A,O,3,11.0
FST_A01,56,NI,NI,587052.4733,9820834.679,0.64,2.572314943,52.5,28.65,13.09,A,O,3,29.99
FST_A01,57,Pseudopiptadenia suaveolens,Fabaceae,587050.0997,9820834.908,0.679712857,14.09651344,87.0,53.83,27.41,A,O,3,37.16
FST_A01,58,Protium hepytaphillum ,Burseraceae,587048.9967,9820842.818,0.629,1.324771012,36.0,31.93,23.2,A,O,3,24.6
FST_A01,59,Tetragastris panamensis,Burseraceae,587043.7541,9820838.22,0.732202857,0.016377502,10.8,3.77,3.14,A,O,3,11.23
FST_A01,60,Eschweilera parviflora,Lecythidaceae,587049.0244,9820849.622,0.8889275,1.906673746,38.3,28.73,20.88,A,O,3,25.46
FST_A01,61,Nectandra cuspidata,Lauraceae,587045.2641,9820850.65,0.56,1.795583024,43.7,32.99,20.48,A,O,3,27.33
FST_A01,62,Pouteria sp.,Sapotaceae,587037.9956,9820843.466,0.78,0.287652069,18.2,21.87,15.51,A,O,3,16.13
FST_A01,63,Protium hepytaphillum ,Burseraceae,587062.2137,9820830.209,0.629,0.488211678,23.9,26.7,17.0,A,O,3,19.25
FST_A01,64,Aspidosperma spruceanum,Apocynaceae,587037.4224,9820844.933,0.753333333,0.110173532,12.4,18.69,15.38,A,O,3,12.39
FST_A01,65,Tetragastris panamensis,Burseraceae,587037.2826,9820846.15,0.732202857,0.084071309,12.0,15.67,9.67,A,O,3,12.11
FST_A01,66,Pouteria guianensis,Sapotaceae,587033.342,9820845.577,0.929561667,0.098335138,12.4,13.52,9.77,A,O,3,12.39
