site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
JAM_A03,38,Capirona decorticans,Rubiaceae,498870.6271,8996923.788,0.59,33.9,20131218,A,O,0,23.77,23.77,feldpausch_regional,0.18,default,0.0,33.9,23.77,33.9,True,O,23.77,feldpausch,33.9,23.77,0.593,436.9331,309.0656,309.0656,436.9331,309.0656,309.0656,5
JAM_A03,39,Zygia racemosa,Fabaceae,498870.6896,8996927.279,0.75,11.5,20131218,A,O,0,11.75,11.75,feldpausch_regional,0.18,default,0.0,11.5,11.75,11.5,True,O,11.75,feldpausch,11.5,11.75,0.748,26.6256,19.9869,19.9869,26.6256,19.9869,19.9869,5
JAM_A03,40,Ormosia coccinea,Fabaceae,498868.0004,8996927.519,0.63,16.2,20131218,A,O,0,14.91,14.91,feldpausch_regional,0.18,default,0.0,16.2,14.91,16.2,True,O,14.91,feldpausch,16.2,14.91,0.625,65.5765,48.1941,48.1941,65.5765,48.1941,48.1941,5
JAM_A03,41,Sacoglottis guianensis,Humiriaceae,498868.4063,8996936.174,0.84,17.2,20131218,A,O,0,15.53,15.53,feldpausch_regional,0.18,default,0.0,17.2,15.53,17.2,True,O,15.53,feldpausch,17.2,15.53,0.8359,76.7,56.1687,56.1687,76.7,56.1687,56.1687,5
JAM_A03,42,Brosimum rubescens,Moraceae,498869.7011,8996936.058,0.83,13.0,20131218,A,O,0,12.81,12.81,feldpausch_regional,0.18,default,0.0,13.0,12.81,13.0,True,O,12.81,feldpausch,13.0,12.81,0.8251,36.7999,27.4108,27.4108,36.7999,27.4108,27.4108,5
JAM_A03,43,Helicostylis sp.,Moraceae,498868.899,8996936.63,0.65,27.5,20131218,A,O,0,21.0,21.0,feldpausch_regional,0.18,default,0.0,27.5,21.0,27.5,True,O,21.0,feldpausch,27.5,21.0,0.643,257.35,183.7808,183.7808,257.35,183.7808,183.7808,5
JAM_A03,44,Zygia racemosa,Fabaceae,498868.8799,8996938.43,0.75,19.8,20131218,A,O,0,17.05,17.05,feldpausch_regional,0.18,default,0.0,19.8,17.05,19.8,True,O,17.05,feldpausch,19.8,17.05,0.748,110.5896,80.3416,80.3416,110.5896,80.3416,80.3416,5
JAM_A03,47,Helicostylis sp.,Moraceae,498883.905,8996929.094,0.65,46.0,20131218,A,O,0,28.07,28.07,feldpausch_regional,0.18,default,0.0,46.0,28.07,46.0,True,O,28.07,feldpausch,46.0,28.07,0.643,932.4994,651.9847,651.9847,932.4994,651.9847,651.9847,1
JAM_A03,48,Parahancornia amapa,Apocynaceae,498890.0612,8996911.561,0.46,61.8,20131218,A,O,0,32.36,32.36,feldpausch_regional,0.18,default,0.0,61.8,32.36,61.8,True,O,32.36,feldpausch,61.8,32.36,0.46,1906.5074,1321.9754,1321.9754,1906.5074,1321.9754,1321.9754,1
JAM_A03,49,Copaifera reticulata,Fabaceae,498869.652,8996893.705,0.61,47.8,20131218,A,O,0,28.63,28.63,feldpausch_regional,0.18,default,0.0,47.8,28.63,47.8,True,O,28.63,feldpausch,47.8,28.63,0.6075,1024.6171,715.4761,715.4761,1024.6171,715.4761,715.4761,5
JAM_A03,50,Tapirira guianensis,Anacardiaceae,498909.1233,8996896.869,0.46,37.8,20131218,A,O,0,25.28,25.28,feldpausch_regional,0.18,default,0.0,37.8,25.28,37.8,True,O,25.28,feldpausch,37.8,25.28,0.457,573.8985,404.1241,404.1241,573.8985,404.1241,404.1241,1
JAM_A03,51,Tachigali alba,Fabaceae,498904.069,8996904.314,0.56,66.0,20131218,A,O,0,33.31,33.31,feldpausch_regional,0.18,default,0.0,66.0,33.31,66.0,True,O,33.31,feldpausch,66.0,33.31,0.5573,2229.6839,1543.8795,1543.8795,2229.6839,1543.8795,1543.8795,1
JAM_A03,52,,,498914.93,8996912.334,,67.1,20131218,D,O,0,33.55,33.55,feldpausch_regional,0.18,default,0.0,67.1,33.55,67.1,False,O,33.55,feldpausch,67.1,33.55,0.6345,2318.9904,2318.9904,2449.1251,2318.9904,2318.9904,2449.1251,1
JAM_A03,53,Rinorea guianensis,Violaceae,498905.7964,8996929.134,0.78,44.0,20131218,A,O,0,27.43,27.43,feldpausch_regional,0.18,default,0.0,44.0,27.43,44.0,True,O,27.43,feldpausch,44.0,27.43,0.78,835.9662,585.3741,585.3741,835.9662,585.3741,585.3741,1
JAM_A03,55,Neea oppositifolia,Nyctaginaceae,498871.4685,8997043.708,0.89,18.6,20131218,A,O,0,16.36,16.36,feldpausch_regional,0.18,default,0.0,18.6,16.36,18.6,True,O,16.36,feldpausch,18.6,16.36,0.893,94.0161,68.5425,68.5425,94.0161,68.5425,68.5425,6
JAM_A03,56,Tachigali alba,Fabaceae,498867.222,8997044.89,0.56,21.3,20131218,A,O,0,17.88,17.88,feldpausch_regional,0.18,default,0.0,21.3,17.88,21.3,True,O,17.88,feldpausch,21.3,17.88,0.5573,133.5883,96.6619,96.6619,133.5883,96.6619,96.6619,6
JAM_A03,57,Casearia javitensis,Salicaceae,498867.6291,8997051.078,0.76,11.5,20131218,A,O,0,11.75,11.75,feldpausch_regional,0.18,default,0.0,11.5,11.75,11.5,True,O,11.75,feldpausch,11.5,11.75,0.753,26.6256,19.9869,19.9869,26.6256,19.9869,19.9869,6
JAM_A03,58,Tachigali alba,Fabaceae,498867.4575,8997055.69,0.56,30.9,20131218,A,O,0,22.52,22.52,feldpausch_regional,0.18,default,0.0,30.9,22.52,30.9,True,O,22.52,feldpausch,30.9,22.52,0.5573,345.9126,245.6843,245.6843,345.9126,245.6843,245.6843,6
JAM_A03,59,Rinorea guianensis,Violaceae,498871.0121,8997060.742,0.78,19.7,20131218,A,O,0,17.0,17.0,feldpausch_regional,0.18,default,0.0,19.7,17.0,19.7,True,O,17.0,feldpausch,19.7,17.0,0.78,109.1885,79.3413,79.3413,109.1885,79.3413,79.3413,6
JAM_A03,60,NI,NI,498868.9636,8997061.831,0.64,16.9,20131218,A,O,0,15.35,15.35,feldpausch_regional,0.18,default,0.0,16.9,15.35,16.9,True,O,15.35,feldpausch,16.9,15.35,0.6345,73.2719,53.7118,53.7118,73.2719,53.7118,53.7118,6
JAM_A03,61,Attalea speciosa,Arecaceae,498872.2681,8997067.895,0.33,26.3,20131218,A,P,0,20.43,20.43,feldpausch_regional,0.18,default,0.0,26.3,20.43,26.3,True,P,20.43,feldpausch,26.3,20.43,0.326,229.634,,,229.634,,,6
JAM_A03,62,Caryocar villosum,Caryocaraceae,498878.4022,8997068.434,0.76,47.4,20131218,A,O,0,28.51,28.51,feldpausch_regional,0.18,default,0.0,47.4,28.51,47.4,True,O,28.51,feldpausch,47.4,28.51,0.758,1003.8234,701.1386,701.1386,1003.8234,701.1386,701.1386,2
JAM_A03,63,Tetragastris panamensis,Burseraceae,498871.1881,8997070.343,0.73,16.6,20131218,A,O,0,15.16,15.16,feldpausch_regional,0.18,default,0.0,16.6,15.16,16.6,True,O,15.16,feldpausch,16.6,15.16,0.7173,69.8995,51.2965,51.2965,69.8995,51.2965,51.2965,6
JAM_A03,64,,,498870.2188,8997070.985,,28.8,20131218,D,O,0,21.59,21.59,feldpausch_regional,0.18,default,0.0,28.8,21.59,28.8,False,O,21.59,feldpausch,28.8,21.59,0.6345,289.3513,289.3513,305.5888,289.3513,289.3513,305.5888,6
JAM_A03,65,Tachigali myrmecophila,Fabaceae,498877.584,8997078.178,0.53,55.5,20131218,A,O,0,30.8,30.8,feldpausch_regional,0.18,default,0.0,55.5,30.8,55.5,True,O,30.8,feldpausch,55.5,30.8,0.476,1472.8079,1023.9528,1023.9528,1472.8079,1023.9528,1023.9528,2
JAM_A03,66,Eschweilera coriacea,Lecythidaceae,498873.549,8997087.658,0.85,12.5,20131218,A,O,0,12.46,12.46,feldpausch_regional,0.18,default,0.0,12.5,12.46,12.5,True,O,12.46,feldpausch,12.5,12.46,0.8521,33.1783,24.775,24.775,33.1783,24.775,24.775,6
JAM_A03,67,Tachigali paniculata,Fabaceae,498869.0531,8997087.85,0.56,13.9,20131218,A,O,0,13.42,13.42,feldpausch_regional,0.18,default,0.0,13.9,13.42,13.9,True,O,13.42,feldpausch,13.9,13.42,0.5545,43.8846,32.553,32.553,43.8846,32.553,32.553,6
JAM_A03,68,Pouteria gongrijpii,Sapotaceae,498898.6294,8997078.581,0.8,39.9,20131218,A,O,0,26.04,26.04,feldpausch_regional,0.18,default,0.0,39.9,26.04,39.9,True,O,26.04,feldpausch,39.9,26.04,0.7994,656.4859,461.3171,461.3171,656.4859,461.3171,461.3171,2
JAM_A03,69,Parkia sp.,Fabaceae,498903.5257,8997076.37,0.45,103.8,20131218,A,O,0,39.42,39.42,feldpausch_regional,0.18,default,0.0,103.8,39.42,103.8,True,O,39.42,feldpausch,103.8,39.42,0.4553,6360.5891,4382.787,4382.787,6360.5891,4382.787,4382.787,2
JAM_A03,70,Jacaranda copaia,Bignoniaceae,498902.378,8997073.416,0.35,79.2,20131218,A,O,0,35.88,35.88,feldpausch_regional,0.18,default,0.0,79.2,35.88,79.2,True,O,35.88,feldpausch,79.2,35.88,0.3507,3422.2223,2362.5397,2362.5397,3422.2223,2362.5397,2362.5397,2
JAM_A03,71,Parkia sp.,Fabaceae,498915.9688,8997064.829,0.45,37.1,20131218,A,O,0,25.01,25.01,feldpausch_regional,0.18,default,0.0,37.1,25.01,37.1,True,O,25.01,feldpausch,37.1,25.01,0.4553,547.5673,385.8907,385.8907,547.5673,385.8907,385.8907,2
JAM_A03,72,Vochysia guianensis,Vochysiaceae,498914.8706,8997062.874,0.51,70.0,20131218,A,O,0,34.15,34.15,feldpausch_regional,0.18,default,0.0,70.0,34.15,70.0,True,O,34.15,feldpausch,70.0,34.15,0.5087,2562.6034,1772.4302,1772.4302,2562.6034,1772.4302,1772.4302,2
JAM_A03,73,Vochysia guianensis,Vochysiaceae,498895.6401,8997058.691,0.51,40.8,20131218,A,O,0,26.35,26.35,feldpausch_regional,0.18,default,0.0,40.8,26.35,40.8,True,O,26.35,feldpausch,40.8,26.35,0.5087,693.6673,487.0554,487.0554,693.6673,487.0554,487.0554,2
JAM_A03,74,Helicostylis sp.,Moraceae,498908.5292,8997056.139,0.65,35.9,20131218,A,O,0,24.56,24.56,feldpausch_regional,0.18,default,0.0,35.9,24.56,35.9,True,O,24.56,feldpausch,35.9,24.56,0.643,504.5079,356.0042,356.0042,504.5079,356.0042,356.0042,2
JAM_A03,75,Eschweilera coriacea,Lecythidaceae,498873.0792,8997197.308,0.85,16.9,20131218,A,O,0,15.35,15.35,feldpausch_regional,0.18,default,0.0,16.9,15.35,16.9,True,O,15.35,feldpausch,16.9,15.35,0.8521,73.2719,53.7118,53.7118,73.2719,53.7118,53.7118,7
JAM_A03,76,Annona sp.,Annonaceae,498873.067,8997198.307,0.41,12.0,20131218,A,O,0,12.11,12.11,feldpausch_regional,0.18,default,0.0,12.0,12.11,12.0,True,O,12.11,feldpausch,12.0,12.11,0.5112,29.7969,22.3066,22.3066,29.7969,22.3066,22.3066,7
JAM_A03,77,Bauhinia sp.,Fabaceae,498872.0331,8997201.72,0.65,10.7,20131218,A,O,0,11.15,11.15,feldpausch_regional,0.18,default,0.0,10.7,11.15,10.7,True,O,11.15,feldpausch,10.7,11.15,0.8086,21.9765,16.5767,16.5767,21.9765,16.5767,16.5767,7
JAM_A03,78,Tetragastris panamensis,Burseraceae,498871.8502,8997200.443,0.73,11.5,20131218,A,O,0,11.75,11.75,feldpausch_regional,0.18,default,0.0,11.5,11.75,11.5,True,O,11.75,feldpausch,11.5,11.75,0.7173,26.6256,19.9869,19.9869,26.6256,19.9869,19.9869,7
JAM_A03,79,Couratari stellata,Lecythidaceae,498873.0946,8997212.284,0.63,10.5,20131218,A,O,0,11.0,11.0,feldpausch_regional,0.18,default,0.0,10.5,11.0,10.5,True,O,11.0,feldpausch,10.5,11.0,0.6331,20.9036,15.7869,15.7869,20.9036,15.7869,15.7869,7
JAM_A03,80,Helicostylis sp.,Moraceae,498870.3532,8997217.388,0.65,14.3,20131218,A,O,0,13.69,13.69,feldpausch_regional,0.18,default,0.0,14.3,13.69,14.3,True,O,13.69,feldpausch,14.3,13.69,0.643,47.294,35.0195,35.0195,47.294,35.0195,35.0195,7
JAM_A03,81,Pourouma minor,Urticaceae,498871.438,8997226.052,0.44,15.6,20131218,A,O,0,14.54,14.54,feldpausch_regional,0.18,default,0.0,15.6,14.54,15.6,True,O,14.54,feldpausch,15.6,14.54,0.436,59.4433,43.7811,43.7811,59.4433,43.7811,43.7811,7
