site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
HUM_A01,99,Helicostylis sp.,Moraceae,646574.1492,8921270.503,39.5,30.86,21.5,20140701,False,O,2,25.89,25.89,feldpausch_regional,0.18,default,-1.0,39.32,25.83,39.5,False,O,30.86,measured,39.32,30.78312943079914,0.643,759.7464,759.7464,812.8435,751.1722,751.1722,803.6701,
HUM_A01,100,,,646569.6386,8921274.855,42.2,3.06,,20140701,True,O,2,26.83,26.83,feldpausch_regional,0.18,default,-1.0,42.02,26.77,42.2,True,O,3.06,measured,42.02,3.0530377502322215,0.5862,90.6014,89.5374,89.5374,89.649,88.6099,88.6099,
HUM_A01,101,Hevea brasiliensis,Euphorbiaceae,646573.8295,8921280.41,38.8,25.87,16.39,20140701,False,O,2,25.64,25.64,feldpausch_regional,0.18,default,-1.0,38.62,25.58,38.8,False,O,25.87,measured,38.62,25.803977839269763,0.4666,617.6601,617.6601,483.2665,610.5545,610.5545,477.707,
HUM_A01,102,Ceiba pentandra,Malvaceae,646571.8793,8921282.95,70.0,38.51,28.32,20140701,False,O,2,34.15,34.15,feldpausch_regional,0.18,default,-1.0,69.82,34.12,70.0,False,O,38.51,measured,69.82,38.468705109785425,0.3052,2881.4548,2881.4548,1489.7299,2864.0087,2864.0087,1480.7101,
HUM_A01,103,Jacaratia spinosa,Caricaceae,646585.9097,8921299.772,54.2,26.92,20.45,20140701,False,O,2,30.46,30.46,feldpausch_regional,0.18,default,-1.0,54.02,30.41,54.2,False,O,26.92,measured,54.02,26.877162447711953,0.265,1233.0496,1233.0496,555.3834,1223.1661,1223.1661,550.9317,
HUM_A01,104,Hevea brasiliensis,Euphorbiaceae,646587.33,8921308.286,87.0,37.99,22.71,20140701,False,O,2,37.16,37.16,feldpausch_regional,0.18,default,-1.0,86.82,37.13,87.0,False,O,37.99,measured,86.82,37.96172589177443,0.4666,4346.6983,4346.6983,3400.9218,4326.0163,4326.0163,3384.7399,
HUM_A01,105,Ceiba pentandra,Malvaceae,646590.7027,8921306.101,58.4,33.08,16.52,20140701,False,O,2,31.54,31.54,feldpausch_regional,0.18,default,-1.0,58.22,31.5,58.4,False,O,33.08,measured,58.22,33.03292661101825,0.3052,1744.1928,1744.1928,901.7584,1731.3065,1731.3065,895.0961,
HUM_A01,106,Rinorea racemosa,Violaceae,646600.9256,8921303.048,35.5,30.47,20.68,20140701,False,O,2,24.4,24.4,feldpausch_regional,0.18,default,-1.0,35.32,24.33,35.5,False,O,30.47,measured,35.32,30.38240859180245,0.682,609.2085,609.2085,690.3413,601.501,601.501,681.6074,
HUM_A01,107,Parkia paraensis,Fabaceae,646604.5425,8921299.526,135.0,47.85,21.63,20140701,False,O,2,42.37,42.37,feldpausch_regional,0.18,default,-1.0,134.82,42.36,135.0,False,O,47.85,measured,134.82,47.83482657943619,0.415,12836.2149,12836.2149,8957.2831,12798.8653,12798.8653,8931.2201,
HUM_A01,108,Ceiba pentandra,Malvaceae,646607.8152,8921293.814,47.1,22.81,16.13,20140701,False,O,2,28.41,28.41,feldpausch_regional,0.18,default,-1.0,46.92,28.36,47.1,False,O,22.81,measured,46.92,22.76550487634741,0.3052,797.4946,797.4946,412.3096,790.0492,790.0492,408.4603,
HUM_A01,111,Enterolobium schomburgkii,Fabaceae,646620.6336,8921294.469,13.2,16.81,11.56,20140701,False,O,2,12.95,12.95,feldpausch_regional,0.18,default,-1.0,13.02,12.82,13.2,False,O,16.81,measured,13.02,16.64892343077904,0.6989,49.4282,49.4282,57.3665,47.671,47.671,55.3271,
HUM_A01,112,Ormosia coccinea,Fabaceae,646622.3238,8921292.541,11.0,9.52,6.52,20140701,False,O,2,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24,11.0,False,O,9.52,measured,10.82,9.407965179295836,0.625,19.8797,19.8797,20.6877,19.0285,19.0285,19.8019,
