site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
JAM_A01,30,Aspidosperma parvifolium,Apocynaceae,522193.0506,8998037.215,0.74,4.383427385,50.0,46.76,25.67,20011209,A,O,T08,29.28,29.28,feldpausch_regional,0.18,default,0.0,50.0,29.28,50.0,True,O,46.76,measured,50.0,46.76,0.781,1805.7085,1169.3831,1169.3831,1805.7085,1169.3831,1169.3831,
JAM_A01,31,,,522195.0175,8998036.056,,0.01266829,10.1,,,20011209,A,L,T08,10.7,10.7,feldpausch_regional,0.18,default,0.0,10.1,10.7,10.1,True,L,10.7,feldpausch,10.1,10.7,0.639,18.8614,14.2803,14.2803,18.8614,14.2803,14.2803,
JAM_A01,32,Eschweilera grandifolia,Lecythidaceae,522194.6088,8998035.768,0.88,0.04800063,12.2,7.23,5.4,20011209,A,O,T08,12.25,12.25,feldpausch_regional,0.18,default,0.0,12.2,12.25,12.2,True,O,7.23,measured,12.2,7.23,0.8314,18.6018,15.1201,15.1201,18.6018,15.1201,15.1201,
JAM_A01,33,Dialium guianense,Fabaceae,522193.451,8998030.4,0.89,0.407579314,19.3,24.15,14.15,20011209,A,O,T08,16.77,16.77,feldpausch_regional,0.18,default,0.0,19.3,16.77,19.3,True,O,24.15,measured,19.3,24.15,0.8964,147.7732,101.4846,101.4846,147.7732,101.4846,101.4846,
JAM_A01,34,Euterpe oleracea,Arecaceae,522195.1297,8998029.65,,0.021845075,9.7,10.68,8.93,20011209,A,P,T08,10.39,10.39,feldpausch_regional,0.18,default,0.0,9.7,10.39,9.7,True,P,10.68,measured,9.7,10.68,0.3877,17.399,,,17.399,,,
JAM_A01,35,Helicostylis sp.,Moraceae,522195.0714,8998024.25,0.65,0.006106755,5.1,7.07,4.48,20011209,A,O,T08,6.43,6.43,feldpausch_regional,0.18,default,0.0,5.1,6.43,5.1,True,O,7.07,measured,5.1,7.07,0.643,3.3164,2.5943,2.5943,3.3164,2.5943,2.5943,
JAM_A01,36,Brosimum rubescens,Moraceae,522194.143,8998016.474,0.83,2.251388941,41.5,31.12,20.13,20011209,A,O,T08,26.59,26.59,feldpausch_regional,0.18,default,0.0,41.5,26.59,41.5,True,O,31.12,measured,41.5,31.12,0.8251,843.5235,577.3804,577.3804,843.5235,577.3804,577.3804,
JAM_A01,37,Protium paniculatum,Burseraceae,522193.4349,8997975.277,0.49,0.184932781,19.4,19.7,9.6,20011209,A,O,T08,16.83,16.83,feldpausch_regional,0.18,default,0.0,19.4,16.83,19.4,True,O,19.7,measured,19.4,19.7,0.49,122.3626,86.8033,86.8033,122.3626,86.8033,86.8033,
JAM_A01,38,NI,NI,522192.7158,8997960.992,0.6,0.019556542,15.2,2.8,,20011209,D,O,T08,14.28,14.28,feldpausch_regional,0.18,default,0.0,15.2,14.28,15.2,False,O,2.8,measured,15.2,2.8,0.639,11.32,11.32,12.037,11.32,11.32,12.037,
JAM_A01,39,Brosimum rubescens ,Moraceae,522191.7458,8997958.619,0.83,1.905336636,39.0,29.83,17.98,20011209,A,O,T08,25.71,25.71,feldpausch_regional,0.18,default,0.0,39.0,25.71,39.0,True,O,29.83,measured,39.0,29.83,0.8251,716.936,492.5554,492.5554,716.936,492.5554,492.5554,
JAM_A01,40,Virola melinoni,Myristicaceae,522192.2283,8997954.603,0.48,0.164492347,20.2,16.63,8.22,20011209,A,O,T08,17.28,17.28,feldpausch_regional,0.18,default,0.0,20.2,17.28,20.2,True,O,16.63,measured,20.2,16.63,0.4734,112.227,81.9317,81.9317,112.227,81.9317,81.9317,
JAM_A01,41,Couma guianensis,Apocynaceae,522191.7997,8997946.812,0.47,0.080251962,15.0,15.01,10.32,20011209,A,O,T08,14.15,14.15,feldpausch_regional,0.18,default,0.0,15.0,14.15,15.0,True,O,15.01,measured,15.0,15.01,0.4667,56.7987,41.5453,41.5453,56.7987,41.5453,41.5453,
JAM_A01,42,Euterpe oleracea,Arecaceae,522192.682,8997942.785,,0.031138091,11.74,11.86,9.86,20011209,A,P,T08,11.92,11.92,feldpausch_regional,0.18,default,0.0,11.74,11.92,11.74,True,P,11.86,measured,11.74,11.86,0.3877,27.9743,,,27.9743,,,
JAM_A01,43,Sterculia pruriens,Malvaceae,522192.7718,8997934.376,0.49,0.004302808,5.0,6.95,5.86,20011209,A,O,T08,6.33,6.33,feldpausch_regional,0.18,default,0.0,5.0,6.33,5.0,True,O,6.95,measured,5.0,6.95,0.4862,3.1378,2.4589,2.4589,3.1378,2.4589,2.4589,
JAM_A01,44,Brosimum rubescens ,Moraceae,522190.2167,8997922.695,0.83,0.094778978,12.0,15.67,11.43,20011209,A,O,T08,12.11,12.11,feldpausch_regional,0.18,default,0.0,12.0,12.11,12.0,True,O,15.67,measured,12.0,15.67,0.8251,38.3186,27.5416,27.5416,38.3186,27.5416,27.5416,
JAM_A01,45,Protium paniculatum,Burseraceae,522192.8163,8997919.371,0.49,0.049499866,11.3,15.54,12.66,20011209,A,O,T08,11.6,11.6,feldpausch_regional,0.18,default,0.0,11.3,11.6,11.3,True,O,15.54,measured,11.3,15.54,0.49,33.8007,24.2562,24.2562,33.8007,24.2562,24.2562,
JAM_A01,46,Licania heteromorpha,Chrysobalanaceae,522193.0984,8997906.473,0.82,0.02678026,7.0,13.15,10.35,20011209,A,O,T08,8.17,8.17,feldpausch_regional,0.18,default,0.0,7.0,8.17,7.0,True,O,13.15,measured,7.0,13.15,0.8164,11.2762,8.1196,8.1196,11.2762,8.1196,8.1196,
JAM_A01,47,Euterpe oleracea,Arecaceae,522192.8652,8997897.462,,0.053419992,15.7,18.46,13.13,20011209,A,P,T08,14.6,14.6,feldpausch_regional,0.18,default,0.0,15.7,14.6,15.7,True,P,18.46,measured,15.7,18.46,0.3877,75.9799,,,75.9799,,,
JAM_A01,48,Zygia racemosa,Fabaceae,522194.2579,8997887.599,0.75,0.017687702,7.0,9.46,3.82,20011209,A,O,T08,8.17,8.17,feldpausch_regional,0.18,default,0.0,7.0,8.17,7.0,True,O,9.46,measured,7.0,9.46,0.748,8.1764,6.202,6.202,8.1764,6.202,6.202,
JAM_A01,49,Tachigali alba,Fabaceae,522193.7878,8997886.585,0.56,0.018686737,7.7,11.05,8.16,20011209,A,O,T08,8.77,8.77,feldpausch_regional,0.18,default,0.0,7.7,8.77,7.7,True,O,11.05,measured,7.7,11.05,0.5573,11.4607,8.5214,8.5214,11.4607,8.5214,8.5214,
JAM_A01,50,Dialium guianense,Fabaceae,522194.135,8997884.995,0.89,0.346598974,19.2,20.75,10.26,20011209,A,O,T08,16.71,16.71,feldpausch_regional,0.18,default,0.0,19.2,16.71,19.2,True,O,20.75,measured,19.2,20.75,0.8964,126.1463,88.7121,88.7121,126.1463,88.7121,88.7121,
JAM_A01,51,Tachigali paniculata,Fabaceae,522191.7813,8997866.517,0.56,0.377347949,22.2,26.86,12.02,20011209,A,O,T08,18.37,18.37,feldpausch_regional,0.18,default,0.0,22.2,18.37,22.2,True,O,26.86,measured,22.2,26.86,0.5545,215.4513,146.4786,146.4786,215.4513,146.4786,146.4786,
JAM_A01,52,Sloanea guianensis,Elaeocarpaceae,522194.9022,8997859.106,0.82,0.027665902,8.4,9.38,6.1,20011209,A,O,T08,9.35,9.35,feldpausch_regional,0.18,default,0.0,8.4,9.35,8.4,True,O,9.38,measured,8.4,9.38,0.8212,11.5751,8.8691,8.8691,11.5751,8.8691,8.8691,
JAM_A01,53,Tachigali alba,Fabaceae,522193.3429,8997850.956,0.56,0.59423532,27.5,27.55,11.91,20011209,A,O,T08,21.0,21.0,feldpausch_regional,0.18,default,0.0,27.5,21.0,27.5,True,O,27.55,measured,27.5,27.55,0.5573,335.4261,229.4797,229.4797,335.4261,229.4797,229.4797,
JAM_A01,54,Brosimum rubescens ,Moraceae,522195.2894,8997849.413,0.83,0.085064902,12.7,12.56,6.52,20011209,A,O,T08,12.6,12.6,feldpausch_regional,0.18,default,0.0,12.7,12.6,12.7,True,O,12.56,measured,12.7,12.56,0.8251,34.4905,25.7419,25.7419,34.4905,25.7419,25.7419,
JAM_A01,55,Helicostylis sp.,Moraceae,522195.2517,8997847.311,0.65,0.158463436,17.0,16.51,11.71,20011209,A,O,T08,15.41,15.41,feldpausch_regional,0.18,default,0.0,17.0,15.41,17.0,True,O,16.51,measured,17.0,16.51,0.643,79.5826,57.6865,57.6865,79.5826,57.6865,57.6865,
JAM_A01,56,Helicostylis sp.,Moraceae,522194.6934,8997845.894,0.65,0.029324934,8.2,13.13,9.47,20011209,A,O,T08,9.19,9.19,feldpausch_regional,0.18,default,0.0,8.2,9.19,8.2,True,O,13.13,measured,8.2,13.13,0.643,15.3339,11.1283,11.1283,15.3339,11.1283,11.1283,
JAM_A01,57,Neea oppositifolia,Nyctaginaceae,522195.6034,8997838.818,0.89,0.034034679,8.1,11.42,6.01,20011209,A,O,T08,9.1,9.1,feldpausch_regional,0.18,default,0.0,8.1,9.1,8.1,True,O,11.42,measured,8.1,11.42,0.893,13.0649,9.6872,9.6872,13.0649,9.6872,9.6872,
JAM_A01,58,Euterpe oleracea,Arecaceae,522195.3983,8997835.61,,0.054053569,15.8,20.94,16.15,20011209,A,P,T08,14.66,14.66,feldpausch_regional,0.18,default,0.0,15.8,14.66,15.8,True,P,20.94,measured,15.8,20.94,0.3877,86.9987,,,86.9987,,,
JAM_A01,59,Bocageopsis multiflora,Annonaceae,522193.1253,8997824.538,0.64,0.647739268,25.9,29.63,20.26,20011209,A,O,T08,20.24,20.24,feldpausch_regional,0.18,default,0.0,25.9,20.24,25.9,True,O,29.63,measured,25.9,29.63,0.6402,320.3553,216.0407,216.0407,320.3553,216.0407,216.0407,
JAM_A01,60,Protium paniculatum,Burseraceae,522196.2276,8997821.129,0.49,0.036963695,10.5,13.44,4.38,20011209,A,O,T08,11.0,11.0,feldpausch_regional,0.18,default,0.0,10.5,11.0,10.5,True,O,13.44,measured,10.5,13.44,0.49,25.4179,18.5981,18.5981,25.4179,18.5981,18.5981,
JAM_A01,61,Guatteria schomburgkiana,Annonaceae,522196.3557,8997813.429,0.6,0.052769855,10.0,17.28,11.65,20011209,A,O,T08,10.62,10.62,feldpausch_regional,0.18,default,0.0,10.0,10.62,10.0,True,O,17.28,measured,10.0,17.28,0.6,29.5327,20.7191,20.7191,29.5327,20.7191,20.7191,
JAM_A01,62,Helicostylis sp.,Moraceae,522195.214,8997804.691,0.65,0.205215038,16.8,21.89,17.41,20011209,A,O,T08,15.29,15.29,feldpausch_regional,0.18,default,0.0,16.8,15.29,16.8,True,O,21.89,measured,16.8,21.89,0.643,102.4104,70.9576,70.9576,102.4104,70.9576,70.9576,
JAM_A01,63,Tetragastris altissima,Burseraceae,522196.9955,8997791.838,0.71,0.032384015,9.1,10.85,7.9,20011209,A,O,T08,9.92,9.92,feldpausch_regional,0.18,default,0.0,9.1,9.92,9.1,True,O,10.85,measured,9.1,10.85,0.7079,15.5987,11.7253,11.7253,15.5987,11.7253,11.7253,
