site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A02,30,Inga marginata,Fabaceae,738343.8936,9636897.925,17.3,13.97,6.11,False,O,2,15.59,15.59,feldpausch_regional,0.18,default,0.0,17.3,15.59,17.3,False,O,13.97,measured,17.3,13.97,0.5518,69.9582,69.9582,64.4676,69.9582,69.9582,64.4676,
SAN_A02,31,Guatteria schomburgkiana,Annonaceae,738340.6097,9636899.439,13.8,13.97,7.39,False,O,2,13.36,13.36,feldpausch_regional,0.18,default,0.0,13.8,13.36,13.8,False,O,13.97,measured,13.8,13.97,0.6,45.0004,45.0004,45.0004,45.0004,45.0004,45.0004,
SAN_A02,32,Vismia guianensis,Hypericaceae,738339.9172,9636900.045,11.5,13.91,10.01,False,O,2,11.75,11.75,feldpausch_regional,0.18,default,0.0,11.5,11.75,11.5,False,O,13.91,measured,11.5,13.91,0.475,31.3928,31.3928,24.9924,31.3928,31.3928,24.9924,
SAN_A02,33,Vismia guianensis,Hypericaceae,738344.4969,9636900.711,13.0,14.28,8.47,False,O,2,12.81,12.81,feldpausch_regional,0.18,default,0.0,13.0,12.81,13.0,False,O,14.28,measured,13.0,14.28,0.475,40.916,40.916,32.5739,40.916,40.916,32.5739,
SAN_A02,34,Attalea maripa,Arecaceae,738359.5906,9636890.18,40.0,12.67,1.94,False,P,2,26.07,26.07,feldpausch_regional,0.18,default,0.0,40.0,26.07,40.0,False,P,12.67,measured,40.0,12.67,0.326,326.5816,478.0994,478.0994,326.5816,478.0994,478.0994,
SAN_A02,35,Attalea maripa,Arecaceae,738361.1584,9636887.948,43.0,11.08,1.97,False,P,2,27.1,27.1,feldpausch_regional,0.18,default,0.0,43.0,27.1,43.0,False,P,11.08,measured,43.0,11.08,0.326,329.9605,583.2276,583.2276,329.9605,583.2276,583.2276,
SAN_A02,36,Attalea maripa,Arecaceae,738355.1882,9636880.95,49.1,13.11,4.39,False,P,2,29.02,29.02,feldpausch_regional,0.18,default,0.0,49.1,29.02,49.1,False,P,13.11,measured,49.1,13.11,0.326,503.7696,839.8001,839.8001,503.7696,839.8001,839.8001,
SAN_A02,37,Attalea maripa,Arecaceae,738363.9389,9636881.558,45.0,10.1,3.49,False,P,2,27.76,27.76,feldpausch_regional,0.18,default,0.0,45.0,27.76,45.0,False,P,10.1,measured,45.0,10.1,0.326,329.4194,660.8466,660.8466,329.4194,660.8466,660.8466,
SAN_A02,38,Attalea maripa,Arecaceae,738369.2938,9636873.776,46.0,14.02,5.58,False,P,2,28.07,28.07,feldpausch_regional,0.18,default,0.0,46.0,28.07,46.0,False,P,14.02,measured,46.0,14.02,0.326,473.5764,701.995,701.995,473.5764,701.995,701.995,
SAN_A02,39,Attalea maripa,Arecaceae,738360.3136,9636877.169,38.0,11.44,3.92,False,P,2,25.35,25.35,feldpausch_regional,0.18,default,0.0,38.0,25.35,38.0,False,P,11.44,measured,38.0,11.44,0.326,267.4374,415.2369,415.2369,267.4374,415.2369,415.2369,
