tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
52,Hevea brasiliensis,Euphorbiaceae,799305.8274,9725922.816,19.9,False,O,1,17.11,17.11,feldpausch_regional,0.18,default,-2.0,19.54,16.91,19.9,False,O,17.11,feldpausch,19.54,16.906180529985804,0.4666,112.066,112.066,87.6821,106.8853,106.8853,83.6286,
53,Xylopia amazonica,Annonaceae,799310.0067,9725922.165,13.5,False,O,1,13.15,13.15,feldpausch_regional,0.18,default,-2.0,13.14,12.91,13.5,False,O,13.15,feldpausch,13.14,12.90362698059947,0.787,40.6391,40.6391,52.959,37.8454,37.8454,49.3184,
54,Nectandra cuspidata,Lauraceae,799311.5299,9725919.806,19.4,False,O,1,16.83,16.83,feldpausch_regional,0.18,default,-2.0,19.04,16.62,19.4,False,O,16.83,feldpausch,19.04,16.623331207310667,0.518,104.932,104.932,90.9113,99.952,99.952,86.5968,
55,Tapirira guianensis,Anacardiaceae,799311.87,9725918.227,10.5,False,O,1,11.0,11.0,feldpausch_regional,0.18,default,-2.0,10.14,10.73,10.5,False,O,11.0,feldpausch,10.14,10.726380861779772,0.457,20.9036,20.9036,16.026,19.0533,19.0533,14.6074,
56,Xylopia amazonica,Annonaceae,799312.1889,9725916.747,22.8,False,O,1,18.68,18.68,feldpausch_regional,0.18,default,-2.0,22.44,18.49,22.8,False,O,18.68,feldpausch,22.44,18.49120231954788,0.787,159.2258,159.2258,207.4957,152.8323,152.8323,199.1641,
57,Xylopia amazonica,Annonaceae,799311.4543,9725915.354,17.5,False,O,1,15.71,15.71,feldpausch_regional,0.18,default,-2.0,17.14,15.49,17.5,False,O,15.71,feldpausch,17.14,15.492052454653425,0.787,80.2304,80.2304,104.5526,75.9969,75.9969,99.0357,
58,Xylopia amazonica,Annonaceae,799308.5859,9725914.237,18.3,False,O,1,16.19,16.19,feldpausch_regional,0.18,default,-2.0,17.94,15.98,18.3,False,O,16.19,feldpausch,17.94,15.976924836595087,0.787,90.1551,90.1551,117.4859,85.6114,85.6114,111.5648,
59,Tapirira guianensis,Anacardiaceae,799312.1676,9725911.998,17.5,False,O,1,15.71,15.71,feldpausch_regional,0.18,default,-2.0,17.14,15.49,17.5,False,O,15.71,feldpausch,17.14,15.492052454653425,0.457,80.2304,80.2304,61.5094,75.9969,75.9969,58.2638,
60,Vismia guianensis,Hypericaceae,799309.4116,9725910.19,10.2,False,O,1,10.78,10.78,feldpausch_regional,0.18,default,-2.0,9.84,10.5,10.2,False,O,10.78,feldpausch,9.84,10.503054040815368,0.475,19.368,19.368,15.4192,17.6032,17.6032,14.0142,
61,Tapirira guianensis,Anacardiaceae,799307.4651,9725909.477,12.2,False,O,1,12.25,12.25,feldpausch_regional,0.18,default,-2.0,11.84,11.99,12.2,False,O,12.25,feldpausch,11.84,11.992521947516652,0.457,31.1212,31.1212,23.8593,28.7515,28.7515,22.0426,
62,Xylopia nitida,Annonaceae,799308.7572,9725902.96,13.9,False,O,1,13.42,13.42,feldpausch_regional,0.18,default,-2.0,13.54,13.18,13.9,False,O,13.42,feldpausch,13.540000000000001,13.176821729950944,0.5483,43.8846,43.8846,40.1924,40.9558,40.9558,37.51,
63,Vismia guianensis,Hypericaceae,799310.206,9725895.654,15.5,False,O,1,14.47,14.47,feldpausch_regional,0.18,default,-2.0,15.14,14.24,15.5,False,O,14.47,feldpausch,15.14,14.238712647529205,0.475,58.4259,58.4259,46.5139,54.9356,54.9356,43.7352,
64,Hevea brasiliensis,Euphorbiaceae,799310.2256,9725895.555,27.0,False,O,1,20.76,20.76,feldpausch_regional,0.18,default,-2.0,26.64,20.59,27.0,False,O,20.76,feldpausch,26.64,20.58979841361608,0.4666,245.5255,245.5255,192.1028,237.2619,237.2619,185.6372,
