site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,dbh,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,65,Protium hepytaphillum ,Burseraceae,498882.2743,8990460.437,0.63,10.4,A,O,0,10.93,10.4,True,O,10.93,feldpausch,20.3893,15.407,0.5773,15.407
JAM_A02,66,Euterpe oleracea,Arecaceae,498883.4554,8990458.419,0.41,16.1,A,P,0,14.85,16.1,True,P,14.85,feldpausch,64.5342,,0.3877,
JAM_A02,67a,Tachigali alba,Fabaceae,498862.1138,8990466.159,0.56,62.5,A,O,0,32.53,62.5,True,O,32.53,feldpausch,1958.8795,1357.9002,0.5573,1357.9002
JAM_A02,68,Caryocar glabrum,Caryocaraceae,498850.3215,8990454.337,0.68,70.5,A,O,0,34.25,70.5,True,O,34.25,feldpausch,2605.8809,1802.1463,0.6536,1802.1463
JAM_A02,69,Peltogyne leicointei,Fabaceae,498839.4966,8990469.335,0.8,76.0,A,O,0,35.31,76.0,True,O,35.31,feldpausch,3108.5438,2147.1727,0.7926,2147.1727
JAM_A02,70,NI,NI,498837.5239,8990479.698,0.64,95.0,A,O,0,38.31,95.0,True,O,38.31,feldpausch,5203.4313,3586.3776,0.6306,3586.3776
JAM_A02,71,Couratari stellata,Lecythidaceae,498837.5265,8990475.198,0.63,38.5,A,O,0,25.53,38.5,True,O,25.53,feldpausch,600.5672,422.6185,0.6331,422.6185
JAM_A02,72,Dipteryx odorata,Fabaceae,498839.4841,8990490.335,0.92,41.2,A,O,0,26.49,41.2,True,O,26.49,feldpausch,710.6701,498.8098,0.9228,498.8098
JAM_A02,74,Inga alba,Fabaceae,498842.4271,8990501.79,0.59,48.3,A,O,0,28.78,48.3,True,O,28.78,feldpausch,1050.9888,733.6518,0.5861,733.6518
JAM_A02,1,Helicostylis sp.,Moraceae,498981.5583,8990393.213,0.65,11.4,A,O,0,11.67,11.4,True,O,11.67,feldpausch,26.0016,19.5314,0.643,19.5314
JAM_A02,2,Apeiba echinata,Malvaceae,498981.6786,8990388.911,0.28,21.2,A,O,0,17.83,21.2,True,O,17.83,feldpausch,132.0055,95.5373,0.2822,95.5373
JAM_A02,3,Hymenaea intermedia,Fabaceae,498978.5911,8990384.472,0.82,48.6,A,O,0,28.87,48.6,True,O,28.87,feldpausch,1067.0155,744.6933,0.82,744.6933
JAM_A02,4,NI,NI,498968.2224,8990385.377,0.64,71.0,A,O,0,34.35,71.0,True,O,34.35,feldpausch,2649.6071,1832.1635,0.6306,1832.1635
JAM_A02,143a,NI,NI,498976.0035,8990380.023,0.64,70.0,A,O,0,34.15,70.0,True,O,34.15,feldpausch,2562.6034,1772.4302,0.6306,1772.4302
JAM_A02,5,Brosimum rubescens,Moraceae,498982.4479,8990378.596,0.83,12.1,A,O,0,12.18,12.1,True,O,12.18,feldpausch,30.4544,22.7871,0.8251,22.7871
JAM_A02,6,Copaifera reticulata,Fabaceae,498979.8982,8990377.447,0.61,14.1,A,O,0,13.56,14.1,True,O,13.56,feldpausch,45.585,33.7821,0.6075,33.7821
JAM_A02,7,Maquira sclerophylla,Moraceae,498979.2186,8990373.16,0.53,13.6,A,O,0,13.22,13.6,True,O,13.22,feldpausch,41.4429,30.7826,0.5135,30.7826
JAM_A02,8,Miconia surinamensis,NI,498980.1976,8990372.641,0.61,13.8,A,O,0,13.36,13.8,True,O,13.36,feldpausch,43.0816,31.9689,0.6228,31.9689
JAM_A02,9,Maquira sclerophylla,Moraceae,498980.4091,8990365.737,0.53,29.3,A,O,0,21.82,29.3,True,O,21.82,feldpausch,302.349,215.2672,0.5135,215.2672
JAM_A02,10,Zygia racemosa,Fabaceae,498978.5432,8990368.974,0.75,12.5,A,O,0,12.46,12.5,True,O,12.46,feldpausch,33.1783,24.775,0.748,24.775
JAM_A02,11,Poeppigia sp.,Fabaceae,498977.2509,8990362.0,0.69,15.5,A,O,0,14.47,15.5,True,O,14.47,feldpausch,58.4259,43.0513,0.735,43.0513
