site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2010,dead_2010,hcom_2009,htot_2010,date_2010,dbh_2011,dead_2011,hcom_2011,htot_2011,date_2011,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAP_A01,3238,,,726539.01,9664332.91,O,16.8,A,7.87,11.53,20100116-20100213,16.8,A,6.48,12.02,20110704-20110711,500.000640863,15.29,11.53,measured,0.0,observed,-2.0,16.8,11.53,16.8,True,O,11.53,measured,16.8,11.53,0.5819,54.7785,42.0005,42.0005,54.7785,42.0005,42.0005,
TAP_A01,3239,,,726524.17,9664334.24,O,15.3,A,9.5,16.1,20100116-20100213,15.6,A,10.19,17.77,20110704-20110711,500.000640863,14.54,16.1,measured,0.3,observed,-2.0,15.0,15.67,15.3,True,O,16.1,measured,14.700000000000001,15.66297752375196,0.5819,63.218,45.7747,45.7747,56.9196,41.3144,41.3144,
TAP_A01,3240,,,726520.96,9664334.26,O,7.5,A,3.42,8.9,20100116-20100213,7.5,A,7.55,10.06,20110704-20110711,500.000640863,8.6,8.9,measured,0.0,observed,-2.0,7.5,8.9,7.5,True,O,8.9,measured,7.5,8.9,0.5819,8.8142,6.773,6.773,8.8142,6.773,6.773,
TAP_A01,3241,Bertholletia excelsa,Lecythidaceae,726518.8,9664336.53,O,50.3,A,21.82,29.63,20100116-20100213,50.5,A,29.48,47.92,20110704-20110711,500.000640863,29.43,29.63,measured,0.2,observed,-2.0,50.1,29.51,50.3,True,O,29.63,measured,49.9,29.51287345167186,0.638,1170.3924,814.8392,814.8392,1147.8474,799.3371,799.3371,
TAP_A01,3242,,,726511.85,9664334.31,O,5.0,A,2.77,5.94,20100116-20100213,5.1,A,2.74,6.22,20110704-20110711,500.000640863,6.43,5.94,measured,0.1,observed,-2.0,4.9,5.76,5.0,True,O,5.94,measured,4.8,5.756877689159324,0.5819,2.6919,2.1625,2.1625,2.4109,1.9426,1.9426,
TAP_A01,3243,,,726502.64,9664336.08,O,15.8,A,22.34,26.67,20100116-20100213,16.0,A,24.69,30.35,20110704-20110711,500.000640863,14.79,26.67,measured,0.2,observed,-2.0,15.6,26.22,15.8,True,O,26.67,measured,15.4,26.20647645202493,0.5819,110.1635,73.7667,73.7667,103.0073,69.0811,69.0811,
TAP_A01,3244,,,726497.52,9664335.95,O,9.6,A,4.79,6.37,20100116-20100213,9.6,A,5.71,8.69,20110704-20110711,500.000640863,10.31,6.37,measured,0.0,observed,-2.0,9.6,6.37,9.6,True,O,6.37,measured,9.6,6.37,0.5819,10.2966,8.4409,8.4409,10.2966,8.4409,8.4409,
TAP_A01,3245,,,726476.85,9664337.04,O,9.6,A,3.18,7.88,20100116-20100213,10.1,A,2.56,7.32,20110704-20110711,500.000640863,10.7,7.88,measured,0.5,observed,-2.0,9.1,7.31,9.6,True,O,7.88,measured,8.6,7.270689665349134,0.5819,12.6725,10.0452,10.0452,9.4515,7.5479,7.5479,
TAP_A01,3246,,,726471.57,9664337.62,O,10.0,A,5.81,7.65,20100116-20100213,10.2,A,4.68,10.89,20110704-20110711,500.000640863,10.78,7.65,measured,0.2,observed,-2.0,9.8,7.43,10.0,True,O,7.65,measured,9.6,7.426594691734097,0.5819,13.3326,10.6388,10.6388,11.9604,9.5699,9.5699,
TAP_A01,3247,Vataireopsis speciosa,Fabaceae,726465.83,9664337.08,O,14.4,A,8.4,11.26,20100116-20100213,14.5,A,8.79,11.72,20110704-20110711,500.000640863,13.82,11.26,measured,0.1,observed,-2.0,14.3,11.15,14.4,True,O,11.26,measured,14.200000000000001,11.151424810303327,0.65,39.6174,30.2652,30.2652,38.1876,29.198,29.198,
