site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
JAM_A02,33,Tetragastris altissima,Burseraceae,498869.2292,8990702.546,0.71,1.044177016,36.9,21.29,12.75,A,O,T01,24.94,36.9,True,O,21.29,measured,463.0156,334.6262,0.7079,334.6262
JAM_A02,34,Theobroma glaucum,Malvaceae,498871.4846,8990671.756,0.53,0.088000567,21.4,7.13,2.64,A,O,T01,17.94,21.4,True,O,7.13,measured,54.9596,45.9954,0.5297,45.9954
JAM_A02,35,Vochysia maxima,Vochysiaceae,498871.6031,8990647.753,0.49,0.604477735,28.1,30.69,13.94,A,O,T01,21.28,28.1,True,O,30.69,measured,388.7267,261.7192,0.495,261.7192
JAM_A02,36,Copaifera reticulata,Fabaceae,498865.0917,8990646.819,0.61,4.620556822,57.6,45.04,27.24,A,O,T01,31.34,57.6,True,O,45.04,measured,2294.655,1505.0395,0.6075,1505.0395
JAM_A02,37,Lacunaria jenmanii,Quiinaceae,498872.574,8990636.743,0.8,0.015258664,6.3,9.39,4.74,A,O,T01,7.54,6.3,True,O,9.39,measured,6.6084,4.9932,0.8043,4.9932
JAM_A02,38,Tachigali myrmecophila,Fabaceae,498870.9652,8990618.958,0.48,0.34685483,23.0,27.06,15.24,A,O,T01,18.79,23.0,True,O,27.06,measured,232.5441,158.1828,0.476,158.1828
JAM_A02,39,Minquartia guianensis,Olacaceae,498868.21,8990622.786,0.77,1.128244332,37.6,20.36,12.13,A,O,T01,25.2,37.6,True,O,20.36,measured,459.827,334.9773,0.7867,334.9773
JAM_A02,40,NI,NI,498871.391,8990621.154,0.6,0.008933159,13.2,1.52,,D,O,T01,12.95,13.2,False,O,1.52,measured,4.7348,4.7348,0.6068,4.7874
JAM_A02,41,Apeiba echinata,Malvaceae,498868.5697,8990593.781,0.28,0.855894087,46.1,28.7,19.1,A,O,T01,28.1,46.1,True,O,28.7,measured,956.9685,666.8201,0.2822,666.8201
JAM_A02,42,Inga thibaudiana,Fabaceae,498870.9441,8990583.057,0.58,0.048037833,11.6,12.17,8.47,A,O,T01,11.82,11.6,True,O,12.17,measured,28.0238,20.9287,0.5786,20.9287
JAM_A02,43,Licania canescens,Chrysobalanaceae,498869.8667,8990576.467,0.88,0.491565422,22.4,21.87,17.73,A,O,T01,18.47,22.4,True,O,21.87,measured,179.4061,126.0526,0.88,126.0526
JAM_A02,44,Ormosia grossa,Fabaceae,498870.1952,8990570.364,0.62,0.136306571,17.4,14.25,5.89,A,O,T01,15.65,17.4,True,O,14.25,measured,72.1334,53.577,0.5906,53.577
JAM_A02,45,Vochysia guianensis,Vochysiaceae,498869.0533,8990558.275,0.51,1.199388307,36.9,34.02,17.57,A,O,T01,24.94,36.9,True,O,34.02,measured,731.5918,490.988,0.5087,490.988
JAM_A02,46,Tetragastris altissima,Burseraceae,498869.3301,8990547.771,0.71,0.272395545,19.5,19.88,9.49,A,O,T01,16.88,19.5,True,O,19.88,measured,124.6989,88.3554,0.7079,88.3554
JAM_A02,47,Minquartia guianensis,Olacaceae,498869.3714,8990542.771,0.77,1.02473131,34.0,22.62,13.28,A,O,T01,23.81,34.0,True,O,22.62,measured,418.6897,298.5329,0.7867,298.5329
JAM_A02,48,Tachigali myrmecophila,Fabaceae,498865.7309,8990530.807,0.48,1.420872132,38.6,39.36,21.02,A,O,T01,25.57,38.6,True,O,39.36,measured,920.9857,605.3257,0.476,605.3257
JAM_A02,49,Helicostylis sp.,Moraceae,498871.1898,8990518.751,0.65,0.101451911,12.7,18.94,13.16,A,O,T01,12.6,12.7,True,O,18.94,measured,51.5001,36.0217,0.643,36.0217
JAM_A02,50,Tachigali alba,Fabaceae,498870.9787,8990500.753,0.56,0.016846465,7.0,12.06,9.23,A,O,T01,8.17,7.0,True,O,12.06,measured,10.363,7.5648,0.5573,7.5648
JAM_A02,51,Attalea maripa,Arecaceae,498870.3447,8990497.859,,0.119306214,24.2,24.82,12.45,A,P,T01,19.4,24.2,True,P,24.82,measured,236.045,,0.326,
JAM_A02,52,Virola melinoni,Myristicaceae,498868.9462,8990489.472,0.48,0.113109621,16.5,17.14,8.91,A,O,T01,15.1,16.5,True,O,17.14,measured,77.8725,56.0336,0.4734,56.0336
JAM_A02,53,Virola melinoni,Myristicaceae,498870.4558,8990481.757,0.48,0.021178383,8.7,11.54,5.76,A,O,T01,9.6,8.7,True,O,11.54,measured,15.1745,11.2715,0.4734,11.2715
