site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
FNA_A01,43,Esenbeckia febrifuga,Rutaceae,715685.6147,8617294.703,0.64,0.025280195,22.8,1.49,,20131019,A,O,T01,18.68,18.68,feldpausch_regional,0.18,default,0.0,22.8,18.68,22.8,True,O,1.49,measured,22.8,1.49,1.0485,13.4952,14.5076,14.5076,13.4952,14.5076,14.5076,T01_2
FNA_A01,44,,,715651.2242,8617294.486,0.45,0.009042065,8.7,6.08,,20131019,D,O,T01,9.6,9.6,feldpausch_regional,0.18,default,0.0,8.7,9.6,8.7,False,O,6.08,measured,8.7,6.08,0.8064,8.1188,8.1188,10.8351,8.1188,8.1188,10.8351,T01_2
FNA_A01,45,Esenbeckia febrifuga,Rutaceae,715651.4062,8617294.615,0.64,0.005024915,5.7,4.75,3.07,20131019,A,O,T01,6.99,6.99,feldpausch_regional,0.18,default,0.0,5.7,6.99,5.7,True,O,4.75,measured,5.7,4.75,1.0485,2.795,2.3407,2.3407,2.795,2.3407,2.3407,T01_2
FNA_A01,46,,,715651.803,8617284.458,0.58,0.086325015,17.2,13.27,,20131019,D,O,T01,15.53,15.53,feldpausch_regional,0.18,default,0.0,17.2,15.53,17.2,False,O,13.27,measured,17.2,13.27,0.8064,65.7861,65.7861,87.7963,65.7861,65.7861,87.7963,T01_2
FNA_A01,47,Cordia scabrifolia,Boraginaceae,715629.37,8617403.385,0.474,0.002536589,5.5,3.48,1.79,20131019,A,O,T01,6.81,6.81,feldpausch_regional,0.18,default,0.0,5.5,6.81,5.5,True,O,3.48,measured,5.5,3.48,0.474,1.9241,1.6896,1.6896,1.9241,1.6896,1.6896,T01_3
FNA_A01,48,,,715632.1096,8617409.849,0.7,2.220368432,58.8,27.67,,20131019,D,O,T01,31.64,31.64,feldpausch_regional,0.18,default,0.0,58.8,31.64,58.8,False,O,27.67,measured,58.8,27.67,0.8064,1484.8623,1484.8623,1981.6556,1484.8623,1484.8623,1981.6556,T01_3
FNA_A01,49,,,715632.8774,8617404.908,0.58,0.082619529,26.6,4.33,,20131019,D,O,T01,20.58,20.58,feldpausch_regional,0.18,default,0.0,26.6,20.58,26.6,False,O,4.33,measured,26.6,4.33,0.8064,51.6466,51.6466,68.9261,51.6466,51.6466,68.9261,T01_3
FNA_A01,50,,,715648.0946,8617411.178,0.58,0.139145738,25.9,8.75,,20131019,D,O,T01,20.24,20.24,feldpausch_regional,0.18,default,0.0,25.9,20.24,25.9,False,O,8.75,measured,25.9,8.75,0.8064,97.4141,97.4141,130.0061,97.4141,97.4141,130.0061,T01_3
FNA_A01,51,,,715658.2963,8617410.649,0.58,0.023400038,19.4,2.0,,20131019,D,O,T01,16.83,16.83,feldpausch_regional,0.18,default,0.0,19.4,16.83,19.4,False,O,2.0,measured,19.4,2.0,0.8064,13.1237,13.1237,17.5145,13.1237,13.1237,17.5145,T01_3
FNA_A01,53,,,715674.3667,8617404.916,0.7,0.00572735,6.8,3.7,,20131019,D,O,T01,7.99,7.99,feldpausch_regional,0.18,default,0.0,6.8,7.99,6.8,False,O,3.7,measured,6.8,3.7,0.8064,3.0909,3.0909,4.125,3.0909,3.0909,4.125,T01_3
