site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2016,dead_2016,hcom_2016,htot_2016,dbh_2018,dead_2018,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC
SAN_A01b,053a,Licania octandra,Chrysobalanaceae,736897.5327,9667917.604,O,37.2,False,15.04,23.6,,True,2,,37.2,False,O,23.6,measured,520.1428,520.1428,0.825,709.7511
SAN_A01b,054a,,,736893.8254,9667913.69,L,15.6,False,,,,True,2,,15.6,False,L,,feldpausch,,,0.6965,
SAN_A01b,055a,,,736903.5917,9667911.211,L,,,,,11.0,False,2,11.38,,False,L,11.38,feldpausch,,,0.6965,
SAN_A01b,056a,,,736901.7633,9667904.712,L,,,,,11.8,False,2,11.96,,False,L,11.96,feldpausch,,,0.6965,
SAN_A01b,057a,Inga sp.,Fabaceae,736914.7383,9667902.609,O,,,,,10.6,False,2,11.08,,False,O,11.08,feldpausch,,,0.5786,
SAN_A01b,058a,,,736909.9009,9667899.325,L,,,,,10.2,False,2,10.78,,False,L,10.78,feldpausch,,,0.6965,
SAN_A01b,059a,Pouteria gongrijpii,Sapotaceae,736918.9473,9667876.155,O,,,,,9.9,False,2,10.55,,False,O,10.55,feldpausch,,,0.7994,
SAN_A01b,060a,Talisia longifolia,Sapindaceae,736917.8213,9667879.812,O,,,,,10.2,False,2,10.78,,False,O,10.78,feldpausch,,,0.8499,
SAN_A01b,001a,Eschweilera coriacea,Lecythidaceae,736774.6202,9668149.238,O,20.7,False,,,21.0,False,3,17.72,20.7,False,O,17.72,feldpausch,125.2378,125.2378,0.8521,176.3641
SAN_A01b,001b,Swartzia laevicarpa,Fabaceae,736756.0009,9668142.067,O,35.0,False,,,35.0,False,3,24.21,35.0,False,O,24.21,feldpausch,473.4351,473.4351,0.6125,483.0592
SAN_A01b,002a,,,736781.0588,9668146.817,O,32.8,False,,,34.2,False,3,23.89,32.8,False,O,23.89,feldpausch,411.7043,411.7043,0.6965,476.2018
SAN_A01b,002b,,,736758.2451,9668139.494,O,42.5,False,,,42.9,False,3,27.07,42.5,False,O,27.07,feldpausch,771.2309,771.2309,0.6965,892.0518
SAN_A01b,003a,Eschweilera micrantha,Lecythidaceae,736781.8354,9668145.215,O,15.0,False,,,15.6,False,3,14.54,15.0,False,O,14.54,feldpausch,55.0622,55.0622,0.86,78.2436
SAN_A01b,003b,Minquartia guianensis,Olacaceae,736764.5469,9668134.998,O,36.2,False,,,36.4,False,3,24.75,36.2,False,O,24.75,feldpausch,516.6414,516.6414,0.7867,673.0247
SAN_A01b,004a,Pouteria gongrijpii,Sapotaceae,736777.5674,9668140.911,O,31.2,False,,,30.9,False,3,22.52,31.2,False,O,22.52,feldpausch,352.4984,352.4984,0.7994,466.4224
SAN_A01b,004b,,,736762.1984,9668131.01,O,44.6,True,,,,True,3,,44.6,True,O,,feldpausch,,,0.6965,
SAN_A01b,005a,Chimarrhis turbinata,Rubiaceae,736784.9198,9668143.226,O,73.8,False,22.91,31.97,41.8,False,3,26.7,73.8,False,O,31.97,measured,2664.008,2664.008,0.72,3182.8518
SAN_A01b,005b,Rinorea guianensis,Violaceae,736766.4972,9668130.839,O,38.4,False,25.09,34.22,37.9,False,3,25.31,38.4,False,O,34.22,measured,795.3028,795.3028,0.78,1027.404
SAN_A01b,006a,Tachigali myrmecophila,Fabaceae,736783.2091,9668137.999,O,11.0,False,,,11.6,False,3,11.82,11.0,False,O,11.82,feldpausch,24.5547,24.5547,0.476,19.5886
SAN_A01b,006b,Minquartia guianensis,Olacaceae,736762.8392,9668125.098,O,47.6,False,,,47.7,False,3,28.6,47.6,False,O,28.6,feldpausch,1015.2259,1015.2259,0.7867,1322.5269
SAN_A01b,007a,Lecythis idatimon,Lecythidaceae,736780.318,9668135.183,O,11.2,False,,,11.5,False,3,11.75,11.2,False,O,11.75,feldpausch,25.2866,25.2866,0.7986,33.4252
SAN_A01b,007b,Pouteria sp.,Sapotaceae,736764.6311,9668121.241,O,42.7,False,,,44.4,False,3,27.56,42.7,False,O,27.56,feldpausch,792.0788,792.0788,0.7187,944.7132
SAN_A01b,008a,,,736782.4601,9668135.147,O,16.2,False,,,16.6,False,3,15.16,16.2,False,O,15.16,feldpausch,66.6494,66.6494,0.6965,77.0907
SAN_A01b,008b,Minquartia guianensis,Olacaceae,736772.7544,9668119.763,O,50.6,False,21.22,32.99,50.9,False,3,29.54,50.6,False,O,32.99,measured,1314.933,1314.933,0.7867,1712.953
SAN_A01b,009a,Pouteria gongrijpii,Sapotaceae,736783.7587,9668135.762,O,14.0,False,15.88,19.16,14.3,False,3,13.69,14.0,False,O,19.16,measured,62.9971,62.9971,0.7994,83.3571
SAN_A01b,009b,,,736776.9152,9668117.72,O,36.0,True,,,,True,3,,36.0,True,O,,feldpausch,,,0.6965,
SAN_A01b,010a,Eschweilera micrantha,Lecythidaceae,736789.982,9668138.296,O,42.4,False,,,42.5,False,3,26.93,42.4,False,O,26.93,feldpausch,763.8174,763.8174,0.86,1085.3864
SAN_A01b,010b,Swartzia laevicarpa,Fabaceae,736778.4592,9668106.242,O,43.5,False,,,44.0,False,3,27.43,43.5,False,O,27.43,feldpausch,817.5232,817.5232,0.6125,834.1421
SAN_A01b,011a,,,736785.3295,9668135.154,O,29.7,False,,,30.0,False,3,22.13,29.7,False,O,22.13,feldpausch,314.7626,314.7626,0.6965,364.0733
SAN_A01b,011b,Dialium guianense,Fabaceae,736769.1374,9668104.63,O,52.2,False,20.27,38.51,52.8,False,3,30.07,52.2,False,O,38.51,measured,1625.0745,1625.0745,0.8964,2404.5409
SAN_A01b,012a,,,736789.7688,9668136.548,L,15.7,False,,,16.7,False,3,15.22,15.7,False,L,15.22,feldpausch,62.9352,62.9352,0.6965,72.7946
SAN_A01b,012b,Diospyros artanthifolia,Ebenaceae,736769.9074,9668095.997,O,63.4,False,21.66,34.93,63.0,False,3,32.64,63.4,False,O,34.93,measured,2159.2391,2159.2391,0.6952,2492.8728
SAN_A01b,013a,Eschweilera coriacea,Lecythidaceae,736787.1494,9668134.257,O,52.0,False,17.08,29.87,58.9,False,3,31.67,52.0,False,O,29.87,measured,1258.719,1258.719,0.8521,1772.5711
SAN_A01b,014a,Eschweilera micrantha,Lecythidaceae,736784.5548,9668133.01,O,27.8,False,,,28.0,False,3,21.23,27.8,False,O,21.23,feldpausch,265.668,265.668,0.86,377.515
SAN_A01b,014b,Dipteryx odorata,Fabaceae,736764.2932,9668115.105,O,37.1,False,,,37.1,False,3,25.01,37.1,False,O,25.01,feldpausch,547.5673,547.5673,0.9228,833.4584
SAN_A01b,015a,,,736784.0557,9668129.62,O,26.0,False,,,26.2,False,3,20.38,26.0,False,O,20.38,feldpausch,224.0123,224.0123,0.6965,259.1061
SAN_A01b,015b,Pouteria sp.,Sapotaceae,736759.5326,9668125.4,O,52.0,False,17.39,33.58,39.8,False,3,26.0,52.0,False,O,33.58,measured,1411.0876,1411.0876,0.7187,1683.0056
SAN_A01b,016a,,,736792.4839,9668132.079,O,22.5,False,,,22.6,False,3,18.58,22.5,False,O,18.58,feldpausch,154.351,154.351,0.6965,178.5317
SAN_A01b,016b,Ormosia excelsa,Fabaceae,736751.82,9668128.445,O,36.1,False,,,36.2,False,3,24.67,36.1,False,O,24.67,feldpausch,512.2381,512.2381,0.61,520.5688
SAN_A01b,017a,Dialium guianense,Fabaceae,736793.4621,9668130.075,O,27.0,False,,,27.7,False,3,21.09,27.0,False,O,21.09,feldpausch,249.334,249.334,0.8964,368.927
SAN_A01b,018a,,,736785.4916,9668126.635,O,29.0,False,,,29.9,False,3,22.09,29.0,False,O,22.09,feldpausch,299.9139,299.9139,0.6965,346.8984
