site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,plot_id,quadra_id
FN_A01,149,,,70.689.457.535.816,86.450.046.306.316,57.6,5.57,2.11,20150813,True,O,31.34,31.34,feldpausch_regional,0.18,default,2.0,57.96,31.43,57.6,True,O,5.57,measured,57.96,5.5861074855687365,0.6481,298.3734,272.2789,272.2789,302.8768,276.345,276.345,unknown,
FN_A01,150,,,7.068.875.876.412,8.645.016.022.372,47.5,2.03,1.4,20150813,True,O,28.54,28.54,feldpausch_regional,0.18,default,2.0,47.86,28.65,47.5,True,O,2.03,measured,47.86,2.03778438926612,0.6481,76.4685,81.0921,81.0921,77.8943,82.5841,82.5841,unknown,
FN_A01,151,,,706.881.587.638.448,864.515.023.136.832,47.4,27.46,1.61,20150813,True,O,28.51,28.51,feldpausch_regional,0.18,default,2.0,47.76,28.62,47.4,True,O,27.46,measured,47.76,27.56561638043307,0.6481,967.7245,679.9441,679.9441,985.8098,692.4826,692.4826,unknown,
FN_A01,152,,,706.872.279.695.872,864.514.275.371.648,59.3,18.7,1.95,20150813,True,O,31.76,31.76,feldpausch_regional,0.18,default,2.0,59.66,31.85,59.3,True,O,18.7,measured,59.66,18.751747520231447,0.6481,1029.8663,777.2045,777.2045,1044.9202,788.4499,788.4499,unknown,
FN_A01,153,,,7.068.360.400.072,8.645.169.015.728,38.0,18.35,1.73,20150813,True,O,25.35,25.35,feldpausch_regional,0.18,default,2.0,38.36,25.48,38.0,True,O,18.35,measured,38.36,18.445791704064067,0.6481,424.1379,314.2541,314.2541,434.2177,321.6034,321.6034,unknown,
FN_A01,154,,,7.068.352.519.668,8.645.174.069.602,38.7,10.06,1.85,20150813,True,O,25.61,25.61,feldpausch_regional,0.18,default,2.0,39.06,25.74,38.7,True,O,10.06,measured,39.06,10.111240044674531,0.6481,244.4602,199.3455,199.3455,250.1561,203.9172,203.9172,unknown,
FN_A01,155,Aniba parviflora,Lauraceae,706.873.955.175.032,864.514.161.075.888,48.0,27.39,19.72,20150813,False,O,28.69,28.69,feldpausch_regional,0.18,default,2.0,48.36,28.8,48.0,False,O,27.39,measured,48.36,27.49347582569491,0.54,989.3123,989.3123,892.6354,1007.5487,1007.5487,909.0897,unknown,
FN_A01,1,Croton urucurana,Euphorbiaceae,706.748.291.682.592,864.265.970.746.704,11.2,14.82,10.3,20150814,False,O,11.53,11.53,feldpausch_regional,0.18,default,2.0,11.56,11.79,11.2,False,O,14.82,measured,11.559999999999999,15.158564627626092,0.528,31.7163,31.7163,27.9961,34.4887,34.4887,30.4433,unknown,
FN_A01,2,Inga sp.,Fabaceae,706.772.440.491.952,864.266.955.557.024,11.8,11.46,5.67,20150814,False,O,11.96,11.96,feldpausch_regional,0.18,default,2.0,12.16,12.22,11.8,False,O,11.46,measured,12.16,11.70697924362944,0.5786,27.3236,27.3236,26.3703,29.5837,29.5837,28.5515,unknown,
FN_A01,3,Croton urucurana,Euphorbiaceae,706.783.504.461.256,864.267.299.097.072,14.2,11.67,7.46,20150814,False,O,13.62,13.62,feldpausch_regional,0.18,default,2.0,14.56,13.86,14.2,False,O,11.67,measured,14.559999999999999,11.874008800472305,0.528,39.9198,39.9198,35.2374,42.6343,42.6343,37.6334,unknown,
FN_A01,4,Cecropia palmata,Urticaceae,7.067.850.947.556,8.642.672.562.792,12.4,12.92,10.08,20150814,False,O,12.39,12.39,feldpausch_regional,0.18,default,2.0,12.76,12.64,12.4,False,O,12.92,measured,12.76,13.183364826048509,0.3404,33.8386,33.8386,19.4595,36.4945,36.4945,20.9869,unknown,
FN_A01,5,,,7.067.987.113.522,8.642.637.205.014,37.5,29.5,14.41,20150814,True,O,25.16,25.16,feldpausch_regional,0.18,default,2.0,37.86,25.3,37.5,True,O,29.5,measured,37.86,29.656759947472164,0.6481,656.9253,451.2699,451.2699,672.7628,461.9744,461.9744,unknown,
FN_A01,6,,,70.680.166.618.908,86.426.405.556.996,52.0,4.02,1.27,20150814,True,O,29.85,29.85,feldpausch_regional,0.18,default,2.0,52.36,29.95,52.0,True,O,4.02,measured,52.36,4.033529649452608,0.6481,177.7558,169.9507,169.9507,180.7577,172.7863,172.7863,unknown,
FN_A01,7,Cordia scabrifolia,Boraginaceae,70.678.333.097.688,86.426.245.164.256,47.0,30.21,18.29,20150814,False,O,28.38,28.38,feldpausch_regional,0.18,default,2.0,47.36,28.49,47.0,False,O,30.21,measured,47.36,30.32760083765376,0.474,1044.7751,1044.7751,830.055,1064.4818,1064.4818,845.7116,unknown,
FN_A01,8,Bowdichia nitida,Fabaceae,706.762.620.943.992,864.262.256.386.504,39.7,25.14,17.06,20150814,False,O,25.97,25.97,feldpausch_regional,0.18,default,2.0,40.06,26.09,39.7,False,O,25.14,measured,40.06,25.26370050056153,0.8033,628.1397,628.1397,835.1393,642.3763,642.3763,854.0674,unknown,
FN_A01,9,,,706.753.689.180.992,864.264.879.643.104,52.1,12.67,1.89,20150814,True,O,29.88,29.88,feldpausch_regional,0.18,default,2.0,52.46,29.98,52.1,True,O,12.67,measured,52.46,12.71252243675287,0.6481,547.0637,436.3211,436.3211,556.2829,443.5858,443.5858,unknown,
FN_A01,10,,,70.677.420.098.924,86.426.519.855.208,37.5,12.39,1.85,20150814,True,O,25.16,25.16,feldpausch_regional,0.18,default,2.0,37.86,25.3,37.5,True,O,12.39,measured,37.86,12.455839177938309,0.6481,281.7133,221.9496,221.9496,288.505,227.2144,227.2144,unknown,
FN_A01,11,Micropholis venulosa,Sapotaceae,70.688.142.955.024,86.427.156.028.848,11.5,8.85,8.3,20150814,False,O,11.75,11.75,feldpausch_regional,0.18,default,2.0,11.86,12.01,11.5,False,O,8.85,measured,11.86,9.046303684422615,0.67,20.1911,20.1911,22.4871,21.9074,21.9074,24.3985,unknown,
FN_A01,12,Schefflera morototoni,Araliaceae,7.068.858.422.124,8.642.715.382.968,11.4,9.62,7.31,20150814,False,O,11.67,11.67,feldpausch_regional,0.18,default,2.0,11.76,11.93,11.4,False,O,9.62,measured,11.76,9.835474398294515,0.4559,21.5337,21.5337,16.4715,23.381,23.381,17.8846,unknown,
FN_A01,13,,,70.688.504.540.616,86.427.095.889.032,17.1,14.64,1.22,20150814,True,O,15.47,15.47,feldpausch_regional,0.18,default,2.0,17.46,15.69,17.1,True,O,14.64,measured,17.46,14.846523187883715,0.6481,71.5875,52.901,52.901,75.5852,55.7875,55.7875,unknown,
FN_A01,14,Inga sp.,Fabaceae,706.890.773.986,864.271.648.122,10.0,13.07,7.71,20150814,False,O,10.62,10.62,feldpausch_regional,0.18,default,2.0,10.36,10.9,10.0,False,O,13.07,measured,10.36,13.408558144882985,0.5786,22.4877,22.4877,21.7031,24.704,24.704,23.8421,unknown,
FN_A01,15,Schefflera morototoni,Araliaceae,706.890.189.690.872,864.271.839.871.744,12.7,11.71,7.09,20150814,False,O,12.6,12.6,feldpausch_regional,0.18,default,2.0,13.06,12.85,12.7,False,O,11.71,measured,13.059999999999999,11.94235621745845,0.4559,32.2105,32.2105,24.6384,34.6754,34.6754,26.5239,unknown,
FN_A01,16,,,706.889.150.244.788,864.272.011.441.176,12.7,5.64,1.09,20150814,True,O,12.6,12.6,feldpausch_regional,0.18,default,2.0,13.06,12.85,12.7,True,O,5.64,measured,13.059999999999999,5.751911961269483,0.6481,15.7882,13.3725,13.3725,16.9965,14.3705,14.3705,unknown,
FN_A01,17,,,70.689.106.326.944,86.427.209.626.488,35.7,2.81,1.05,20150814,True,O,24.48,24.48,feldpausch_regional,0.18,default,2.0,36.06,24.62,35.7,True,O,2.81,measured,36.06,2.825943696072198,0.6481,60.146,59.7637,59.7637,61.6752,61.258,61.258,unknown,
FN_A01,18,Pouteria sp.,Sapotaceae,706.895.983.990.712,864.270.681.991.824,41.9,26.73,16.59,20150814,False,O,26.73,26.73,feldpausch_regional,0.18,default,2.0,42.26,26.85,41.9,False,O,26.73,measured,42.26,26.85217214475702,0.7187,740.9236,740.9236,883.7004,756.7614,756.7614,902.5901,unknown,
FN_A01,19,Aniba parviflora,Lauraceae,706.904.884.756.016,864.270.858.776.032,51.5,25.95,17.36,20150814,False,O,29.71,29.71,feldpausch_regional,0.18,default,2.0,51.86,29.81,51.5,False,O,25.95,measured,51.86,26.038576312444587,0.54,1076.7291,1076.7291,971.5097,1095.106,1095.106,988.0908,unknown,
FN_A01,20,Mezilaurus itauba,Lauraceae,7.069.120.280.656,8.642.703.916.728,48.0,20.86,12.62,20150814,False,O,28.69,28.69,feldpausch_regional,0.18,default,2.0,48.36,28.8,48.0,False,O,20.86,measured,48.36,20.93880634260664,0.7443,758.3931,758.3931,935.9331,772.3729,772.3729,953.1856,unknown,
FN_A01,21,,,706.913.182.858.272,864.270.682.278.544,44.1,4.72,2.36,20150814,True,O,27.46,27.46,feldpausch_regional,0.18,default,2.0,44.46,27.58,44.1,True,O,4.72,measured,44.46,4.74009629533862,0.6481,150.7205,139.3867,139.3867,153.7678,142.1649,142.1649,unknown,
FN_A01,22,Aspidosperma excelsum,Apocynaceae,706.918.933.192.512,864.270.523.432.224,40.3,26.52,16.38,20150814,False,O,26.18,26.18,feldpausch_regional,0.18,default,2.0,40.66,26.3,40.3,False,O,26.52,measured,40.66,26.647853758538943,0.792,681.4341,681.4341,893.5195,696.6293,696.6293,913.4439,unknown,
FN_A01,23,Qualea paraensis,Vochysiaceae,70.691.558.321.704,86.427.187.712.808,39.6,30.53,15.75,20150814,False,O,25.93,25.93,feldpausch_regional,0.18,default,2.0,39.96,26.06,39.6,False,O,30.53,measured,39.96,30.680737228925825,0.6893,755.5358,755.5358,865.14,772.7066,772.7066,884.8018,unknown,
FN_A01,24,Dipteryx odorata,Fabaceae,70.691.687.020.196,86.427.050.823.172,41.7,19.72,13.73,20150814,False,O,26.66,26.66,feldpausch_regional,0.18,default,2.0,42.06,26.79,41.7,False,O,19.72,measured,42.06,19.810727575910455,0.9228,545.5008,545.5008,830.313,557.2221,557.2221,848.154,unknown,
FN_A01,25,,,7.069.277.612.426,8.642.717.636.472,37.9,7.98,1.47,20150814,True,O,25.31,25.31,feldpausch_regional,0.18,default,2.0,38.26,25.44,37.9,True,O,7.98,measured,38.26,8.021805432763088,0.6481,187.2058,158.189,158.189,191.6675,161.8989,161.8989,unknown,
FN_A01,26,,,70.692.202.949.228,86.426.846.207.456,36.0,6.25,1.35,20150814,True,O,24.6,24.6,feldpausch_regional,0.18,default,2.0,36.36,24.73,36.0,True,O,6.25,measured,36.36,6.285070498330551,0.6481,133.3958,116.8677,116.8677,136.7569,119.7636,119.7636,unknown,
FN_A01,27,Helicostylis sp.,Moraceae,706.896.026.017.832,864.269.367.200.264,37.1,24.64,15.22,20150814,False,O,25.01,25.01,feldpausch_regional,0.18,default,2.0,37.46,25.15,37.1,False,O,24.64,measured,37.46,24.772827459582057,0.643,539.6596,539.6596,577.3753,552.8218,552.8218,591.4574,unknown,
FN_A01,28,Heisteria densifrons,Olacaceae,707.024.532.813.232,864.277.751.404.952,16.6,10.0,5.59,20150814,False,O,15.16,15.16,feldpausch_regional,0.18,default,2.0,16.96,15.38,16.6,False,O,10.0,measured,16.96,10.146030790858669,0.65,46.5706,46.5706,50.3546,49.2544,49.2544,53.2565,unknown,
