site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,hcom_2014,htot_2014,dbh_2016,dead_2016,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
SAN_A01,32,Sloanea guianensis,Elaeocarpaceae,735731.6015,9669950.306,O,11.1,False,2.45,6.98,,True,2,,6.98,measured,0.25,site_median,0.0,,6.98,11.1,False,O,6.98,measured,11.1,6.98,0.8212,14.9463,14.9463,20.303,14.9463,14.9463,20.303,
SAN_A01,33,Inga thibaudiana,Fabaceae,735724.1439,9669947.201,O,17.5,False,6.6,14.46,,True,2,,14.46,measured,0.25,site_median,0.0,,14.46,17.5,False,O,14.46,measured,17.5,14.46,0.5786,73.9938,73.9938,71.4121,73.9938,73.9938,71.4121,
SAN_A01,34,Jacaranda copaia,Bignoniaceae,735716.1493,9669949.252,O,11.5,False,17.74,20.31,,True,2,,20.31,measured,0.25,site_median,0.0,,20.31,11.5,False,O,20.31,measured,11.5,20.31,0.3507,45.4222,45.4222,26.8911,45.4222,45.4222,26.8911,
SAN_A01,35,Cecropia ficifolia,Urticaceae,735714.5705,9669949.47,O,28.3,False,9.2,17.79,,True,2,,17.79,measured,0.25,site_median,0.0,,17.79,28.3,False,O,17.79,measured,28.3,17.79,0.266,231.4832,231.4832,104.6474,231.4832,231.4832,104.6474,
SAN_A01,36,Cecropia ficifolia,Urticaceae,735724.4717,9669976.463,O,39.7,False,18.67,26.29,39.3,False,2,25.82,26.29,measured,0.0,observed,0.0,39.3,26.29,39.7,False,O,26.29,measured,39.7,26.29,0.266,656.1685,656.1685,296.6363,656.1685,656.1685,296.6363,
SAN_A01,37,,,735724.1389,9669983.819,O,49.6,True,0.36,12.31,,True,2,,12.31,measured,0.25,site_median,0.0,,12.31,49.6,True,O,12.31,measured,49.6,12.31,0.5942,483.2065,386.237,386.237,483.2065,386.237,386.237,
SAN_A01,38,Cecropia ficifolia,Urticaceae,735729.6841,9669990.648,O,36.8,False,15.55,26.29,,True,2,,26.29,measured,0.25,site_median,0.0,,26.29,36.8,False,O,26.29,measured,36.8,26.29,0.266,565.8629,565.8629,255.8115,565.8629,565.8629,255.8115,
SAN_A01,39,Eschweilera coriacea,Lecythidaceae,735740.8282,9669992.867,O,37.1,False,15.26,23.08,37.8,False,2,25.28,23.08,measured,0.35,observed,0.0,37.8,23.08,37.1,False,O,23.08,measured,37.1,23.08,0.8521,506.2869,506.2869,712.9705,506.2869,506.2869,712.9705,
SAN_A01,41,Eschweilera coriacea,Lecythidaceae,735746.6505,9669974.159,O,53.4,False,19.04,25.02,54.2,False,2,30.46,25.02,measured,0.4,observed,0.0,54.2,25.02,53.4,False,O,25.02,measured,53.4,25.02,0.8521,1115.192,1115.192,1570.4514,1115.192,1115.192,1570.4514,
SAN_A01,42,Cecropia ficifolia,Urticaceae,735737.6419,9669971.904,O,37.9,False,12.23,24.62,37.0,False,2,24.98,24.62,measured,0.0,observed,0.0,37.0,24.62,37.9,False,O,24.62,measured,37.9,24.62,0.266,562.1621,562.1621,254.1385,562.1621,562.1621,254.1385,
SAN_A01,43,Dimorphandra macrostachya,Fabaceae,735747.9567,9669968.64,O,37.6,False,16.65,28.49,42.3,False,2,26.87,28.49,measured,2.35,observed,0.0,42.3,28.49,37.6,False,O,28.49,measured,37.6,28.49,0.695,638.2741,638.2741,736.7307,638.2741,638.2741,736.7307,
