site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap,dbh_used,dead_used,type_used,htot_used,htot_source,dbh_used_gap,htot_used_gap,rho_w_m3,iagc_m1_kgC,iagc_m2_kgC,iagc_m3_kgC,iagc_m1_kgC_gap,iagc_m2_kgC_gap,iagc_m3_kgC_gap,quadra_id
TAC_A01,65,Theobroma glaucum,Malvaceae,799929.8247,9725879.052,10.2,4.86,2.12,20140812,False,O,P01,10.78,10.78,feldpausch_regional,0.18,default,-1.0,10.02,10.64,10.2,False,O,4.86,measured,10.02,4.7977861577904,0.5297,8.9003,8.9003,7.8812,8.4889,8.4889,7.5169,
TAC_A01,66,Theobroma glaucum,Malvaceae,799926.7555,9725876.424,6.1,3.41,1.08,20140812,False,O,P01,7.36,7.36,feldpausch_regional,0.18,default,-1.0,5.92,7.2,6.1,False,O,3.41,measured,5.92,3.333534818472351,0.5297,2.3088,2.3088,2.0445,2.13,2.13,1.8862,
TAC_A01,67,Theobroma glaucum,Malvaceae,799925.221,9725875.11,12.0,5.07,1.09,20140812,False,O,P01,12.11,12.11,feldpausch_regional,0.18,default,-1.0,11.82,11.98,12.0,False,O,5.07,measured,11.82,5.015884554737755,0.5297,12.7383,12.7383,11.2797,12.2391,12.2391,10.8377,
TAC_A01,68,Theobroma glaucum,Malvaceae,799922.9191,9725873.139,9.1,4.3,1.57,20140812,False,O,P01,9.92,9.92,feldpausch_regional,0.18,default,-1.0,8.92,9.77,9.1,False,O,4.3,measured,8.92,4.237553376479353,0.5297,6.3208,6.3208,5.5971,5.9929,5.9929,5.3067,
TAC_A01,69,Theobroma glaucum,Malvaceae,799920.6172,9725871.168,13.3,5.7,0.94,20140812,False,O,P01,13.02,13.02,feldpausch_regional,0.18,default,-1.0,13.12,12.89,13.3,False,O,5.7,measured,13.120000000000001,5.645848466310019,0.5297,17.4563,17.4563,15.4576,16.8405,16.8405,14.9123,
TAC_A01,70,Theobroma glaucum,Malvaceae,799917.548,9725868.541,11.1,3.86,0.48,20140812,False,O,P01,11.45,11.45,feldpausch_regional,0.18,default,-1.0,10.92,11.32,11.1,False,O,3.86,measured,10.92,3.8150314766589553,0.5297,8.3838,8.3838,7.4239,8.0281,8.0281,7.1089,
TAC_A01,71,Theobroma glaucum,Malvaceae,799916.0134,9725867.227,10.3,3.42,0.49,20140812,False,O,P01,10.85,10.85,feldpausch_regional,0.18,default,-1.0,10.12,10.71,10.3,False,O,3.42,measured,10.120000000000001,3.376691877622773,0.5297,6.4377,6.4377,5.7006,6.143,6.143,5.4396,
TAC_A01,72,Theobroma glaucum,Malvaceae,799913.3279,9725864.927,9.0,3.56,0.82,20140812,False,O,P01,9.84,9.84,feldpausch_regional,0.18,default,-1.0,8.82,9.69,9.0,False,O,3.56,measured,8.82,3.507667629152302,0.5297,5.1447,5.1447,4.5556,4.8748,4.8748,4.3166,
TAC_A01,73,Theobroma glaucum,Malvaceae,799911.4097,9725863.285,6.6,3.41,1.14,20140812,False,O,P01,7.81,7.81,feldpausch_regional,0.18,default,-1.0,6.42,7.65,6.6,False,O,3.41,measured,6.42,3.339746813283185,0.5297,2.6926,2.6926,2.3843,2.4998,2.4998,2.2136,
TAC_A01,74,Theobroma glaucum,Malvaceae,799909.1078,9725861.314,12.2,5.22,0.98,20140812,False,O,P01,12.25,12.25,feldpausch_regional,0.18,default,-1.0,12.02,12.12,12.2,False,O,5.22,measured,12.02,5.165312251225665,0.5297,13.5357,13.5357,11.9859,13.0142,13.0142,11.5241,
TAC_A01,75,Theobroma glaucum,Malvaceae,799910.9381,9725858.861,10.6,5.44,1.36,20140812,False,O,P01,11.08,11.08,feldpausch_regional,0.18,default,-1.0,10.42,10.94,10.6,False,O,5.44,measured,10.42,5.37327834001363,0.5297,10.7103,10.7103,9.484,10.2342,10.2342,9.0624,
TAC_A01,76,Euterpe oleracea,Arecaceae,799912.3274,9725860.053,9.8,9.72,6.08,20140812,False,P,P01,10.47,10.47,feldpausch_regional,0.18,default,-1.0,9.62,10.33,9.8,False,P,9.72,measured,9.620000000000001,9.589928820614245,0.3877,16.1918,10.0176,10.0176,15.4124,9.52,9.52,
TAC_A01,77,Euterpe oleracea,Arecaceae,799912.3274,9725860.053,11.0,10.73,7.37,20140812,False,P,P01,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24,11.0,False,P,10.73,measured,10.82,10.603725459437431,0.3877,22.3421,13.7606,13.7606,21.3855,13.1505,13.1505,
TAC_A01,78,Euterpe oleracea,Arecaceae,799912.3274,9725860.053,11.2,10.88,7.43,20140812,False,P,P01,11.53,11.53,feldpausch_regional,0.18,default,-1.0,11.02,11.39,11.2,False,P,10.88,measured,11.02,10.754515115855439,0.3877,23.4576,14.4591,14.4591,22.4715,13.8294,13.8294,
TAC_A01,79,Theobroma glaucum,Malvaceae,799913.7167,9725861.244,11.0,5.47,2.35,20140812,False,O,P01,11.38,11.38,feldpausch_regional,0.18,default,-1.0,10.82,11.24,11.0,False,O,5.47,measured,10.82,5.4056270515491835,0.5297,11.5754,11.5754,10.25,11.0798,11.0798,9.8111,
TAC_A01,80,Euterpe oleracea,Arecaceae,799914.3341,9725861.774,13.5,11.34,8.88,20140812,False,P,P01,13.15,13.15,feldpausch_regional,0.18,default,-1.0,13.32,13.03,13.5,False,P,11.34,measured,13.32,11.234082841880946,0.3877,35.1702,24.1587,24.1587,33.9483,23.2837,23.2837,
TAC_A01,81,Euterpe oleracea,Arecaceae,799914.3341,9725861.774,84.0,8.32,7.06,20140812,False,P,P01,36.69,36.69,feldpausch_regional,0.18,default,-1.0,83.82,36.66,84.0,False,P,8.32,measured,83.82,8.313417777704068,0.3877,921.9221,3673.4442,3673.4442,917.3609,3651.851,3651.851,
TAC_A01,82,Theobroma glaucum,Malvaceae,799915.4919,9725862.767,5.1,2.36,1.89,20140812,False,O,P01,6.43,6.43,feldpausch_regional,0.18,default,-1.0,4.92,6.25,5.1,False,O,2.36,measured,4.92,2.295922782970588,0.5297,1.1366,1.1366,1.0064,1.0315,1.0315,0.9134,
